카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년12월_계_총인구수,"100,229","6,229","1,663","2,179","1,628","1,126","3,554","2,640","3,937","5,140","2,453","1,729","2,298","5,332","14,454","6,931","16,679","15,763","6,494"
2020년12월_계_연령구간인구수,"100,229","6,229","1,663","2,179","1,628","1,126","3,554","2,640","3,937","5,140","2,453","1,729","2,298","5,332","14,454","6,931","16,679","15,763","6,494"
2020년12월_계_0~9세,"6,137",142,37,44,55,28,114,67,126,132,48,52,73,187,"1,080",492,"1,655","1,566",239
2020년12월_계_10~19세,"8,295",314,110,119,97,67,191,104,211,260,85,56,117,333,"1,462",651,"1,932","1,791",395
2020년12월_계_20~29세,"9,528",416,193,133,128,64,219,147,274,374,114,92,165,480,"1,678",734,"2,054","1,740",523
2020년12월_계_30~39세,"9,461",349,85,127,121,65,217,135,203,287,103,78,154,401,"1,566",758,"2,293","1,962",557
2020년12월_계_40~49세,"13,945",604,164,256,216,99,344,215,385,474,195,137,270,690,"2,282","1,119","2,985","2,733",777
2020년12월_계_50~59세,"17,212","1,131",280,392,324,223,625,422,680,949,380,263,447,969,"2,463","1,168","2,616","2,603","1,277"
2020년12월_계_60~69세,"17,087","1,503",384,498,363,255,794,599,888,"1,174",552,427,519,"1,077","2,060",980,"1,774","1,839","1,401"
2020년12월_계_70~79세,"11,279","1,051",259,352,181,186,591,522,668,852,534,357,362,714,"1,242",645,903,"1,003",857
2020년12월_계_80~89세,"6,289",603,127,216,126,120,407,369,439,528,372,229,169,417,547,347,415,453,405
2020년12월_계_90~99세,931,113,24,41,16,19,51,58,57,101,68,38,18,62,66,33,45,61,60
2020년12월_계_100세 이상,65,3,0,1,1,0,1,2,6,9,2,0,4,2,8,4,7,12,3
2020년12월_남_총인구수,"50,807","3,179",878,"1,156",875,603,"1,836","1,319","2,002","2,597","1,201",894,"1,148","2,812","7,279","3,452","8,384","7,817","3,375"
2020년12월_남_연령구간인구수,"50,807","3,179",878,"1,156",875,603,"1,836","1,319","2,002","2,597","1,201",894,"1,148","2,812","7,279","3,452","8,384","7,817","3,375"
2020년12월_남_0~9세,"3,085",75,16,17,25,13,52,40,72,74,36,26,41,93,552,240,824,778,111
2020년12월_남_10~19세,"4,306",157,60,59,51,38,103,64,112,129,42,35,66,179,737,329,"1,001",946,198
2020년12월_남_20~29세,"5,598",274,144,77,88,39,134,84,170,227,67,60,96,307,975,409,"1,160",959,328
2020년12월_남_30~39세,"5,121",213,44,80,70,42,137,86,119,172,62,43,85,248,838,409,"1,150",983,340
2020년12월_남_40~49세,"7,650",354,97,173,139,67,210,130,236,268,120,104,165,418,"1,176",573,"1,546","1,381",493
2020년12월_남_50~59세,"9,169",627,161,238,186,140,353,242,365,527,204,145,249,538,"1,248",612,"1,325","1,322",687
2020년12월_남_60~69세,"8,408",758,205,250,186,136,403,301,456,605,280,231,233,530,979,461,849,860,685
2020년12월_남_70~79세,"5,019",479,110,170,86,83,296,238,299,389,230,159,155,340,548,274,380,425,358
2020년12월_남_80~89세,"2,237",212,36,82,40,41,142,118,161,184,142,84,54,148,207,136,139,147,164
2020년12월_남_90~99세,201,28,5,10,4,4,6,16,11,20,17,7,4,11,18,8,9,12,11
2020년12월_남_100세 이상,13,2,0,0,0,0,0,0,1,2,1,0,0,0,1,1,1,4,0
2020년12월_여_총인구수,"49,422","3,050",785,"1,023",753,523,"1,718","1,321","1,935","2,543","1,252",835,"1,150","2,520","7,175","3,479","8,295","7,946","3,119"
2020년12월_여_연령구간인구수,"49,422","3,050",785,"1,023",753,523,"1,718","1,321","1,935","2,543","1,252",835,"1,150","2,520","7,175","3,479","8,295","7,946","3,119"
2020년12월_여_0~9세,"3,052",67,21,27,30,15,62,27,54,58,12,26,32,94,528,252,831,788,128
2020년12월_여_10~19세,"3,989",157,50,60,46,29,88,40,99,131,43,21,51,154,725,322,931,845,197
2020년12월_여_20~29세,"3,930",142,49,56,40,25,85,63,104,147,47,32,69,173,703,325,894,781,195
2020년12월_여_30~39세,"4,340",136,41,47,51,23,80,49,84,115,41,35,69,153,728,349,"1,143",979,217
2020년12월_여_40~49세,"6,295",250,67,83,77,32,134,85,149,206,75,33,105,272,"1,106",546,"1,439","1,352",284
2020년12월_여_50~59세,"8,043",504,119,154,138,83,272,180,315,422,176,118,198,431,"1,215",556,"1,291","1,281",590
2020년12월_여_60~69세,"8,679",745,179,248,177,119,391,298,432,569,272,196,286,547,"1,081",519,925,979,716
2020년12월_여_70~79세,"6,260",572,149,182,95,103,295,284,369,463,304,198,207,374,694,371,523,578,499
2020년12월_여_80~89세,"4,052",391,91,134,86,79,265,251,278,344,230,145,115,269,340,211,276,306,241
2020년12월_여_90~99세,730,85,19,31,12,15,45,42,46,81,51,31,14,51,48,25,36,49,49
2020년12월_여_100세 이상,52,1,0,1,1,0,1,2,5,7,1,0,4,2,7,3,6,8,3
