카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년05월_계_총인구수,"81,565","10,793","6,606","5,645","34,061","3,133","6,425","4,742","2,056","5,093","3,011"
2020년05월_계_연령구간인구수,"81,565","10,793","6,606","5,645","34,061","3,133","6,425","4,742","2,056","5,093","3,011"
2020년05월_계_0~9세,"7,120",757,276,200,"5,193",49,230,123,67,134,91
2020년05월_계_10~19세,"8,806","1,149",408,315,"5,543",154,457,219,97,282,182
2020년05월_계_20~29세,"8,261","1,316",548,526,"3,794",244,692,332,166,385,258
2020년05월_계_30~39세,"9,306","1,022",419,365,"6,069",153,460,258,132,251,177
2020년05월_계_40~49세,"12,726","1,545",761,625,"7,319",274,727,456,207,523,289
2020년05월_계_50~59세,"12,446","1,875","1,198","1,182","3,682",592,"1,150",913,369,892,593
2020년05월_계_60~69세,"10,409","1,538","1,249","1,130","1,538",590,"1,222",995,478,"1,037",632
2020년05월_계_70~79세,"7,766","1,053","1,066",802,628,587,892,898,360,976,504
2020년05월_계_80~89세,"4,120",486,602,423,255,435,506,475,145,539,254
2020년05월_계_90~99세,569,52,77,71,38,53,73,72,33,72,28
2020년05월_계_100세 이상,36,0,2,6,2,2,16,1,2,2,3
2020년05월_남_총인구수,"40,920","5,382","3,327","2,963","16,805","1,551","3,315","2,385","1,065","2,573","1,554"
2020년05월_남_연령구간인구수,"40,920","5,382","3,327","2,963","16,805","1,551","3,315","2,385","1,065","2,573","1,554"
2020년05월_남_0~9세,"3,628",392,152,99,"2,625",21,121,67,36,73,42
2020년05월_남_10~19세,"4,519",604,212,153,"2,849",88,229,97,50,145,92
2020년05월_남_20~29세,"4,449",748,307,300,"1,870",137,419,190,94,248,136
2020년05월_남_30~39세,"4,776",545,253,217,"2,872",108,258,169,86,146,122
2020년05월_남_40~49세,"6,773",780,468,371,"3,593",169,440,311,134,327,180
2020년05월_남_50~59세,"6,836",977,674,687,"1,948",346,640,517,198,495,354
2020년05월_남_60~69세,"5,178",741,599,612,713,296,642,493,244,517,321
2020년05월_남_70~79세,"3,424",441,471,387,262,253,401,380,164,441,224
2020년05월_남_80~89세,"1,242",147,176,125,68,123,157,148,53,172,73
2020년05월_남_90~99세,91,7,15,11,4,10,8,13,6,9,8
2020년05월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년05월_여_총인구수,"40,645","5,411","3,279","2,682","17,256","1,582","3,110","2,357",991,"2,520","1,457"
2020년05월_여_연령구간인구수,"40,645","5,411","3,279","2,682","17,256","1,582","3,110","2,357",991,"2,520","1,457"
2020년05월_여_0~9세,"3,492",365,124,101,"2,568",28,109,56,31,61,49
2020년05월_여_10~19세,"4,287",545,196,162,"2,694",66,228,122,47,137,90
2020년05월_여_20~29세,"3,812",568,241,226,"1,924",107,273,142,72,137,122
2020년05월_여_30~39세,"4,530",477,166,148,"3,197",45,202,89,46,105,55
2020년05월_여_40~49세,"5,953",765,293,254,"3,726",105,287,145,73,196,109
2020년05월_여_50~59세,"5,610",898,524,495,"1,734",246,510,396,171,397,239
2020년05월_여_60~69세,"5,231",797,650,518,825,294,580,502,234,520,311
2020년05월_여_70~79세,"4,342",612,595,415,366,334,491,518,196,535,280
2020년05월_여_80~89세,"2,878",339,426,298,187,312,349,327,92,367,181
2020년05월_여_90~99세,478,45,62,60,34,43,65,59,27,63,20
2020년05월_여_100세 이상,32,0,2,5,1,2,16,1,2,2,1
