카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년10월_계_총인구수,"25,411","10,121",828,"1,085","1,399",884,"1,962","1,785","1,866","2,906","1,076","1,499"
2020년10월_계_연령구간인구수,"25,411","10,121",828,"1,085","1,399",884,"1,962","1,785","1,866","2,906","1,076","1,499"
2020년10월_계_0~9세,"1,289",685,19,48,54,40,82,76,56,134,56,39
2020년10월_계_10~19세,"1,684",853,26,74,82,40,87,82,89,223,62,66
2020년10월_계_20~29세,"1,959",931,37,65,76,52,150,129,141,228,64,86
2020년10월_계_30~39세,"1,659",847,31,47,53,65,101,95,96,195,80,49
2020년10월_계_40~49세,"2,783","1,352",67,91,126,79,196,180,150,321,93,128
2020년10월_계_50~59세,"4,548","1,690",176,207,255,165,362,309,345,549,206,284
2020년10월_계_60~69세,"4,793","1,593",220,211,297,192,403,370,365,608,223,311
2020년10월_계_70~79세,"3,828","1,247",153,185,243,139,318,315,363,393,153,319
2020년10월_계_80~89세,"2,469",804,86,132,176,105,227,196,228,210,118,187
2020년10월_계_90~99세,372,109,11,25,34,7,34,28,30,44,20,30
2020년10월_계_100세 이상,27,10,2,0,3,0,2,5,3,1,1,0
2020년10월_남_총인구수,"12,815","5,074",411,525,666,449,"1,018",897,923,"1,516",566,770
2020년10월_남_연령구간인구수,"12,815","5,074",411,525,666,449,"1,018",897,923,"1,516",566,770
2020년10월_남_0~9세,633,329,9,20,23,17,44,40,29,71,28,23
2020년10월_남_10~19세,895,438,15,39,40,19,52,45,48,124,38,37
2020년10월_남_20~29세,"1,108",527,21,39,46,31,83,66,67,138,42,48
2020년10월_남_30~39세,803,388,18,22,20,34,65,40,46,96,44,30
2020년10월_남_40~49세,"1,620",766,41,49,67,48,125,115,97,180,54,78
2020년10월_남_50~59세,"2,565",935,98,109,142,90,210,183,202,316,106,174
2020년10월_남_60~69세,"2,526",835,112,113,156,106,203,199,184,326,127,165
2020년10월_남_70~79세,"1,754",558,70,83,115,65,150,146,162,191,73,141
2020년10월_남_80~89세,810,263,24,45,46,37,82,56,78,64,48,67
2020년10월_남_90~99세,92,31,2,6,10,2,4,5,9,10,6,7
2020년10월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년10월_여_총인구수,"12,596","5,047",417,560,733,435,944,888,943,"1,390",510,729
2020년10월_여_연령구간인구수,"12,596","5,047",417,560,733,435,944,888,943,"1,390",510,729
2020년10월_여_0~9세,656,356,10,28,31,23,38,36,27,63,28,16
2020년10월_여_10~19세,789,415,11,35,42,21,35,37,41,99,24,29
2020년10월_여_20~29세,851,404,16,26,30,21,67,63,74,90,22,38
2020년10월_여_30~39세,856,459,13,25,33,31,36,55,50,99,36,19
2020년10월_여_40~49세,"1,163",586,26,42,59,31,71,65,53,141,39,50
2020년10월_여_50~59세,"1,983",755,78,98,113,75,152,126,143,233,100,110
2020년10월_여_60~69세,"2,267",758,108,98,141,86,200,171,181,282,96,146
2020년10월_여_70~79세,"2,074",689,83,102,128,74,168,169,201,202,80,178
2020년10월_여_80~89세,"1,659",541,62,87,130,68,145,140,150,146,70,120
2020년10월_여_90~99세,280,78,9,19,24,5,30,23,21,34,14,23
2020년10월_여_100세 이상,18,6,1,0,2,0,2,3,2,1,1,0
