카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년11월_계_총인구수,"40,494","9,202","11,922","1,108","1,401","1,166","1,195","1,685",889,"3,746","2,798","1,250","3,046","1,086"
2020년11월_계_연령구간인구수,"40,494","9,202","11,922","1,108","1,401","1,166","1,195","1,685",889,"3,746","2,798","1,250","3,046","1,086"
2020년11월_계_0~9세,"1,760",672,520,28,37,28,44,62,23,114,70,51,85,26
2020년11월_계_10~19세,"2,614",853,843,41,62,51,67,74,46,169,130,76,167,35
2020년11월_계_20~29세,"2,979",978,828,62,88,63,63,111,44,242,135,92,192,81
2020년11월_계_30~39세,"2,538",821,754,53,77,58,52,75,30,199,160,85,123,51
2020년11월_계_40~49세,"4,188","1,251","1,273",87,110,92,107,134,84,340,238,125,275,72
2020년11월_계_50~59세,"6,670","1,520","1,916",169,233,183,197,261,165,581,478,204,582,181
2020년11월_계_60~69세,"7,610","1,356","2,283",230,291,221,204,344,178,772,588,262,665,216
2020년11월_계_70~79세,"6,655","1,009","2,011",200,258,221,232,318,182,737,524,204,543,216
2020년11월_계_80~89세,"4,728",657,"1,279",200,218,220,204,266,117,512,397,137,351,170
2020년11월_계_90~99세,711,77,199,38,26,29,24,39,18,79,73,14,59,36
2020년11월_계_100세 이상,41,8,16,0,1,0,1,1,2,1,5,0,4,2
2020년11월_남_총인구수,"19,727","4,518","5,823",535,697,563,575,799,458,"1,791","1,340",602,"1,502",524
2020년11월_남_연령구간인구수,"19,727","4,518","5,823",535,697,563,575,799,458,"1,791","1,340",602,"1,502",524
2020년11월_남_0~9세,931,360,282,14,20,12,26,24,11,61,33,32,43,13
2020년11월_남_10~19세,"1,337",411,444,27,36,28,36,43,22,95,66,32,79,18
2020년11월_남_20~29세,"1,684",538,464,35,44,34,37,63,26,141,83,59,119,41
2020년11월_남_30~39세,"1,359",409,420,32,49,26,31,39,23,105,79,46,67,33
2020년11월_남_40~49세,"2,396",631,728,56,69,56,70,79,55,211,150,74,168,49
2020년11월_남_50~59세,"3,726",823,"1,060",99,140,115,115,141,108,335,292,89,308,101
2020년11월_남_60~69세,"3,826",662,"1,124",129,164,112,108,192,92,374,280,136,344,109
2020년11월_남_70~79세,"2,827",438,846,90,103,104,89,136,80,301,217,90,240,93
2020년11월_남_80~89세,"1,488",231,411,45,69,65,60,71,39,154,122,44,120,57
2020년11월_남_90~99세,147,15,39,8,3,11,3,11,2,14,17,0,14,10
2020년11월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년11월_여_총인구수,"20,767","4,684","6,099",573,704,603,620,886,431,"1,955","1,458",648,"1,544",562
2020년11월_여_연령구간인구수,"20,767","4,684","6,099",573,704,603,620,886,431,"1,955","1,458",648,"1,544",562
2020년11월_여_0~9세,829,312,238,14,17,16,18,38,12,53,37,19,42,13
2020년11월_여_10~19세,"1,277",442,399,14,26,23,31,31,24,74,64,44,88,17
2020년11월_여_20~29세,"1,295",440,364,27,44,29,26,48,18,101,52,33,73,40
2020년11월_여_30~39세,"1,179",412,334,21,28,32,21,36,7,94,81,39,56,18
2020년11월_여_40~49세,"1,792",620,545,31,41,36,37,55,29,129,88,51,107,23
2020년11월_여_50~59세,"2,944",697,856,70,93,68,82,120,57,246,186,115,274,80
2020년11월_여_60~69세,"3,784",694,"1,159",101,127,109,96,152,86,398,308,126,321,107
2020년11월_여_70~79세,"3,828",571,"1,165",110,155,117,143,182,102,436,307,114,303,123
2020년11월_여_80~89세,"3,240",426,868,155,149,155,144,195,78,358,275,93,231,113
2020년11월_여_90~99세,564,62,160,30,23,18,21,28,16,65,56,14,45,26
2020년11월_여_100세 이상,35,8,11,0,1,0,1,1,2,1,4,0,4,2
