,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년12월_계_총인구수,"36,426","34,617","1,809"
2021년12월_계_연령구간인구수,"36,426","34,617","1,809"
2021년12월_계_0~9세,"2,947","2,905",42
2021년12월_계_10~19세,"3,337","3,270",67
2021년12월_계_20~29세,"4,412","4,288",124
2021년12월_계_30~39세,"4,408","4,326",82
2021년12월_계_40~49세,"5,442","5,267",175
2021년12월_계_50~59세,"6,038","5,714",324
2021년12월_계_60~69세,"5,394","4,928",466
2021년12월_계_70~79세,"2,701","2,418",283
2021년12월_계_80~89세,"1,551","1,334",217
2021년12월_계_90~99세,193,165,28
2021년12월_계_100세 이상,3,2,1
2021년12월_남_총인구수,"18,993","18,045",948
2021년12월_남_연령구간인구수,"18,993","18,045",948
2021년12월_남_0~9세,"1,535","1,512",23
2021년12월_남_10~19세,"1,743","1,708",35
2021년12월_남_20~29세,"2,630","2,550",80
2021년12월_남_30~39세,"2,455","2,411",44
2021년12월_남_40~49세,"2,924","2,817",107
2021년12월_남_50~59세,"3,186","3,005",181
2021년12월_남_60~69세,"2,708","2,456",252
2021년12월_남_70~79세,"1,234","1,087",147
2021년12월_남_80~89세,533,460,73
2021년12월_남_90~99세,45,39,6
2021년12월_남_100세 이상,0,0,0
2021년12월_여_총인구수,"17,433","16,572",861
2021년12월_여_연령구간인구수,"17,433","16,572",861
2021년12월_여_0~9세,"1,412","1,393",19
2021년12월_여_10~19세,"1,594","1,562",32
2021년12월_여_20~29세,"1,782","1,738",44
2021년12월_여_30~39세,"1,953","1,915",38
2021년12월_여_40~49세,"2,518","2,450",68
2021년12월_여_50~59세,"2,852","2,709",143
2021년12월_여_60~69세,"2,686","2,472",214
2021년12월_여_70~79세,"1,467","1,331",136
2021년12월_여_80~89세,"1,018",874,144
2021년12월_여_90~99세,148,126,22
2021년12월_여_100세 이상,3,2,1
