,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년05월_계_총인구수,"36,763","11,209","6,324","2,384","1,150","1,476",544,948,"1,763","6,471","2,797","1,697"
2020년05월_계_연령구간인구수,"36,763","11,209","6,324","2,384","1,150","1,476",544,948,"1,763","6,471","2,797","1,697"
2020년05월_계_0~9세,"1,761",849,246,53,17,36,8,35,41,361,89,26
2020년05월_계_10~19세,"2,134",933,296,69,42,37,19,36,73,456,122,51
2020년05월_계_20~29세,"2,546",989,463,135,54,74,16,49,99,490,119,58
2020년05월_계_30~39세,"2,565","1,115",412,112,49,54,13,41,80,484,143,62
2020년05월_계_40~49세,"4,014","1,603",731,195,70,107,35,89,174,697,198,115
2020년05월_계_50~59세,"6,318","1,884","1,164",411,188,284,81,148,317,"1,127",454,260
2020년05월_계_60~69세,"7,219","1,767","1,360",555,271,353,142,181,414,"1,178",603,395
2020년05월_계_70~79세,"6,002","1,254","1,066",473,252,309,142,203,367,964,568,404
2020년05월_계_80~89세,"3,690",703,521,327,177,196,80,147,181,623,447,288
2020년05월_계_90~99세,489,103,64,53,28,25,8,17,17,91,52,31
2020년05월_계_100세 이상,25,9,1,1,2,1,0,2,0,0,2,7
2020년05월_남_총인구수,"17,457","5,372","2,997","1,159",509,726,256,450,839,"3,009","1,312",828
2020년05월_남_연령구간인구수,"17,457","5,372","2,997","1,159",509,726,256,450,839,"3,009","1,312",828
2020년05월_남_0~9세,873,409,128,29,10,20,3,19,26,170,45,14
2020년05월_남_10~19세,"1,106",470,166,41,21,20,9,20,40,234,61,24
2020년05월_남_20~29세,"1,483",567,269,85,29,46,10,29,54,283,76,35
2020년05월_남_30~39세,"1,320",540,223,64,29,29,8,21,46,245,80,35
2020년05월_남_40~49세,"2,253",837,410,128,34,71,27,55,105,370,138,78
2020년05월_남_50~59세,"3,320","1,001",591,230,102,160,44,86,162,563,241,140
2020년05월_남_60~69세,"3,441",816,634,288,139,177,66,85,196,545,289,206
2020년05월_남_70~79세,"2,392",491,409,180,89,130,58,85,149,395,229,177
2020년05월_남_80~89세,"1,168",217,160,102,51,64,30,44,54,192,142,112
2020년05월_남_90~99세,94,21,6,12,5,9,1,5,7,12,11,5
2020년05월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년05월_여_총인구수,"19,306","5,837","3,327","1,225",641,750,288,498,924,"3,462","1,485",869
2020년05월_여_연령구간인구수,"19,306","5,837","3,327","1,225",641,750,288,498,924,"3,462","1,485",869
2020년05월_여_0~9세,888,440,118,24,7,16,5,16,15,191,44,12
2020년05월_여_10~19세,"1,028",463,130,28,21,17,10,16,33,222,61,27
2020년05월_여_20~29세,"1,063",422,194,50,25,28,6,20,45,207,43,23
2020년05월_여_30~39세,"1,245",575,189,48,20,25,5,20,34,239,63,27
2020년05월_여_40~49세,"1,761",766,321,67,36,36,8,34,69,327,60,37
2020년05월_여_50~59세,"2,998",883,573,181,86,124,37,62,155,564,213,120
2020년05월_여_60~69세,"3,778",951,726,267,132,176,76,96,218,633,314,189
2020년05월_여_70~79세,"3,610",763,657,293,163,179,84,118,218,569,339,227
2020년05월_여_80~89세,"2,522",486,361,225,126,132,50,103,127,431,305,176
2020년05월_여_90~99세,395,82,58,41,23,16,7,12,10,79,41,26
2020년05월_여_100세 이상,18,6,0,1,2,1,0,1,0,0,2,5
