,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년10월_계_총인구수,"848,878","193,772","2,230","4,906","3,870","6,797","3,916","6,939","6,870","8,656","10,537","31,128","13,411","54,536","39,976","192,953","10,125","3,250","6,983","13,847","14,747","14,413","26,455","30,347","13,283","16,002","43,501","267,811","24,099","10,789","17,970","16,794","50,801","15,906","55,619","9,682","24,137","28,445","13,569","194,342","19,184","70,388","4,546","12,295","8,456","13,411","47,711","18,351"
2021년10월_계_연령구간인구수,"848,878","193,772","2,230","4,906","3,870","6,797","3,916","6,939","6,870","8,656","10,537","31,128","13,411","54,536","39,976","192,953","10,125","3,250","6,983","13,847","14,747","14,413","26,455","30,347","13,283","16,002","43,501","267,811","24,099","10,789","17,970","16,794","50,801","15,906","55,619","9,682","24,137","28,445","13,569","194,342","19,184","70,388","4,546","12,295","8,456","13,411","47,711","18,351"
2021년10월_계_0~9세,"71,597","15,995",51,102,88,386,83,367,241,390,579,"2,536","1,460","5,356","4,356","12,867",630,74,281,"1,316",619,621,"2,247","2,365",485,889,"3,340","23,605","2,179",650,"2,279",813,"5,588",591,"4,902",448,"1,604","1,992","2,559","19,130","1,367","9,741",81,490,305,821,"4,036","2,289"
2021년10월_계_10~19세,"84,970","19,701",53,181,114,446,183,525,364,645,857,"3,748","1,969","6,321","4,295","19,534",621,110,452,"1,379",935,979,"3,878","3,945",907,"1,380","4,948","26,382","2,388","1,023","1,266","1,422","6,445","1,029","6,788",566,"2,225","2,222","1,008","19,353","1,824","7,607",152,732,536,"1,078","5,028","2,396"
2021년10월_계_20~29세,"119,401","24,547",157,290,300,695,291,"1,061",973,"1,004","1,244","4,095","1,479","7,482","5,476","28,161","1,097",182,830,"1,569","3,487","2,276","3,667","4,402","1,977","1,985","6,689","40,796","3,348","1,405","1,844","2,455","7,216","3,315","7,710","2,036","4,248","5,330","1,889","25,897","2,245","8,859",336,"2,088","1,060","2,044","7,367","1,898"
2021년10월_계_30~39세,"118,233","23,470",121,292,208,668,218,852,695,778,"1,151","3,427","1,522","7,535","6,003","22,255","1,113",203,678,"1,792","1,969","1,550","3,095","3,300","1,320","1,726","5,509","41,515","3,986","1,100","3,449","1,855","8,304","1,891","7,150","1,635","3,983","4,654","3,508","30,993","1,953","15,234",291,"1,482",772,"1,624","6,796","2,841"
2021년10월_계_40~49세,"135,679","30,406",162,375,356,780,356,926,802,"1,159","1,479","5,412","2,495","9,381","6,723","29,757","1,204",314,909,"2,055","1,827","1,832","4,971","5,393","1,677","2,093","7,482","43,163","4,142","1,561","2,626","2,333","9,911","1,973","9,277","1,284","3,810","4,269","1,977","32,353","2,996","12,938",401,"1,473","1,129","1,981","7,855","3,580"
2021년10월_계_50~59세,"137,803","33,394",432,845,817,"1,289",738,"1,105","1,158","1,567","1,888","5,259","2,156","9,286","6,854","33,691","2,100",563,"1,371","2,211","2,084","2,526","4,610","5,580","2,388","3,124","7,134","43,025","3,308","2,029","2,670","3,375","7,372","2,802","10,188","1,527","3,977","4,527","1,250","27,693","3,543","7,531",839,"2,014","1,491","2,234","7,735","2,306"
2021년10월_계_60~69세,"105,022","26,218",636,"1,372","1,003","1,377",906,"1,032","1,326","1,563","1,834","3,805","1,350","5,906","4,108","26,882","1,923",804,"1,334","2,106","2,073","2,658","2,396","3,089","2,466","2,772","5,261","29,948","2,607","1,657","2,216","2,732","3,779","2,513","6,336","1,306","2,747","3,263",792,"21,974","2,839","5,009","1,185","2,028","1,644","1,934","5,590","1,745"
2021년10월_계_70~79세,"47,768","12,403",329,801,568,619,603,640,787,985,"1,011","1,904",639,"2,115","1,402","12,526",840,542,696,875,"1,204","1,276","1,025","1,381","1,329","1,279","2,079","12,381","1,328",829,984,"1,128","1,432","1,229","2,152",611,"1,010","1,356",322,"10,458","1,419","2,150",687,"1,244",974,"1,107","2,097",780
