카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2021년05월_계_총인구수,"270,754","33,420","53,238","15,906","26,981","17,344","18,874","21,792","16,528","20,821","20,672","25,178"
2021년05월_계_연령구간인구수,"270,754","33,420","53,238","15,906","26,981","17,344","18,874","21,792","16,528","20,821","20,672","25,178"
2021년05월_계_0~9세,"19,697","1,915","4,538",640,"2,160",820,"1,111","1,803",993,"1,813","2,231","1,673"
2021년05월_계_10~19세,"25,953","2,603","6,093",815,"2,746","1,142","1,386","2,095","1,577","3,049","1,757","2,690"
2021년05월_계_20~29세,"37,711","5,383","7,137","2,501","3,641","2,771","2,705","2,820","2,041","2,511","2,567","3,634"
2021년05월_계_30~39세,"37,430","4,587","7,000","2,159","3,461","2,321","3,140","3,643","2,091","2,176","3,650","3,202"
2021년05월_계_40~49세,"43,520","4,942","9,074","2,048","4,385","2,471","2,721","3,685","2,604","4,057","3,382","4,151"
2021년05월_계_50~59세,"47,633","6,521","9,265","2,962","4,744","3,416","3,096","3,441","2,932","3,554","3,276","4,426"
2021년05월_계_60~69세,"34,693","4,662","6,297","2,712","3,649","2,793","2,615","2,431","2,171","2,044","2,394","2,925"
2021년05월_계_70~79세,"15,106","1,893","2,507","1,365","1,382","1,102","1,289","1,124","1,193",920,957,"1,374"
2021년05월_계_80~89세,"7,767",781,"1,143",594,693,439,704,669,819,612,388,925
2021년05월_계_90~99세,"1,201",127,180,103,117,67,106,80,104,82,65,170
2021년05월_계_100세 이상,43,6,4,7,3,2,1,1,3,3,5,8
2021년05월_남_총인구수,"134,288","17,631","26,374","7,978","13,074","9,042","8,961","10,593","7,872","10,188","10,375","12,200"
2021년05월_남_연령구간인구수,"134,288","17,631","26,374","7,978","13,074","9,042","8,961","10,593","7,872","10,188","10,375","12,200"
2021년05월_남_0~9세,"10,068",970,"2,333",333,"1,093",435,578,912,468,976,"1,123",847
2021년05월_남_10~19세,"13,447","1,368","3,132",438,"1,421",597,708,"1,098",815,"1,542",921,"1,407"
2021년05월_남_20~29세,"19,667","2,981","3,692","1,360","1,864","1,486","1,346","1,462","1,045","1,331","1,283","1,817"
2021년05월_남_30~39세,"19,436","2,611","3,561","1,230","1,688","1,310","1,644","1,821","1,070","1,043","1,857","1,601"
2021년05월_남_40~49세,"21,480","2,648","4,415","1,106","2,075","1,348","1,290","1,760","1,256","1,869","1,767","1,946"
2021년05월_남_50~59세,"23,256","3,407","4,447","1,402","2,206","1,772","1,441","1,629","1,388","1,767","1,565","2,232"
2021년05월_남_60~69세,"17,010","2,405","3,155","1,271","1,811","1,386","1,190","1,150",997,"1,007","1,224","1,414"
2021년05월_남_70~79세,"6,827",904,"1,191",617,637,540,509,472,492,407,473,585
2021년05월_남_80~89세,"2,765",299,402,200,251,155,229,265,303,214,143,304
2021년05월_남_90~99세,322,37,44,20,28,13,26,24,36,32,16,46
2021년05월_남_100세 이상,10,1,2,1,0,0,0,0,2,0,3,1
2021년05월_여_총인구수,"136,466","15,789","26,864","7,928","13,907","8,302","9,913","11,199","8,656","10,633","10,297","12,978"
2021년05월_여_연령구간인구수,"136,466","15,789","26,864","7,928","13,907","8,302","9,913","11,199","8,656","10,633","10,297","12,978"
2021년05월_여_0~9세,"9,629",945,"2,205",307,"1,067",385,533,891,525,837,"1,108",826
2021년05월_여_10~19세,"12,506","1,235","2,961",377,"1,325",545,678,997,762,"1,507",836,"1,283"
2021년05월_여_20~29세,"18,044","2,402","3,445","1,141","1,777","1,285","1,359","1,358",996,"1,180","1,284","1,817"
2021년05월_여_30~39세,"17,994","1,976","3,439",929,"1,773","1,011","1,496","1,822","1,021","1,133","1,793","1,601"
2021년05월_여_40~49세,"22,040","2,294","4,659",942,"2,310","1,123","1,431","1,925","1,348","2,188","1,615","2,205"
2021년05월_여_50~59세,"24,377","3,114","4,818","1,560","2,538","1,644","1,655","1,812","1,544","1,787","1,711","2,194"
2021년05월_여_60~69세,"17,683","2,257","3,142","1,441","1,838","1,407","1,425","1,281","1,174","1,037","1,170","1,511"
2021년05월_여_70~79세,"8,279",989,"1,316",748,745,562,780,652,701,513,484,789
2021년05월_여_80~89세,"5,002",482,741,394,442,284,475,404,516,398,245,621
2021년05월_여_90~99세,879,90,136,83,89,54,80,56,68,50,49,124
2021년05월_여_100세 이상,33,5,2,6,3,2,1,1,1,3,2,7
