카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년07월_계_총인구수,"205,936","29,406","12,367","10,056","10,561","16,173","20,972","7,223","16,246","16,435","16,734","14,273","35,490"
2021년07월_계_연령구간인구수,"205,936","29,406","12,367","10,056","10,561","16,173","20,972","7,223","16,246","16,435","16,734","14,273","35,490"
2021년07월_계_0~9세,"13,992","2,433","1,024",478,686,"1,189","1,961",209,663,743,"1,019","1,201","2,386"
2021년07월_계_10~19세,"16,248","3,547","1,578",684,970,"1,229","1,303",383,889,661,997,"1,129","2,878"
2021년07월_계_20~29세,"25,172","3,216","1,287","1,119","1,225","1,762","2,458",772,"2,285","3,381","1,809","1,525","4,333"
2021년07월_계_30~39세,"26,134","2,948","1,232","1,068","1,097","2,091","3,558",711,"1,943","3,097","2,230","1,840","4,319"
2021년07월_계_40~49세,"31,377","5,485","2,301","1,298","1,627","2,464","3,133",888,"2,174","2,299","2,252","2,211","5,245"
2021년07월_계_50~59세,"33,385","4,783","1,961","1,604","1,799","2,566","3,114","1,260","2,673","2,369","2,589","2,406","6,261"
2021년07월_계_60~69세,"33,162","3,698","1,678","1,856","1,811","2,823","2,933","1,570","3,168","2,176","3,064","2,324","6,061"
2021년07월_계_70~79세,"18,283","2,272",898,"1,246",907,"1,470","1,712","1,012","1,718","1,213","1,874","1,200","2,761"
2021년07월_계_80~89세,"7,292",915,371,626,380,527,693,379,652,468,815,384,"1,082"
2021년07월_계_90~99세,849,103,36,77,58,49,98,38,79,26,82,45,158
2021년07월_계_100세 이상,42,6,1,0,1,3,9,1,2,2,3,8,6
2021년07월_남_총인구수,"99,089","14,211","5,916","4,759","5,186","7,889","10,063","3,447","7,773","7,826","8,080","6,975","16,964"
2021년07월_남_연령구간인구수,"99,089","14,211","5,916","4,759","5,186","7,889","10,063","3,447","7,773","7,826","8,080","6,975","16,964"
2021년07월_남_0~9세,"7,053","1,260",473,256,358,618,986,110,311,366,506,618,"1,191"
2021년07월_남_10~19세,"8,351","1,864",765,364,523,660,638,190,448,352,514,573,"1,460"
2021년07월_남_20~29세,"12,791","1,705",673,539,666,941,"1,245",408,"1,074","1,419",998,817,"2,306"
2021년07월_남_30~39세,"13,132","1,380",601,540,591,"1,066","1,732",392,"1,015","1,554","1,160",909,"2,192"
2021년07월_남_40~49세,"15,331","2,540","1,074",656,771,"1,207","1,556",440,"1,099","1,190","1,188","1,114","2,496"
2021년07월_남_50~59세,"15,842","2,358",973,751,849,"1,191","1,474",593,"1,307","1,159","1,234","1,157","2,796"
2021년07월_남_60~69세,"15,202","1,683",793,837,854,"1,294","1,325",718,"1,433","1,027","1,349","1,079","2,810"
2021년07월_남_70~79세,"8,345",996,412,552,421,682,814,445,805,550,809,563,"1,296"
2021년07월_남_80~89세,"2,835",399,144,239,141,213,266,142,256,205,304,136,390
2021년07월_남_90~99세,195,24,7,25,11,16,24,9,24,4,18,7,26
2021년07월_남_100세 이상,12,2,1,0,1,1,3,0,1,0,0,2,1
2021년07월_여_총인구수,"106,847","15,195","6,451","5,297","5,375","8,284","10,909","3,776","8,473","8,609","8,654","7,298","18,526"
2021년07월_여_연령구간인구수,"106,847","15,195","6,451","5,297","5,375","8,284","10,909","3,776","8,473","8,609","8,654","7,298","18,526"
2021년07월_여_0~9세,"6,939","1,173",551,222,328,571,975,99,352,377,513,583,"1,195"
2021년07월_여_10~19세,"7,897","1,683",813,320,447,569,665,193,441,309,483,556,"1,418"
2021년07월_여_20~29세,"12,381","1,511",614,580,559,821,"1,213",364,"1,211","1,962",811,708,"2,027"
2021년07월_여_30~39세,"13,002","1,568",631,528,506,"1,025","1,826",319,928,"1,543","1,070",931,"2,127"
2021년07월_여_40~49세,"16,046","2,945","1,227",642,856,"1,257","1,577",448,"1,075","1,109","1,064","1,097","2,749"
2021년07월_여_50~59세,"17,543","2,425",988,853,950,"1,375","1,640",667,"1,366","1,210","1,355","1,249","3,465"
2021년07월_여_60~69세,"17,960","2,015",885,"1,019",957,"1,529","1,608",852,"1,735","1,149","1,715","1,245","3,251"
2021년07월_여_70~79세,"9,938","1,276",486,694,486,788,898,567,913,663,"1,065",637,"1,465"
2021년07월_여_80~89세,"4,457",516,227,387,239,314,427,237,396,263,511,248,692
2021년07월_여_90~99세,654,79,29,52,47,33,74,29,55,22,64,38,132
2021년07월_여_100세 이상,30,4,0,0,0,2,6,1,1,2,3,6,5
