카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년09월_계_총인구수,"440,500","5,058","23,519","4,282","19,510","20,492","9,638","11,238","9,092","8,640","18,646","7,634","28,296","6,818","35,827","37,547","22,460","25,183","36,677","17,276","27,137","29,218","12,217","24,095"
2020년09월_계_연령구간인구수,"440,500","5,058","23,519","4,282","19,510","20,492","9,638","11,238","9,092","8,640","18,646","7,634","28,296","6,818","35,827","37,547","22,460","25,183","36,677","17,276","27,137","29,218","12,217","24,095"
2020년09월_계_0~9세,"34,591",345,"2,422",180,"2,296","1,793",273,607,301,314,"1,263",191,"2,198",324,"3,496","4,643","1,405","1,670","2,777","1,001","1,753","2,422",666,"2,251"
2020년09월_계_10~19세,"43,868",369,"2,055",223,"2,270","2,304",493,943,493,486,"1,187",376,"3,032",440,"3,949","3,143","1,797","2,565","5,150","1,631","2,573","4,523",638,"3,228"
2020년09월_계_20~29세,"61,937",575,"2,831",494,"2,155","2,441","1,041","1,691","2,475","1,279","2,880","2,299","4,080",761,"4,054","4,032","3,823","3,766","5,428","2,475","4,349","4,200","1,391","3,417"
2020년09월_계_30~39세,"54,630",696,"3,711",461,"2,885","2,440",758,"1,191","1,126","1,035","2,244","1,012","3,526",840,"4,803","6,614","2,707","2,827","3,540","1,669","3,103","2,968","1,621","2,853"
2020년09월_계_40~49세,"73,103",726,"4,057",488,"3,713","3,507","1,163","1,519","1,081","1,049","2,668",829,"4,603",913,"6,987","6,435","3,237","4,041","6,975","2,608","3,921","6,162","1,642","4,779"
2020년09월_계_50~59세,"78,011",810,"3,297",941,"2,797","3,483","1,946","2,303","1,292","1,602","3,000","1,205","5,049","1,272","5,936","5,929","4,244","4,757","7,167","3,588","5,517","5,303","2,444","4,129"
2020년09월_계_60~69세,"52,873",801,"2,641",878,"1,875","2,358","2,011","1,690","1,213","1,552","2,718","1,014","3,502","1,259","3,938","4,120","2,995","3,226","3,194","2,552","3,450","1,905","2,187","1,794"
2020년09월_계_70~79세,"28,058",498,"1,608",430,"1,030","1,462","1,311",890,741,921,"1,773",488,"1,520",688,"1,931","1,889","1,464","1,654","1,597","1,142","1,594","1,120","1,230","1,077"
2020년09월_계_80~89세,"11,991",206,780,157,432,643,592,356,335,365,795,199,678,293,658,662,703,601,754,551,798,578,352,503
2020년09월_계_90~99세,"1,346",27,106,28,53,56,45,46,32,37,102,20,101,27,74,76,83,74,94,56,73,36,38,62
2020년09월_계_100세 이상,92,5,11,2,4,5,5,2,3,0,16,1,7,1,1,4,2,2,1,3,6,1,8,2
2020년09월_남_총인구수,"219,416","2,454","11,318","2,292","9,419","9,914","4,786","5,532","4,698","4,509","9,410","4,174","14,009","3,399","18,256","18,723","11,297","12,367","18,154","8,656","13,524","14,225","6,363","11,937"
2020년09월_남_연령구간인구수,"219,416","2,454","11,318","2,292","9,419","9,914","4,786","5,532","4,698","4,509","9,410","4,174","14,009","3,399","18,256","18,723","11,297","12,367","18,154","8,656","13,524","14,225","6,363","11,937"
2020년09월_남_0~9세,"17,717",166,"1,193",95,"1,154",934,142,309,150,168,627,100,"1,125",175,"1,837","2,382",706,867,"1,406",506,918,"1,257",330,"1,170"
2020년09월_남_10~19세,"22,753",178,"1,024",136,"1,153","1,169",262,480,256,270,603,200,"1,572",226,"2,023","1,594",983,"1,351","2,714",834,"1,394","2,336",320,"1,675"
2020년09월_남_20~29세,"33,714",293,"1,375",286,"1,100","1,303",609,954,"1,351",748,"1,741","1,405","2,283",445,"2,164","2,165","2,038","1,984","2,931","1,384","2,361","2,246",779,"1,769"
2020년09월_남_30~39세,"28,523",366,"1,823",266,"1,361","1,202",455,650,680,635,"1,260",625,"1,807",472,"2,451","3,373","1,502","1,493","1,770",930,"1,667","1,409",922,"1,404"
2020년09월_남_40~49세,"35,840",398,"2,030",289,"1,775","1,629",649,724,620,582,"1,391",467,"2,175",486,"3,563","3,310","1,618","1,975","3,209","1,255","1,805","2,684",917,"2,289"
2020년09월_남_50~59세,"38,672",423,"1,618",493,"1,384","1,708",996,"1,084",643,812,"1,487",588,"2,394",604,"3,122","2,831","2,048","2,262","3,566","1,777","2,644","2,730","1,294","2,164"
2020년09월_남_60~69세,"25,739",342,"1,268",469,866,"1,110",956,807,562,721,"1,266",498,"1,727",589,"1,954","2,040","1,495","1,489","1,639","1,275","1,762",960,"1,079",865
2020년09월_남_70~79세,"11,996",217,670,196,440,629,505,392,306,422,733,209,672,292,898,811,633,713,655,508,688,403,572,432
2020년09월_남_80~89세,"4,166",64,289,52,167,219,201,116,121,145,277,77,243,105,231,206,257,220,245,177,269,191,137,157
2020년09월_남_90~99세,277,5,26,9,19,11,9,16,9,6,20,4,10,5,13,10,17,13,19,10,15,8,11,12
2020년09월_남_100세 이상,19,2,2,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,2,0
2020년09월_여_총인구수,"221,084","2,604","12,201","1,990","10,091","10,578","4,852","5,706","4,394","4,131","9,236","3,460","14,287","3,419","17,571","18,824","11,163","12,816","18,523","8,620","13,613","14,993","5,854","12,158"
2020년09월_여_연령구간인구수,"221,084","2,604","12,201","1,990","10,091","10,578","4,852","5,706","4,394","4,131","9,236","3,460","14,287","3,419","17,571","18,824","11,163","12,816","18,523","8,620","13,613","14,993","5,854","12,158"
2020년09월_여_0~9세,"16,874",179,"1,229",85,"1,142",859,131,298,151,146,636,91,"1,073",149,"1,659","2,261",699,803,"1,371",495,835,"1,165",336,"1,081"
2020년09월_여_10~19세,"21,115",191,"1,031",87,"1,117","1,135",231,463,237,216,584,176,"1,460",214,"1,926","1,549",814,"1,214","2,436",797,"1,179","2,187",318,"1,553"
2020년09월_여_20~29세,"28,223",282,"1,456",208,"1,055","1,138",432,737,"1,124",531,"1,139",894,"1,797",316,"1,890","1,867","1,785","1,782","2,497","1,091","1,988","1,954",612,"1,648"
2020년09월_여_30~39세,"26,107",330,"1,888",195,"1,524","1,238",303,541,446,400,984,387,"1,719",368,"2,352","3,241","1,205","1,334","1,770",739,"1,436","1,559",699,"1,449"
2020년09월_여_40~49세,"37,263",328,"2,027",199,"1,938","1,878",514,795,461,467,"1,277",362,"2,428",427,"3,424","3,125","1,619","2,066","3,766","1,353","2,116","3,478",725,"2,490"
