,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년07월_계_총인구수,"115,239","8,096","13,377","4,081","4,216","2,969","3,540","3,525","6,060","2,438","6,234","3,374","3,993","2,220","34,980","16,136"
2021년07월_계_연령구간인구수,"115,239","8,096","13,377","4,081","4,216","2,969","3,540","3,525","6,060","2,438","6,234","3,374","3,993","2,220","34,980","16,136"
2021년07월_계_0~9세,"6,972",300,860,118,106,107,66,86,189,66,388,59,111,61,"3,254","1,201"
2021년07월_계_10~19세,"9,592",621,"1,087",165,245,140,162,161,308,97,414,117,204,127,"3,929","1,815"
2021년07월_계_20~29세,"11,035",703,"1,234",276,274,194,207,240,363,122,448,209,419,142,"4,454","1,750"
2021년07월_계_30~39세,"10,319",504,"1,214",221,243,211,206,202,330,107,549,163,252,117,"4,492","1,508"
2021년07월_계_40~49세,"14,952",940,"1,651",342,393,286,371,335,522,213,608,286,425,193,"5,858","2,529"
2021년07월_계_50~59세,"19,296","1,410","2,061",658,724,473,661,626,"1,174",432,"1,053",590,718,360,"5,499","2,857"
2021년07월_계_60~69세,"20,691","1,706","2,455",966,992,658,866,874,"1,528",624,"1,198",880,861,541,"4,159","2,383"
2021년07월_계_70~79세,"12,930","1,173","1,593",710,702,497,536,550,929,439,866,587,558,371,"2,119","1,300"
2021년07월_계_80~89세,"8,214",635,"1,056",565,489,344,401,390,613,287,621,422,374,249,"1,065",703
2021년07월_계_90~99세,"1,191",99,161,58,47,56,61,58,99,50,88,61,66,55,144,88
2021년07월_계_100세 이상,47,5,5,2,1,3,3,3,5,1,1,0,5,4,7,2
2021년07월_남_총인구수,"57,624","3,980","6,673","2,069","2,130","1,496","1,772","1,790","3,146","1,241","3,180","1,719","2,120","1,061","17,408","7,839"
2021년07월_남_연령구간인구수,"57,624","3,980","6,673","2,069","2,130","1,496","1,772","1,790","3,146","1,241","3,180","1,719","2,120","1,061","17,408","7,839"
2021년07월_남_0~9세,"3,545",160,440,60,50,56,35,43,99,29,205,34,57,31,"1,649",597
2021년07월_남_10~19세,"4,950",312,556,89,120,77,94,76,173,54,234,63,90,59,"2,024",929
2021년07월_남_20~29세,"6,172",401,711,163,159,113,112,133,221,67,259,123,262,78,"2,388",982
2021년07월_남_30~39세,"5,475",268,662,140,142,120,109,117,181,71,286,104,167,63,"2,301",744
2021년07월_남_40~49세,"7,941",501,902,234,242,165,199,203,293,128,334,164,277,109,"2,943","1,247"
2021년07월_남_50~59세,"10,188",727,"1,105",344,398,278,370,360,647,255,571,321,418,202,"2,748","1,444"
2021년07월_남_60~69세,"10,473",845,"1,227",507,531,333,454,456,836,323,639,471,456,273,"2,014","1,108"
2021년07월_남_70~79세,"5,812",500,703,305,328,235,252,263,451,209,401,274,258,155,939,539
2021년07월_남_80~89세,"2,763",237,332,209,150,106,127,128,218,91,227,148,120,75,362,233
2021년07월_남_90~99세,297,26,35,18,10,13,20,11,27,14,24,17,14,15,38,15
2021년07월_남_100세 이상,8,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1
2021년07월_여_총인구수,"57,615","4,116","6,704","2,012","2,086","1,473","1,768","1,735","2,914","1,197","3,054","1,655","1,873","1,159","17,572","8,297"
2021년07월_여_연령구간인구수,"57,615","4,116","6,704","2,012","2,086","1,473","1,768","1,735","2,914","1,197","3,054","1,655","1,873","1,159","17,572","8,297"
2021년07월_여_0~9세,"3,427",140,420,58,56,51,31,43,90,37,183,25,54,30,"1,605",604
2021년07월_여_10~19세,"4,642",309,531,76,125,63,68,85,135,43,180,54,114,68,"1,905",886
2021년07월_여_20~29세,"4,863",302,523,113,115,81,95,107,142,55,189,86,157,64,"2,066",768
2021년07월_여_30~39세,"4,844",236,552,81,101,91,97,85,149,36,263,59,85,54,"2,191",764
2021년07월_여_40~49세,"7,011",439,749,108,151,121,172,132,229,85,274,122,148,84,"2,915","1,282"
2021년07월_여_50~59세,"9,108",683,956,314,326,195,291,266,527,177,482,269,300,158,"2,751","1,413"
2021년07월_여_60~69세,"10,218",861,"1,228",459,461,325,412,418,692,301,559,409,405,268,"2,145","1,275"
2021년07월_여_70~79세,"7,118",673,890,405,374,262,284,287,478,230,465,313,300,216,"1,180",761
2021년07월_여_80~89세,"5,451",398,724,356,339,238,274,262,395,196,394,274,254,174,703,470
2021년07월_여_90~99세,894,73,126,40,37,43,41,47,72,36,64,44,52,40,106,73
2021년07월_여_100세 이상,39,2,5,2,1,3,3,3,5,1,1,0,4,3,5,1
