카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년01월_계_총인구수,"38,451","10,373","2,107","1,949","2,347","3,184","2,192","5,094","3,462","2,838","2,067","2,838"
2020년01월_계_연령구간인구수,"38,451","10,373","2,107","1,949","2,347","3,184","2,192","5,094","3,462","2,838","2,067","2,838"
2020년01월_계_0~9세,"1,383",694,58,30,34,90,58,125,90,78,45,81
2020년01월_계_10~19세,"2,243","1,020",133,60,104,152,105,222,126,138,60,123
2020년01월_계_20~29세,"3,330","1,460",139,121,148,242,143,302,249,231,131,164
2020년01월_계_30~39세,"2,660","1,087",111,95,107,205,116,264,188,194,127,166
2020년01월_계_40~49세,"4,010","1,495",198,168,198,345,202,409,296,287,172,240
2020년01월_계_50~59세,"7,591","1,670",436,462,486,718,465,"1,129",723,537,402,563
2020년01월_계_60~69세,"8,143","1,422",488,477,601,659,505,"1,265",862,618,562,684
2020년01월_계_70~79세,"5,486",988,305,303,398,482,337,865,524,464,328,492
2020년01월_계_80~89세,"3,163",484,209,203,239,264,224,440,349,263,202,286
2020년01월_계_90~99세,415,50,29,29,28,25,37,68,52,27,35,35
2020년01월_계_100세 이상,27,3,1,1,4,2,0,5,3,1,3,4
2020년01월_남_총인구수,"19,640","5,305","1,094",987,"1,214","1,592","1,092","2,609","1,772","1,452","1,071","1,452"
2020년01월_남_연령구간인구수,"19,640","5,305","1,094",987,"1,214","1,592","1,092","2,609","1,772","1,452","1,071","1,452"
2020년01월_남_0~9세,701,358,33,16,14,37,26,58,44,44,24,47
2020년01월_남_10~19세,"1,149",513,70,28,62,74,51,116,72,62,31,70
2020년01월_남_20~29세,"1,931",839,79,75,86,123,84,183,152,128,83,99
2020년01월_남_30~39세,"1,504",573,69,55,69,123,63,157,107,108,85,95
2020년01월_남_40~49세,"2,337",809,123,104,118,207,112,238,190,174,111,151
2020년01월_남_50~59세,"4,077",892,239,253,258,383,245,612,387,304,206,298
2020년01월_남_60~69세,"4,239",708,254,249,324,357,262,659,453,331,297,345
2020년01월_남_70~79세,"2,515",420,141,133,185,215,171,416,246,204,160,224
2020년01월_남_80~89세,"1,087",180,77,69,91,68,69,153,107,89,69,115
2020년01월_남_90~99세,93,13,9,5,6,5,9,15,13,7,5,6
2020년01월_남_100세 이상,7,0,0,0,1,0,0,2,1,1,0,2
2020년01월_여_총인구수,"18,811","5,068","1,013",962,"1,133","1,592","1,100","2,485","1,690","1,386",996,"1,386"
2020년01월_여_연령구간인구수,"18,811","5,068","1,013",962,"1,133","1,592","1,100","2,485","1,690","1,386",996,"1,386"
2020년01월_여_0~9세,682,336,25,14,20,53,32,67,46,34,21,34
2020년01월_여_10~19세,"1,094",507,63,32,42,78,54,106,54,76,29,53
2020년01월_여_20~29세,"1,399",621,60,46,62,119,59,119,97,103,48,65
2020년01월_여_30~39세,"1,156",514,42,40,38,82,53,107,81,86,42,71
2020년01월_여_40~49세,"1,673",686,75,64,80,138,90,171,106,113,61,89
2020년01월_여_50~59세,"3,514",778,197,209,228,335,220,517,336,233,196,265
2020년01월_여_60~69세,"3,904",714,234,228,277,302,243,606,409,287,265,339
2020년01월_여_70~79세,"2,971",568,164,170,213,267,166,449,278,260,168,268
2020년01월_여_80~89세,"2,076",304,132,134,148,196,155,287,242,174,133,171
2020년01월_여_90~99세,322,37,20,24,22,20,28,53,39,20,30,29
2020년01월_여_100세 이상,20,3,1,1,3,2,0,3,2,0,3,2
