카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년03월_계_총인구수,"87,870","10,665","15,040","5,477","32,788","3,101","6,301","4,648","1,979","4,933","2,938"
2021년03월_계_연령구간인구수,"87,870","10,665","15,040","5,477","32,788","3,101","6,301","4,648","1,979","4,933","2,938"
2021년03월_계_0~9세,"8,046",712,"2,348",162,"4,220",46,195,111,57,117,78
2021년03월_계_10~19세,"9,383","1,109","1,520",304,"5,206",134,414,195,86,249,166
2021년03월_계_20~29세,"9,039","1,282","1,072",503,"4,177",234,714,332,139,351,235
2021년03월_계_30~39세,"10,651",938,"2,576",328,"5,451",154,427,266,119,232,160
2021년03월_계_40~49세,"13,938","1,535","2,387",581,"7,135",255,682,397,209,487,270
2021년03월_계_50~59세,"12,952","1,872","1,708","1,128","3,910",593,"1,125",874,337,827,578
2021년03월_계_60~69세,"11,098","1,595","1,541","1,194","1,710",610,"1,235","1,017",476,"1,064",656
2021년03월_계_70~79세,"7,839","1,058","1,154",778,677,577,886,886,354,965,504
2021년03월_계_80~89세,"4,283",506,643,425,264,438,527,491,159,566,264
2021년03월_계_90~99세,617,58,89,71,37,59,86,78,40,73,26
2021년03월_계_100세 이상,24,0,2,3,1,1,10,1,3,2,1
2021년03월_남_총인구수,"44,133","5,313","7,524","2,885","16,203","1,544","3,256","2,359","1,026","2,505","1,518"
2021년03월_남_연령구간인구수,"44,133","5,313","7,524","2,885","16,203","1,544","3,256","2,359","1,026","2,505","1,518"
2021년03월_남_0~9세,"4,150",360,"1,220",79,"2,172",19,107,62,35,63,33
2021년03월_남_10~19세,"4,764",583,761,150,"2,644",71,203,85,46,137,84
2021년03월_남_20~29세,"4,841",721,565,286,"2,062",143,429,195,76,232,132
2021년03월_남_30~39세,"5,421",502,"1,244",187,"2,652",104,251,164,76,137,104
2021년03월_남_40~49세,"7,337",775,"1,314",357,"3,442",162,400,273,135,308,171
2021년03월_남_50~59세,"7,115",985,954,652,"2,046",344,633,513,186,461,341
2021년03월_남_60~69세,"5,584",770,741,657,811,314,656,509,246,536,344
2021년03월_남_70~79세,"3,522",450,524,376,297,258,395,393,162,443,224
2021년03월_남_80~89세,"1,299",159,184,133,71,119,169,151,57,178,78
2021년03월_남_90~99세,97,8,17,8,5,9,13,14,7,10,6
2021년03월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년03월_여_총인구수,"43,737","5,352","7,516","2,592","16,585","1,557","3,045","2,289",953,"2,428","1,420"
2021년03월_여_연령구간인구수,"43,737","5,352","7,516","2,592","16,585","1,557","3,045","2,289",953,"2,428","1,420"
2021년03월_여_0~9세,"3,896",352,"1,128",83,"2,048",27,88,49,22,54,45
2021년03월_여_10~19세,"4,619",526,759,154,"2,562",63,211,110,40,112,82
2021년03월_여_20~29세,"4,198",561,507,217,"2,115",91,285,137,63,119,103
2021년03월_여_30~39세,"5,230",436,"1,332",141,"2,799",50,176,102,43,95,56
2021년03월_여_40~49세,"6,601",760,"1,073",224,"3,693",93,282,124,74,179,99
2021년03월_여_50~59세,"5,837",887,754,476,"1,864",249,492,361,151,366,237
2021년03월_여_60~69세,"5,514",825,800,537,899,296,579,508,230,528,312
2021년03월_여_70~79세,"4,317",608,630,402,380,319,491,493,192,522,280
2021년03월_여_80~89세,"2,984",347,459,292,193,319,358,340,102,388,186
2021년03월_여_90~99세,520,50,72,63,32,50,73,64,33,63,20
2021년03월_여_100세 이상,21,0,2,3,0,0,10,1,3,2,0
