,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년03월_계_총인구수,"101,630","10,997","4,234","3,888","3,244","2,175","3,100","1,164","4,250","6,140","4,440","3,030","29,609","9,317","4,855","6,909","4,278"
2020년03월_계_연령구간인구수,"101,630","10,997","4,234","3,888","3,244","2,175","3,100","1,164","4,250","6,140","4,440","3,030","29,609","9,317","4,855","6,909","4,278"
2020년03월_계_0~9세,"5,826",401,104,110,81,66,66,14,144,279,75,80,"2,735",678,168,561,264
2020년03월_계_10~19세,"6,834",516,153,176,92,83,89,35,166,233,147,89,"3,044",924,289,577,221
2020년03월_계_20~29세,"10,390",997,340,250,190,104,205,67,271,"1,117",262,204,"3,576","1,185",512,697,413
2020년03월_계_30~39세,"9,572",826,312,229,193,101,162,53,245,484,258,206,"3,771","1,001",393,863,475
2020년03월_계_40~49세,"12,942","1,335",370,344,297,168,252,65,408,516,425,262,"4,911","1,435",577,"1,072",505
2020년03월_계_50~59세,"18,310","2,265",835,688,585,412,580,264,721,904,813,575,"5,207","1,632",909,"1,122",798
2020년03월_계_60~69세,"17,911","2,224",983,924,759,536,795,273,934,"1,104","1,063",806,"3,589","1,245",952,975,749
2020년03월_계_70~79세,"12,270","1,570",701,696,621,388,572,213,839,924,826,486,"1,744",781,679,697,533
2020년03월_계_80~89세,"6,790",782,382,425,388,282,335,160,462,521,510,290,938,388,339,316,272
2020년03월_계_90~99세,744,78,52,45,38,34,38,19,59,55,58,31,89,43,36,22,47
2020년03월_계_100세 이상,41,3,2,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년03월_남_총인구수,"51,685","5,767","2,198","1,909","1,684","1,080","1,568",587,"2,162","3,468","2,291","1,594","14,604","4,634","2,401","3,439","2,299"
2020년03월_남_연령구간인구수,"51,685","5,767","2,198","1,909","1,684","1,080","1,568",587,"2,162","3,468","2,291","1,594","14,604","4,634","2,401","3,439","2,299"
2020년03월_남_0~9세,"2,952",210,54,60,45,43,32,9,77,146,34,43,"1,373",340,85,268,133
2020년03월_남_10~19세,"3,684",301,89,87,56,48,51,17,92,126,81,44,"1,622",485,142,326,117
2020년03월_남_20~29세,"6,192",572,206,155,128,58,118,38,167,911,159,123,"2,010",638,281,374,254
2020년03월_남_30~39세,"5,244",471,192,134,114,55,98,28,133,289,161,132,"1,958",516,229,452,282
2020년03월_남_40~49세,"7,092",784,239,199,187,103,164,41,249,327,260,171,"2,414",754,332,558,310
2020년03월_남_50~59세,"9,716","1,301",438,375,345,226,320,144,405,470,466,335,"2,547",812,470,580,482
2020년03월_남_60~69세,"8,951","1,136",501,457,410,275,397,155,453,591,552,418,"1,694",630,454,457,371
2020년03월_남_70~79세,"5,425",702,334,294,269,176,267,91,395,419,390,225,702,315,296,299,251
2020년03월_남_80~89세,"2,238",268,132,138,122,91,110,60,171,175,176,94,260,138,103,111,89
2020년03월_남_90~99세,178,21,12,10,8,5,10,4,20,13,11,8,23,5,9,9,10
2020년03월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년03월_여_총인구수,"49,945","5,230","2,036","1,979","1,560","1,095","1,532",577,"2,088","2,672","2,149","1,436","15,005","4,683","2,454","3,470","1,979"
2020년03월_여_연령구간인구수,"49,945","5,230","2,036","1,979","1,560","1,095","1,532",577,"2,088","2,672","2,149","1,436","15,005","4,683","2,454","3,470","1,979"
2020년03월_여_0~9세,"2,874",191,50,50,36,23,34,5,67,133,41,37,"1,362",338,83,293,131
2020년03월_여_10~19세,"3,150",215,64,89,36,35,38,18,74,107,66,45,"1,422",439,147,251,104
2020년03월_여_20~29세,"4,198",425,134,95,62,46,87,29,104,206,103,81,"1,566",547,231,323,159
2020년03월_여_30~39세,"4,328",355,120,95,79,46,64,25,112,195,97,74,"1,813",485,164,411,193
2020년03월_여_40~49세,"5,850",551,131,145,110,65,88,24,159,189,165,91,"2,497",681,245,514,195
2020년03월_여_50~59세,"8,594",964,397,313,240,186,260,120,316,434,347,240,"2,660",820,439,542,316
2020년03월_여_60~69세,"8,960","1,088",482,467,349,261,398,118,481,513,511,388,"1,895",615,498,518,378
2020년03월_여_70~79세,"6,845",868,367,402,352,212,305,122,444,505,436,261,"1,042",466,383,398,282
2020년03월_여_80~89세,"4,552",514,250,287,266,191,225,100,291,346,334,196,678,250,236,205,183
2020년03월_여_90~99세,566,57,40,35,30,29,28,15,39,42,47,23,66,38,27,13,37
2020년03월_여_100세 이상,28,2,1,1,0,1,5,1,1,2,2,0,4,4,1,2,1
