,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년11월_계_총인구수,"89,031","4,835","5,813","11,432","6,386","4,237","10,099","4,174","5,609","11,073","12,060","8,752","4,561"
2020년11월_계_연령구간인구수,"89,031","4,835","5,813","11,432","6,386","4,237","10,099","4,174","5,609","11,073","12,060","8,752","4,561"
2020년11월_계_0~9세,"4,106",173,165,997,198,180,409,119,185,454,383,465,378
2020년11월_계_10~19세,"5,165",273,277,722,414,314,603,244,354,638,633,431,262
2020년11월_계_20~29세,"10,514",673,631,"1,749",664,509,"1,203",371,583,"1,306","1,299","1,096",430
2020년11월_계_30~39세,"10,425",506,556,"2,338",522,397,"1,174",312,453,"1,143","1,176","1,175",673
2020년11월_계_40~49세,"11,968",699,771,"1,734",832,579,"1,312",498,707,"1,450","1,432","1,234",720
2020년11월_계_50~59세,"14,797",790,993,"1,594","1,054",723,"1,669",718,978,"1,879","2,150","1,630",619
2020년11월_계_60~69세,"16,068",865,"1,205","1,272","1,248",742,"1,880",824,"1,086","2,025","2,576","1,583",762
2020년11월_계_70~79세,"10,710",591,822,681,934,547,"1,251",729,854,"1,472","1,579",783,467
2020년11월_계_80~89세,"4,589",233,326,282,442,219,530,321,355,632,731,313,205
2020년11월_계_90~99세,588,27,58,55,65,22,52,36,52,58,88,35,40
2020년11월_계_100세 이상,101,5,9,8,13,5,16,2,2,16,13,7,5
2020년11월_남_총인구수,"43,603","2,411","2,872","5,611","3,098","2,062","4,822","2,087","2,676","5,364","5,955","4,420","2,225"
2020년11월_남_연령구간인구수,"43,603","2,411","2,872","5,611","3,098","2,062","4,822","2,087","2,676","5,364","5,955","4,420","2,225"
2020년11월_남_0~9세,"2,166",72,97,519,109,93,203,68,104,255,202,247,197
2020년11월_남_10~19세,"2,671",148,142,388,225,159,296,144,179,311,309,233,137
2020년11월_남_20~29세,"5,330",346,319,747,364,278,590,211,328,694,697,554,202
2020년11월_남_30~39세,"5,571",267,315,"1,207",293,216,639,184,244,595,647,619,345
2020년11월_남_40~49세,"6,404",395,438,890,430,303,681,281,373,772,795,654,392
2020년11월_남_50~59세,"7,534",429,531,806,538,361,815,401,473,918,"1,121",837,304
2020년11월_남_60~69세,"7,602",403,543,634,579,325,858,403,484,954,"1,242",788,389
2020년11월_남_70~79세,"4,582",269,354,305,388,230,550,286,364,620,680,352,184
2020년11월_남_80~89세,"1,565",73,109,98,153,91,169,98,115,231,237,124,67
2020년11월_남_90~99세,147,7,20,12,14,6,18,11,12,8,22,10,7
2020년11월_남_100세 이상,31,2,4,5,5,0,3,0,0,6,3,2,1
2020년11월_여_총인구수,"45,428","2,424","2,941","5,821","3,288","2,175","5,277","2,087","2,933","5,709","6,105","4,332","2,336"
2020년11월_여_연령구간인구수,"45,428","2,424","2,941","5,821","3,288","2,175","5,277","2,087","2,933","5,709","6,105","4,332","2,336"
2020년11월_여_0~9세,"1,940",101,68,478,89,87,206,51,81,199,181,218,181
2020년11월_여_10~19세,"2,494",125,135,334,189,155,307,100,175,327,324,198,125
2020년11월_여_20~29세,"5,184",327,312,"1,002",300,231,613,160,255,612,602,542,228
2020년11월_여_30~39세,"4,854",239,241,"1,131",229,181,535,128,209,548,529,556,328
2020년11월_여_40~49세,"5,564",304,333,844,402,276,631,217,334,678,637,580,328
2020년11월_여_50~59세,"7,263",361,462,788,516,362,854,317,505,961,"1,029",793,315
2020년11월_여_60~69세,"8,466",462,662,638,669,417,"1,022",421,602,"1,071","1,334",795,373
2020년11월_여_70~79세,"6,128",322,468,376,546,317,701,443,490,852,899,431,283
2020년11월_여_80~89세,"3,024",160,217,184,289,128,361,223,240,401,494,189,138
2020년11월_여_90~99세,441,20,38,43,51,16,34,25,40,50,66,25,33
2020년11월_여_100세 이상,70,3,5,3,8,5,13,2,2,10,10,5,4
