카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년10월_계_총인구수,"485,859","28,926","47,996","29,127","9,849","5,462","8,211","61,093","38,984","22,718","61,787","41,280","44,930","35,731","49,765"
2021년10월_계_연령구간인구수,"485,859","28,926","47,996","29,127","9,849","5,462","8,211","61,093","38,984","22,718","61,787","41,280","44,930","35,731","49,765"
2021년10월_계_0~9세,"54,173","1,757","6,415","2,268",305,129,249,"5,857","4,638","1,494","6,377","5,381","6,456","5,532","7,315"
2021년10월_계_10~19세,"49,625","2,362","4,661","2,511",516,230,435,"6,318","5,585","2,051","7,020","5,191","4,083","3,188","5,474"
2021년10월_계_20~29세,"52,673","3,541","4,323","2,930",928,504,801,"7,599","3,946","3,108","7,661","3,940","5,849","3,054","4,489"
2021년10월_계_30~39세,"75,624","3,200","8,548","3,853",861,406,693,"8,157","5,319","2,815","8,917","6,388","10,188","7,638","8,641"
2021년10월_계_40~49세,"91,826","4,243","9,397","4,858","1,217",589,864,"10,597","8,369","3,719","11,596","9,222","8,819","7,177","11,159"
2021년10월_계_50~59세,"68,954","5,486","6,074","4,955","2,161","1,111","1,633","10,320","5,216","4,191","9,097","5,033","4,295","3,561","5,821"
2021년10월_계_60~69세,"53,437","4,813","5,335","4,479","2,170","1,336","1,853","7,034","3,329","3,009","6,218","3,441","3,188","3,158","4,074"
2021년10월_계_70~79세,"26,498","2,221","2,241","2,135","1,046",704,"1,030","3,390","1,794","1,537","3,319","1,870","1,479","1,759","1,973"
2021년10월_계_80~89세,"11,314","1,121",852,975,549,370,564,"1,605",694,698,"1,395",711,497,575,708
2021년10월_계_90~99세,"1,682",175,145,157,93,79,84,212,92,91,181,100,74,88,111
2021년10월_계_100세 이상,53,7,5,6,3,4,5,4,2,5,6,3,2,1,0
2021년10월_남_총인구수,"243,149","15,461","23,935","15,369","5,782","2,999","4,472","30,060","18,994","11,378","30,134","20,155","22,370","17,725","24,315"
2021년10월_남_연령구간인구수,"243,149","15,461","23,935","15,369","5,782","2,999","4,472","30,060","18,994","11,378","30,134","20,155","22,370","17,725","24,315"
2021년10월_남_0~9세,"27,605",906,"3,340","1,135",163,59,124,"2,950","2,310",797,"3,257","2,715","3,253","2,873","3,723"
2021년10월_남_10~19세,"25,290","1,279","2,411","1,310",287,104,246,"3,214","2,837","1,073","3,592","2,559","1,994","1,582","2,802"
2021년10월_남_20~29세,"27,118","2,104","2,162","1,612",583,313,498,"4,032","1,984","1,654","3,685","1,987","2,830","1,504","2,170"
2021년10월_남_30~39세,"37,112","1,806","4,072","2,135",551,240,403,"3,948","2,464","1,469","4,250","3,013","5,118","3,756","3,887"
2021년10월_남_40~49세,"47,681","2,374","4,857","2,745",768,364,537,"5,197","4,133","1,885","5,745","4,676","4,741","3,868","5,791"
2021년10월_남_50~59세,"35,228","2,996","3,045","2,724","1,388",646,938,"5,067","2,620","2,065","4,495","2,538","2,109","1,712","2,885"
2021년10월_남_60~69세,"26,015","2,530","2,548","2,306","1,272",738,998,"3,502","1,513","1,469","2,922","1,559","1,452","1,384","1,822"
2021년10월_남_70~79세,"12,377","1,018","1,134","1,007",530,381,484,"1,496",838,696,"1,573",824,673,808,915
2021년10월_남_80~89세,"4,313",401,335,363,220,138,221,594,271,251,564,267,183,213,292
2021년10월_남_90~99세,396,45,30,30,19,16,22,58,23,19,49,16,16,25,28
2021년10월_남_100세 이상,14,2,1,2,1,0,1,2,1,0,2,1,1,0,0
2021년10월_여_총인구수,"242,710","13,465","24,061","13,758","4,067","2,463","3,739","31,033","19,990","11,340","31,653","21,125","22,560","18,006","25,450"
2021년10월_여_연령구간인구수,"242,710","13,465","24,061","13,758","4,067","2,463","3,739","31,033","19,990","11,340","31,653","21,125","22,560","18,006","25,450"
2021년10월_여_0~9세,"26,568",851,"3,075","1,133",142,70,125,"2,907","2,328",697,"3,120","2,666","3,203","2,659","3,592"
2021년10월_여_10~19세,"24,335","1,083","2,250","1,201",229,126,189,"3,104","2,748",978,"3,428","2,632","2,089","1,606","2,672"
2021년10월_여_20~29세,"25,555","1,437","2,161","1,318",345,191,303,"3,567","1,962","1,454","3,976","1,953","3,019","1,550","2,319"
2021년10월_여_30~39세,"38,512","1,394","4,476","1,718",310,166,290,"4,209","2,855","1,346","4,667","3,375","5,070","3,882","4,754"
2021년10월_여_40~49세,"44,145","1,869","4,540","2,113",449,225,327,"5,400","4,236","1,834","5,851","4,546","4,078","3,309","5,368"
2021년10월_여_50~59세,"33,726","2,490","3,029","2,231",773,465,695,"5,253","2,596","2,126","4,602","2,495","2,186","1,849","2,936"
2021년10월_여_60~69세,"27,422","2,283","2,787","2,173",898,598,855,"3,532","1,816","1,540","3,296","1,882","1,736","1,774","2,252"
2021년10월_여_70~79세,"14,121","1,203","1,107","1,128",516,323,546,"1,894",956,841,"1,746","1,046",806,951,"1,058"
2021년10월_여_80~89세,"7,001",720,517,612,329,232,343,"1,011",423,447,831,444,314,362,416
2021년10월_여_90~99세,"1,286",130,115,127,74,63,62,154,69,72,132,84,58,63,83
2021년10월_여_100세 이상,39,5,4,4,2,4,4,2,1,5,4,2,1,1,0
