,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년07월_계_총인구수,"1,470,225","224,060","238,149","481,209","352,316","174,491"
2020년07월_계_연령구간인구수,"1,470,225","224,060","238,149","481,209","352,316","174,491"
2020년07월_계_0~9세,"117,982","15,511","15,860","39,409","35,941","11,261"
2020년07월_계_10~19세,"149,054","20,320","22,479","50,667","38,567","17,021"
2020년07월_계_20~29세,"212,861","30,374","31,290","74,135","52,765","24,297"
2020년07월_계_30~39세,"197,250","26,365","26,920","67,397","57,009","19,559"
2020년07월_계_40~49세,"239,825","34,273","37,544","79,546","60,845","27,617"
2020년07월_계_50~59세,"242,797","37,085","40,150","78,087","54,086","33,389"
2020년07월_계_60~69세,"174,228","31,794","33,015","53,409","32,455","23,555"
2020년07월_계_70~79세,"90,359","18,972","20,503","25,655","13,294","11,935"
2020년07월_계_80~89세,"39,760","8,159","9,044","11,145","6,253","5,159"
2020년07월_계_90~99세,"5,748","1,110","1,261","1,669","1,045",663
2020년07월_계_100세 이상,361,97,83,90,56,35
2020년07월_남_총인구수,"734,008","112,971","117,592","236,814","177,867","88,764"
2020년07월_남_연령구간인구수,"734,008","112,971","117,592","236,814","177,867","88,764"
2020년07월_남_0~9세,"60,602","7,987","8,119","20,275","18,521","5,700"
2020년07월_남_10~19세,"77,107","10,505","11,565","26,171","20,008","8,858"
2020년07월_남_20~29세,"111,815","16,149","16,083","37,803","28,269","13,511"
2020년07월_남_30~39세,"102,600","14,176","13,868","34,330","29,576","10,650"
2020년07월_남_40~49세,"119,547","18,011","19,049","38,458","29,983","14,046"
2020년07월_남_50~59세,"121,015","18,993","20,242","37,870","26,902","17,008"
2020년07월_남_60~69세,"84,765","15,412","15,699","25,784","16,190","11,680"
2020년07월_남_70~79세,"40,978","8,500","9,223","11,785","6,128","5,342"
2020년07월_남_80~89세,"14,165","2,936","3,416","3,946","2,038","1,829"
2020년07월_남_90~99세,"1,326",273,308,374,239,132
2020년07월_남_100세 이상,88,29,20,18,13,8
2020년07월_여_총인구수,"736,217","111,089","120,557","244,395","174,449","85,727"
2020년07월_여_연령구간인구수,"736,217","111,089","120,557","244,395","174,449","85,727"
2020년07월_여_0~9세,"57,380","7,524","7,741","19,134","17,420","5,561"
2020년07월_여_10~19세,"71,947","9,815","10,914","24,496","18,559","8,163"
2020년07월_여_20~29세,"101,046","14,225","15,207","36,332","24,496","10,786"
2020년07월_여_30~39세,"94,650","12,189","13,052","33,067","27,433","8,909"
2020년07월_여_40~49세,"120,278","16,262","18,495","41,088","30,862","13,571"
2020년07월_여_50~59세,"121,782","18,092","19,908","40,217","27,184","16,381"
2020년07월_여_60~69세,"89,463","16,382","17,316","27,625","16,265","11,875"
2020년07월_여_70~79세,"49,381","10,472","11,280","13,870","7,166","6,593"
2020년07월_여_80~89세,"25,595","5,223","5,628","7,199","4,215","3,330"
2020년07월_여_90~99세,"4,422",837,953,"1,295",806,531
2020년07월_여_100세 이상,273,68,63,72,43,27
