카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년10월_계_총인구수,"386,496","113,344","47,076","23,274","9,619","15,741","1,506","2,523","25,846","22,229","18,368","39,292","33,617","34,061"
2021년10월_계_연령구간인구수,"386,496","113,344","47,076","23,274","9,619","15,741","1,506","2,523","25,846","22,229","18,368","39,292","33,617","34,061"
2021년10월_계_0~9세,"33,415","10,770","3,618","1,345",440,"1,033",33,138,"2,022","1,553","1,890","2,888","2,532","5,153"
2021년10월_계_10~19세,"34,183","8,972","4,927","1,799",629,"1,272",65,179,"2,254","2,039","1,617","3,599","2,670","4,161"
2021년10월_계_20~29세,"45,080","13,289","5,610","2,864","1,011","1,222",107,174,"3,481","2,777","2,320","5,035","4,271","2,919"
2021년10월_계_30~39세,"55,841","19,181","6,201","2,737","1,020","1,450",101,214,"3,688","2,912","2,808","5,092","4,671","5,766"
2021년10월_계_40~49세,"67,562","20,570","8,174","3,540","1,333","2,525",138,333,"4,218","3,697","3,188","6,794","5,662","7,390"
2021년10월_계_50~59세,"65,043","17,703","8,192","4,585","1,921","2,680",258,457,"4,475","4,042","3,092","7,420","6,052","4,166"
2021년10월_계_60~69세,"52,083","13,947","6,246","3,776","1,890","3,123",417,542,"3,437","3,220","2,229","5,468","4,972","2,816"
2021년10월_계_70~79세,"22,835","6,213","2,737","1,661",860,"1,653",223,289,"1,553","1,402",883,"2,132","2,000","1,229"
2021년10월_계_80~89세,"9,102","2,337","1,205",850,444,670,141,166,632,506,294,773,686,398
2021년10월_계_90~99세,"1,301",350,160,114,67,109,23,29,84,77,43,86,98,61
2021년10월_계_100세 이상,51,12,6,3,4,4,0,2,2,4,4,5,3,2
2021년10월_남_총인구수,"197,315","57,252","24,469","12,383","5,296","8,007",794,"1,334","13,337","11,193","9,161","19,946","17,274","16,869"
2021년10월_남_연령구간인구수,"197,315","57,252","24,469","12,383","5,296","8,007",794,"1,334","13,337","11,193","9,161","19,946","17,274","16,869"
2021년10월_남_0~9세,"17,118","5,563","1,891",692,226,515,20,69,"1,068",756,973,"1,443","1,320","2,582"
2021년10월_남_10~19세,"17,476","4,607","2,509",957,332,685,33,96,"1,154",984,788,"1,810","1,395","2,126"
2021년10월_남_20~29세,"23,969","6,958","2,983","1,567",586,673,58,91,"1,885","1,486","1,200","2,684","2,298","1,500"
2021년10월_남_30~39세,"28,967","9,892","3,259","1,523",597,756,55,103,"1,957","1,557","1,415","2,730","2,427","2,696"
2021년10월_남_40~49세,"35,695","11,005","4,332","1,919",798,"1,371",78,189,"2,208","1,908","1,631","3,489","3,033","3,734"
2021년10월_남_50~59세,"33,235","8,616","4,410","2,537","1,083","1,383",149,259,"2,372","2,035","1,497","3,696","3,061","2,137"
2021년10월_남_60~69세,"26,036","6,712","3,275","2,018","1,042","1,514",225,299,"1,742","1,601","1,106","2,722","2,466","1,314"
2021년10월_남_70~79세,"11,029","2,923","1,322",820,453,815,110,146,714,669,409,"1,048",993,607
2021년10월_남_80~89세,"3,499",891,455,320,164,266,59,75,227,179,133,301,264,165
2021년10월_남_90~99세,278,80,31,29,14,27,7,6,9,18,9,23,17,8
2021년10월_남_100세 이상,13,5,2,1,1,2,0,1,1,0,0,0,0,0
2021년10월_여_총인구수,"189,181","56,092","22,607","10,891","4,323","7,734",712,"1,189","12,509","11,036","9,207","19,346","16,343","17,192"
2021년10월_여_연령구간인구수,"189,181","56,092","22,607","10,891","4,323","7,734",712,"1,189","12,509","11,036","9,207","19,346","16,343","17,192"
2021년10월_여_0~9세,"16,297","5,207","1,727",653,214,518,13,69,954,797,917,"1,445","1,212","2,571"
2021년10월_여_10~19세,"16,707","4,365","2,418",842,297,587,32,83,"1,100","1,055",829,"1,789","1,275","2,035"
2021년10월_여_20~29세,"21,111","6,331","2,627","1,297",425,549,49,83,"1,596","1,291","1,120","2,351","1,973","1,419"
2021년10월_여_30~39세,"26,874","9,289","2,942","1,214",423,694,46,111,"1,731","1,355","1,393","2,362","2,244","3,070"
2021년10월_여_40~49세,"31,867","9,565","3,842","1,621",535,"1,154",60,144,"2,010","1,789","1,557","3,305","2,629","3,656"
2021년10월_여_50~59세,"31,808","9,087","3,782","2,048",838,"1,297",109,198,"2,103","2,007","1,595","3,724","2,991","2,029"
2021년10월_여_60~69세,"26,047","7,235","2,971","1,758",848,"1,609",192,243,"1,695","1,619","1,123","2,746","2,506","1,502"
2021년10월_여_70~79세,"11,806","3,290","1,415",841,407,838,113,143,839,733,474,"1,084","1,007",622
2021년10월_여_80~89세,"5,603","1,446",750,530,280,404,82,91,405,327,161,472,422,233
2021년10월_여_90~99세,"1,023",270,129,85,53,82,16,23,75,59,34,63,81,53
2021년10월_여_100세 이상,38,7,4,2,3,2,0,1,1,4,4,5,3,2
