,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년12월_계_총인구수,"43,516","7,869","19,358","3,214","3,933","2,652","1,781","1,028","2,762",200,719
2020년12월_계_연령구간인구수,"43,516","7,869","19,358","3,214","3,933","2,652","1,781","1,028","2,762",200,719
2020년12월_계_0~9세,"2,730",690,"1,576",91,124,84,52,23,60,9,21
2020년12월_계_10~19세,"3,193",448,"1,953",176,189,149,71,50,113,9,35
2020년12월_계_20~29세,"5,364","1,245","2,436",332,461,238,142,81,327,44,58
2020년12월_계_30~39세,"4,259","1,015","2,204",192,269,183,125,68,151,12,40
2020년12월_계_40~49세,"4,978",806,"2,688",297,406,251,140,81,231,19,59
2020년12월_계_50~59세,"7,132","1,062","3,181",580,695,511,338,157,438,32,138
2020년12월_계_60~69세,"7,547","1,130","2,743",703,864,556,468,238,648,34,163
2020년12월_계_70~79세,"5,045",875,"1,536",500,564,432,266,223,500,26,123
2020년12월_계_80~89세,"2,821",512,868,310,309,230,156,96,257,13,70
2020년12월_계_90~99세,400,82,151,29,44,15,21,10,35,1,12
2020년12월_계_100세 이상,47,4,22,4,8,3,2,1,2,1,0
2020년12월_남_총인구수,"22,799","4,284","9,835","1,704","2,093","1,427",948,552,"1,479",116,361
2020년12월_남_연령구간인구수,"22,799","4,284","9,835","1,704","2,093","1,427",948,552,"1,479",116,361
2020년12월_남_0~9세,"1,394",343,821,44,55,41,30,13,29,4,14
2020년12월_남_10~19세,"1,692",250,"1,002",96,112,87,40,32,52,4,17
2020년12월_남_20~29세,"3,403",873,"1,359",229,324,152,85,51,257,38,35
2020년12월_남_30~39세,"2,428",611,"1,189",112,165,115,71,41,95,7,22
2020년12월_남_40~49세,"2,722",456,"1,370",180,245,143,84,53,142,9,40
2020년12월_남_50~59세,"3,837",601,"1,665",311,379,282,181,90,243,18,67
2020년12월_남_60~69세,"3,886",563,"1,386",382,442,296,268,124,325,18,82
2020년12월_남_70~79세,"2,293",377,704,228,247,205,117,106,238,14,57
2020년12월_남_80~89세,"1,019",184,290,111,111,100,64,40,88,4,27
2020년12월_남_90~99세,108,26,39,9,12,5,7,1,9,0,0
2020년12월_남_100세 이상,17,0,10,2,1,1,1,1,1,0,0
2020년12월_여_총인구수,"20,717","3,585","9,523","1,510","1,840","1,225",833,476,"1,283",84,358
2020년12월_여_연령구간인구수,"20,717","3,585","9,523","1,510","1,840","1,225",833,476,"1,283",84,358
2020년12월_여_0~9세,"1,336",347,755,47,69,43,22,10,31,5,7
2020년12월_여_10~19세,"1,501",198,951,80,77,62,31,18,61,5,18
2020년12월_여_20~29세,"1,961",372,"1,077",103,137,86,57,30,70,6,23
2020년12월_여_30~39세,"1,831",404,"1,015",80,104,68,54,27,56,5,18
2020년12월_여_40~49세,"2,256",350,"1,318",117,161,108,56,28,89,10,19
2020년12월_여_50~59세,"3,295",461,"1,516",269,316,229,157,67,195,14,71
2020년12월_여_60~69세,"3,661",567,"1,357",321,422,260,200,114,323,16,81
2020년12월_여_70~79세,"2,752",498,832,272,317,227,149,117,262,12,66
2020년12월_여_80~89세,"1,802",328,578,199,198,130,92,56,169,9,43
2020년12월_여_90~99세,292,56,112,20,32,10,14,9,26,1,12
2020년12월_여_100세 이상,30,4,12,2,7,2,1,0,1,1,0
