,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년06월_계_총인구수,"30,927","9,971","1,419","1,845","2,531","8,379","1,902","1,550","3,330"
2021년06월_계_연령구간인구수,"30,927","9,971","1,419","1,845","2,531","8,379","1,902","1,550","3,330"
2021년06월_계_0~9세,"1,368",589,34,45,62,469,40,27,102
2021년06월_계_10~19세,"1,963",884,42,51,71,738,32,45,100
2021년06월_계_20~29세,"2,395",917,88,107,192,742,112,67,170
2021년06월_계_30~39세,"2,172",789,56,108,162,715,109,71,162
2021년06월_계_40~49세,"3,653","1,470",93,150,230,"1,188",130,130,262
2021년06월_계_50~59세,"5,775","1,840",250,317,530,"1,592",393,276,577
2021년06월_계_60~69세,"6,473","1,726",372,462,622,"1,581",495,358,857
2021년06월_계_70~79세,"4,091","1,065",235,337,379,850,337,310,578
2021년06월_계_80~89세,"2,698",623,225,237,244,453,216,247,453
2021년06월_계_90~99세,331,66,22,30,39,51,38,19,66
2021년06월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년06월_남_총인구수,"15,879","5,036",703,924,"1,388","4,355","1,021",801,"1,651"
2021년06월_남_연령구간인구수,"15,879","5,036",703,924,"1,388","4,355","1,021",801,"1,651"
2021년06월_남_0~9세,709,313,17,19,28,245,24,13,50
2021년06월_남_10~19세,"1,047",487,22,29,36,384,18,18,53
2021년06월_남_20~29세,"1,396",536,50,60,114,419,68,49,100
2021년06월_남_30~39세,"1,185",401,31,61,101,392,67,47,85
2021년06월_남_40~49세,"2,059",767,53,99,155,644,89,85,167
2021년06월_남_50~59세,"3,276","1,019",141,176,318,886,242,167,327
2021년06월_남_60~69세,"3,411",847,208,243,355,827,283,188,460
2021년06월_남_70~79세,"1,831",448,98,154,182,381,160,151,257
2021년06월_남_80~89세,887,205,75,74,90,164,60,81,138
2021년06월_남_90~99세,75,13,7,8,9,13,10,2,13
2021년06월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년06월_여_총인구수,"15,048","4,935",716,921,"1,143","4,024",881,749,"1,679"
2021년06월_여_연령구간인구수,"15,048","4,935",716,921,"1,143","4,024",881,749,"1,679"
2021년06월_여_0~9세,659,276,17,26,34,224,16,14,52
2021년06월_여_10~19세,916,397,20,22,35,354,14,27,47
2021년06월_여_20~29세,999,381,38,47,78,323,44,18,70
2021년06월_여_30~39세,987,388,25,47,61,323,42,24,77
2021년06월_여_40~49세,"1,594",703,40,51,75,544,41,45,95
2021년06월_여_50~59세,"2,499",821,109,141,212,706,151,109,250
2021년06월_여_60~69세,"3,062",879,164,219,267,754,212,170,397
2021년06월_여_70~79세,"2,260",617,137,183,197,469,177,159,321
2021년06월_여_80~89세,"1,811",418,150,163,154,289,156,166,315
2021년06월_여_90~99세,256,53,15,22,30,38,28,17,53
2021년06월_여_100세 이상,5,2,1,0,0,0,0,0,2
