,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년09월_계_총인구수,"2,120,559","658,670","258,685","399,985","105,192","100,415","314,282","175,330","117,226","42,811","165,991","51,563","65,613","52,026","30,797","99,909","78,370","62,364"
2020년09월_계_연령구간인구수,"2,120,559","658,670","258,685","399,985","105,192","100,415","314,282","175,330","117,226","42,811","165,991","51,563","65,613","52,026","30,797","99,909","78,370","62,364"
2020년09월_계_0~9세,"175,426","63,008","20,830","42,178","5,945","6,265","33,503","15,596","7,340","3,973","15,837","2,637","2,993","2,346","1,294","7,851","3,705","3,133"
2020년09월_계_10~19세,"203,571","68,747","26,425","42,322","8,351","8,386","34,281","17,332","9,939","6,386","15,647","4,345","4,748","3,509","2,013","9,625","5,721","4,541"
2020년09월_계_20~29세,"242,345","96,272","35,437","60,835","11,379","9,574","36,037","19,181","11,515","4,842","16,079","3,985","5,424","3,925","2,596","9,615","6,876","5,045"
2020년09월_계_30~39세,"270,837","106,398","33,627","72,771","9,624","9,547","48,619","22,276","10,902","4,643","22,944","3,836","4,471","3,498","2,088","10,584","6,218","5,189"
2020년09월_계_40~49세,"328,482","111,977","43,137","68,840","13,477","14,071","55,859","27,840","15,582","8,465","26,626","6,304","7,292","5,915","3,157","14,546","9,614","7,757"
2020년09월_계_50~59세,"340,277","102,997","44,033","58,964","18,679","17,252","45,851","28,320","19,839","6,891","25,846","9,159","10,988","8,581","5,304","15,884","13,789","10,897"
2020년09월_계_60~69세,"274,204","62,069","30,538","31,531","18,090","16,821","31,164","21,579","19,767","4,352","20,670","9,677","12,862","10,118","6,039","14,496","14,596","11,904"
2020년09월_계_70~79세,"170,923","29,945","15,474","14,471","11,485","11,263","17,936","13,869","13,030","2,005","13,221","6,828","9,496","8,043","4,541","10,037","10,447","8,777"
2020년09월_계_80~89세,"99,426","14,897","7,923","6,974","7,095","6,271","9,626","8,081","8,037","1,073","7,926","4,218","6,294","5,229","3,307","6,348","6,548","4,476"
2020년09월_계_90~99세,"14,158","2,186","1,173","1,013","1,006",904,"1,293","1,195","1,184",170,"1,127",543,990,821,440,862,818,619
2020년09월_계_100세 이상,910,174,88,86,61,61,113,61,91,11,68,31,55,41,18,61,38,26
2020년09월_남_총인구수,"1,082,029","336,024","131,081","204,943","52,656","50,881","163,138","91,168","58,593","21,322","88,009","26,001","32,485","25,742","15,587","49,689","39,308","31,426"
2020년09월_남_연령구간인구수,"1,082,029","336,024","131,081","204,943","52,656","50,881","163,138","91,168","58,593","21,322","88,009","26,001","32,485","25,742","15,587","49,689","39,308","31,426"
2020년09월_남_0~9세,"89,831","32,155","10,727","21,428","3,097","3,159","17,200","8,032","3,766","2,016","8,092","1,348","1,599","1,169",659,"4,085","1,917","1,537"
2020년09월_남_10~19세,"105,716","35,637","13,695","21,942","4,308","4,357","17,656","9,202","5,147","3,336","8,207","2,270","2,509","1,813","1,059","4,909","2,935","2,371"
2020년09월_남_20~29세,"133,812","50,561","18,804","31,757","6,328","5,620","20,026","11,323","6,416","2,715","9,423","2,293","3,143","2,298","1,495","5,312","3,898","2,961"
2020년09월_남_30~39세,"145,639","56,513","17,637","38,876","5,128","5,154","26,000","12,324","5,769","2,289","13,018","2,014","2,423","1,969","1,200","5,480","3,460","2,898"
2020년09월_남_40~49세,"175,100","57,816","22,235","35,581","7,105","7,733","30,352","14,875","8,281","4,117","14,996","3,494","3,979","3,246","1,839","7,607","5,281","4,379"
2020년09월_남_50~59세,"179,635","52,890","22,511","30,379","9,666","9,183","24,740","15,131","10,421","3,467","14,472","5,049","5,726","4,650","2,888","8,283","7,342","5,727"
2020년09월_남_60~69세,"136,735","31,315","15,356","15,959","9,019","8,247","15,523","10,738","9,932","2,106","10,513","4,890","6,397","4,947","3,099","7,096","7,195","5,718"
2020년09월_남_70~79세,"77,179","13,457","7,050","6,407","5,252","5,002","7,933","6,464","5,753",889,"6,174","3,083","4,241","3,567","2,042","4,476","4,725","4,121"
2020년09월_남_80~89세,"34,845","5,130","2,774","2,356","2,475","2,218","3,383","2,834","2,782",349,"2,816","1,424","2,219","1,883","1,181","2,202","2,368","1,581"
2020년09월_남_90~99세,"3,331",504,269,235,265,195,292,236,305,38,284,128,242,191,121,220,182,128
2020년09월_남_100세 이상,206,46,23,23,13,13,33,9,21,0,14,8,7,9,4,19,5,5
2020년09월_여_총인구수,"1,038,530","322,646","127,604","195,042","52,536","49,534","151,144","84,162","58,633","21,489","77,982","25,562","33,128","26,284","15,210","50,220","39,062","30,938"
2020년09월_여_연령구간인구수,"1,038,530","322,646","127,604","195,042","52,536","49,534","151,144","84,162","58,633","21,489","77,982","25,562","33,128","26,284","15,210","50,220","39,062","30,938"
2020년09월_여_0~9세,"85,595","30,853","10,103","20,750","2,848","3,106","16,303","7,564","3,574","1,957","7,745","1,289","1,394","1,177",635,"3,766","1,788","1,596"
2020년09월_여_10~19세,"97,855","33,110","12,730","20,380","4,043","4,029","16,625","8,130","4,792","3,050","7,440","2,075","2,239","1,696",954,"4,716","2,786","2,170"
2020년09월_여_20~29세,"108,533","45,711","16,633","29,078","5,051","3,954","16,011","7,858","5,099","2,127","6,656","1,692","2,281","1,627","1,101","4,303","2,978","2,084"
2020년09월_여_30~39세,"125,198","49,885","15,990","33,895","4,496","4,393","22,619","9,952","5,133","2,354","9,926","1,822","2,048","1,529",888,"5,104","2,758","2,291"
2020년09월_여_40~49세,"153,382","54,161","20,902","33,259","6,372","6,338","25,507","12,965","7,301","4,348","11,630","2,810","3,313","2,669","1,318","6,939","4,333","3,378"
