카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년01월_계_총인구수,"27,709","12,026","2,962","2,396","2,538","3,115","4,672"
2020년01월_계_연령구간인구수,"27,709","12,026","2,962","2,396","2,538","3,115","4,672"
2020년01월_계_0~9세,"1,373",853,90,82,64,94,190
2020년01월_계_10~19세,"1,953","1,143",185,119,107,138,261
2020년01월_계_20~29세,"2,382","1,176",233,205,161,179,428
2020년01월_계_30~39세,"2,407","1,259",192,161,180,243,372
2020년01월_계_40~49세,"3,586","1,873",341,265,250,329,528
2020년01월_계_50~59세,"5,115","2,068",547,476,512,550,962
2020년01월_계_60~69세,"5,142","1,781",629,466,590,694,982
2020년01월_계_70~79세,"3,706","1,226",491,392,436,530,631
2020년01월_계_80~89세,"1,719",539,219,203,202,294,262
2020년01월_계_90~99세,311,106,35,23,34,60,53
2020년01월_계_100세 이상,15,2,0,4,2,4,3
2020년01월_남_총인구수,"14,091","6,044","1,528","1,223","1,309","1,599","2,388"
2020년01월_남_연령구간인구수,"14,091","6,044","1,528","1,223","1,309","1,599","2,388"
2020년01월_남_0~9세,716,451,48,41,31,49,96
2020년01월_남_10~19세,"1,017",602,102,53,55,76,129
2020년01월_남_20~29세,"1,397",677,138,116,103,103,260
2020년01월_남_30~39세,"1,301",627,116,83,117,141,217
2020년01월_남_40~49세,"1,976",956,192,157,151,215,305
2020년01월_남_50~59세,"2,738","1,087",312,274,253,309,503
2020년01월_남_60~69세,"2,551",858,303,245,307,353,485
2020년01월_남_70~79세,"1,707",563,225,168,202,250,299
2020년01월_남_80~89세,624,196,87,80,83,97,81
2020년01월_남_90~99세,63,26,5,6,7,6,13
2020년01월_남_100세 이상,1,1,0,0,0,0,0
2020년01월_여_총인구수,"13,618","5,982","1,434","1,173","1,229","1,516","2,284"
2020년01월_여_연령구간인구수,"13,618","5,982","1,434","1,173","1,229","1,516","2,284"
2020년01월_여_0~9세,657,402,42,41,33,45,94
2020년01월_여_10~19세,936,541,83,66,52,62,132
2020년01월_여_20~29세,985,499,95,89,58,76,168
2020년01월_여_30~39세,"1,106",632,76,78,63,102,155
2020년01월_여_40~49세,"1,610",917,149,108,99,114,223
2020년01월_여_50~59세,"2,377",981,235,202,259,241,459
2020년01월_여_60~69세,"2,591",923,326,221,283,341,497
2020년01월_여_70~79세,"1,999",663,266,224,234,280,332
2020년01월_여_80~89세,"1,095",343,132,123,119,197,181
2020년01월_여_90~99세,248,80,30,17,27,54,40
2020년01월_여_100세 이상,14,1,0,4,2,4,3
