,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년11월_계_총인구수,"38,710","21,146","1,096","1,470","1,743","2,166","2,270","1,271","1,748","3,776","2,024"
2020년11월_계_연령구간인구수,"38,710","21,146","1,096","1,470","1,743","2,166","2,270","1,271","1,748","3,776","2,024"
2020년11월_계_0~9세,"1,686","1,311",22,22,28,38,48,38,47,89,43
2020년11월_계_10~19세,"2,908","2,148",28,54,78,85,98,53,70,210,84
2020년11월_계_20~29세,"3,322","2,353",46,69,96,135,122,101,104,219,77
2020년11월_계_30~39세,"2,781","1,892",54,60,61,106,115,87,115,191,100
2020년11월_계_40~49세,"4,635","2,990",105,114,161,203,224,137,182,333,186
2020년11월_계_50~59세,"7,397","3,794",219,347,407,450,438,275,327,742,398
2020년11월_계_60~69세,"8,039","3,336",274,382,478,563,637,310,424,"1,011",624
2020년11월_계_70~79세,"4,854","2,103",205,259,262,346,342,161,284,546,346
2020년11월_계_80~89세,"2,685","1,056",127,146,148,211,211,97,167,380,142
2020년11월_계_90~99세,351,143,14,16,21,22,30,11,27,45,22
2020년11월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2
2020년11월_남_총인구수,"19,997","10,813",570,765,897,"1,128","1,194",712,946,"1,938","1,034"
2020년11월_남_연령구간인구수,"19,997","10,813",570,765,897,"1,128","1,194",712,946,"1,938","1,034"
2020년11월_남_0~9세,899,708,14,11,16,18,20,20,27,43,22
2020년11월_남_10~19세,"1,549","1,158",16,20,39,36,56,28,32,122,42
2020년11월_남_20~29세,"1,916","1,333",29,46,57,82,75,67,60,123,44
2020년11월_남_30~39세,"1,518",985,30,38,32,60,76,48,85,113,51
2020년11월_남_40~49세,"2,541","1,537",68,74,86,129,139,82,121,192,113
2020년11월_남_50~59세,"4,091","2,074",132,194,218,259,247,172,194,397,204
2020년11월_남_60~69세,"4,194","1,684",139,217,257,304,348,169,224,539,313
2020년11월_남_70~79세,"2,205",915,92,109,136,153,158,86,128,253,175
2020년11월_남_80~89세,973,380,46,50,51,79,65,37,64,139,62
2020년11월_남_90~99세,95,33,3,5,5,5,8,3,11,14,8
2020년11월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0
2020년11월_여_총인구수,"18,713","10,333",526,705,846,"1,038","1,076",559,802,"1,838",990
2020년11월_여_연령구간인구수,"18,713","10,333",526,705,846,"1,038","1,076",559,802,"1,838",990
2020년11월_여_0~9세,787,603,8,11,12,20,28,18,20,46,21
2020년11월_여_10~19세,"1,359",990,12,34,39,49,42,25,38,88,42
2020년11월_여_20~29세,"1,406","1,020",17,23,39,53,47,34,44,96,33
2020년11월_여_30~39세,"1,263",907,24,22,29,46,39,39,30,78,49
2020년11월_여_40~49세,"2,094","1,453",37,40,75,74,85,55,61,141,73
2020년11월_여_50~59세,"3,306","1,720",87,153,189,191,191,103,133,345,194
2020년11월_여_60~69세,"3,845","1,652",135,165,221,259,289,141,200,472,311
2020년11월_여_70~79세,"2,649","1,188",113,150,126,193,184,75,156,293,171
2020년11월_여_80~89세,"1,712",676,81,96,97,132,146,60,103,241,80
2020년11월_여_90~99세,256,110,11,11,16,17,22,8,16,31,14
2020년11월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2
