카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년07월_계_총인구수,"84,845","30,145","29,343",0,"3,141","3,477","2,086","6,154","10,499"
2021년07월_계_연령구간인구수,"84,845","30,145","29,343",0,"3,141","3,477","2,086","6,154","10,499"
2021년07월_계_0~9세,"7,576","2,116","4,343",0,70,118,48,187,694
2021년07월_계_10~19세,"8,401","3,328","3,124",0,167,145,79,392,"1,166"
2021년07월_계_20~29세,"9,278","3,926","3,089",0,202,251,95,533,"1,182"
2021년07월_계_30~39세,"11,490","3,091","6,160",0,179,248,119,482,"1,211"
2021년07월_계_40~49세,"13,727","4,927","5,524",0,293,341,162,714,"1,766"
2021년07월_계_50~59세,"13,721","5,333","3,441",0,581,716,370,"1,191","2,089"
2021년07월_계_60~69세,"11,099","3,979","2,191",0,770,827,580,"1,387","1,365"
2021년07월_계_70~79세,"5,508","2,092",854,0,455,457,328,702,620
2021년07월_계_80~89세,"3,552","1,197",545,0,375,332,263,492,348
2021년07월_계_90~99세,480,154,69,0,47,41,38,73,58
2021년07월_계_100세 이상,13,2,3,0,2,1,4,1,0
2021년07월_남_총인구수,"44,526","15,511","15,487",0,"1,627","1,816","1,066","3,273","5,746"
2021년07월_남_연령구간인구수,"44,526","15,511","15,487",0,"1,627","1,816","1,066","3,273","5,746"
2021년07월_남_0~9세,"3,917","1,112","2,230",0,37,54,27,101,356
2021년07월_남_10~19세,"4,353","1,718","1,581",0,85,74,41,206,648
2021년07월_남_20~29세,"5,370","2,245","1,719",0,126,154,59,328,739
2021년07월_남_30~39세,"6,338","1,664","3,326",0,112,149,70,303,714
2021년07월_남_40~49세,"7,473","2,580","3,039",0,179,209,97,413,956
2021년07월_남_50~59세,"7,523","2,867","1,872",0,342,389,213,665,"1,175"
2021년07월_남_60~69세,"5,703","1,936","1,120",0,412,452,299,756,728
2021년07월_남_70~79세,"2,539",940,387,0,215,221,157,329,290
2021년07월_남_80~89세,"1,216",416,196,0,110,106,95,162,131
2021년07월_남_90~99세,91,32,17,0,9,7,8,9,9
2021년07월_남_100세 이상,3,1,0,0,0,1,0,1,0
2021년07월_여_총인구수,"40,319","14,634","13,856",0,"1,514","1,661","1,020","2,881","4,753"
2021년07월_여_연령구간인구수,"40,319","14,634","13,856",0,"1,514","1,661","1,020","2,881","4,753"
2021년07월_여_0~9세,"3,659","1,004","2,113",0,33,64,21,86,338
2021년07월_여_10~19세,"4,048","1,610","1,543",0,82,71,38,186,518
2021년07월_여_20~29세,"3,908","1,681","1,370",0,76,97,36,205,443
2021년07월_여_30~39세,"5,152","1,427","2,834",0,67,99,49,179,497
2021년07월_여_40~49세,"6,254","2,347","2,485",0,114,132,65,301,810
2021년07월_여_50~59세,"6,198","2,466","1,569",0,239,327,157,526,914
2021년07월_여_60~69세,"5,396","2,043","1,071",0,358,375,281,631,637
2021년07월_여_70~79세,"2,969","1,152",467,0,240,236,171,373,330
2021년07월_여_80~89세,"2,336",781,349,0,265,226,168,330,217
2021년07월_여_90~99세,389,122,52,0,38,34,30,64,49
2021년07월_여_100세 이상,10,1,3,0,2,0,4,0,0
