,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년05월_계_총인구수,"61,530","7,048","6,046","7,693","10,583","3,632","1,625","2,858","7,929","4,442","6,674","3,000"
2021년05월_계_연령구간인구수,"61,530","7,048","6,046","7,693","10,583","3,632","1,625","2,858","7,929","4,442","6,674","3,000"
2021년05월_계_0~9세,"3,569",437,239,332,845,126,81,75,448,321,559,106
2021년05월_계_10~19세,"4,952",613,464,613,889,207,112,154,673,451,580,196
2021년05월_계_20~29세,"6,484",763,698,774,"1,172",381,171,258,842,525,615,285
2021년05월_계_30~39세,"6,636",782,514,723,"1,419",334,161,217,867,577,799,243
2021년05월_계_40~49세,"9,746","1,197",835,"1,183","1,777",483,247,356,"1,285",789,"1,167",427
2021년05월_계_50~59세,"9,978","1,187","1,064","1,258","1,585",670,245,468,"1,291",772,"1,002",436
2021년05월_계_60~69세,"10,191","1,096","1,082","1,374","1,539",721,296,632,"1,275",585,"1,009",582
2021년05월_계_70~79세,"6,575",621,768,924,973,441,195,424,840,302,604,483
2021년05월_계_80~89세,"2,943",306,327,455,334,246,103,241,344,101,276,210
2021년05월_계_90~99세,418,45,52,54,45,22,13,29,56,16,56,30
2021년05월_계_100세 이상,38,1,3,3,5,1,1,4,8,3,7,2
2021년05월_남_총인구수,"31,066","3,629","3,075","3,798","5,205","1,875",796,"1,463","4,056","2,325","3,333","1,511"
2021년05월_남_연령구간인구수,"31,066","3,629","3,075","3,798","5,205","1,875",796,"1,463","4,056","2,325","3,333","1,511"
2021년05월_남_0~9세,"1,858",241,126,177,421,67,37,42,247,166,287,47
2021년05월_남_10~19세,"2,575",320,239,294,467,103,56,74,349,228,327,118
2021년05월_남_20~29세,"3,522",425,384,417,612,216,93,161,491,266,312,145
2021년05월_남_30~39세,"3,568",415,273,404,717,190,93,126,476,337,399,138
2021년05월_남_40~49세,"5,254",641,444,649,922,275,132,213,680,410,642,246
2021년05월_남_50~59세,"5,327",659,585,668,770,376,123,270,684,430,517,245
2021년05월_남_60~69세,"4,937",554,535,649,715,372,149,293,612,297,478,283
2021년05월_남_70~79세,"2,889",265,344,380,445,188,84,186,367,149,274,207
2021년05월_남_80~89세,"1,031",98,134,148,126,79,25,89,130,37,90,75
2021년05월_남_90~99세,96,10,11,12,8,9,4,7,18,4,6,7
2021년05월_남_100세 이상,9,1,0,0,2,0,0,2,2,1,1,0
2021년05월_여_총인구수,"30,464","3,419","2,971","3,895","5,378","1,757",829,"1,395","3,873","2,117","3,341","1,489"
2021년05월_여_연령구간인구수,"30,464","3,419","2,971","3,895","5,378","1,757",829,"1,395","3,873","2,117","3,341","1,489"
2021년05월_여_0~9세,"1,711",196,113,155,424,59,44,33,201,155,272,59
2021년05월_여_10~19세,"2,377",293,225,319,422,104,56,80,324,223,253,78
2021년05월_여_20~29세,"2,962",338,314,357,560,165,78,97,351,259,303,140
2021년05월_여_30~39세,"3,068",367,241,319,702,144,68,91,391,240,400,105
2021년05월_여_40~49세,"4,492",556,391,534,855,208,115,143,605,379,525,181
2021년05월_여_50~59세,"4,651",528,479,590,815,294,122,198,607,342,485,191
2021년05월_여_60~69세,"5,254",542,547,725,824,349,147,339,663,288,531,299
2021년05월_여_70~79세,"3,686",356,424,544,528,253,111,238,473,153,330,276
2021년05월_여_80~89세,"1,912",208,193,307,208,167,78,152,214,64,186,135
2021년05월_여_90~99세,322,35,41,42,37,13,9,22,38,12,50,23
2021년05월_여_100세 이상,29,0,3,3,3,1,1,2,6,2,6,2
