,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년08월_계_총인구수,"111,440","18,204","12,196","15,741","7,692","1,641","3,503","2,889","3,571","6,294","5,253","6,421","15,521","6,864","5,377",273
2020년08월_계_연령구간인구수,"111,440","18,204","12,196","15,741","7,692","1,641","3,503","2,889","3,571","6,294","5,253","6,421","15,521","6,864","5,377",273
2020년08월_계_0~9세,"8,398","1,450","1,309","2,021",688,47,104,81,71,178,231,456,"1,094",351,312,5
2020년08월_계_10~19세,"10,349","1,910","1,465","2,018",623,54,153,94,146,322,327,487,"1,670",647,425,8
2020년08월_계_20~29세,"10,867","2,331","1,316","1,599",532,119,284,164,268,425,491,572,"1,626",671,460,9
2020년08월_계_30~39세,"12,210","2,407","1,660","2,490",923,99,202,142,164,464,470,694,"1,445",566,468,16
2020년08월_계_40~49세,"17,873","3,257","2,265","3,065","1,230",176,353,271,338,749,713,972,"2,543","1,175",732,34
2020년08월_계_50~59세,"18,480","3,057","1,828","1,873","1,233",300,619,541,706,"1,114",987,"1,111","2,887","1,280",897,47
2020년08월_계_60~69세,"16,111","1,946","1,147","1,296","1,194",387,741,675,775,"1,437","1,008","1,074","2,247","1,116","1,005",63
2020년08월_계_70~79세,"10,697","1,123",727,852,773,247,613,523,643,"1,076",667,728,"1,337",668,654,66
2020년08월_계_80~89세,"5,642",624,411,463,428,190,387,353,392,461,320,287,610,330,361,25
2020년08월_계_90~99세,782,91,67,63,67,22,44,42,67,66,39,33,61,59,61,0
2020년08월_계_100세 이상,31,8,1,1,1,0,3,3,1,2,0,7,1,1,2,0
2020년08월_남_총인구수,"56,204","9,449","6,129","8,213","3,836",868,"1,791","1,422","1,762","3,070","2,608","3,164","7,568","3,545","2,637",142
2020년08월_남_연령구간인구수,"56,204","9,449","6,129","8,213","3,836",868,"1,791","1,422","1,762","3,070","2,608","3,164","7,568","3,545","2,637",142
2020년08월_남_0~9세,"4,397",756,677,"1,091",331,27,61,44,37,99,116,234,569,177,175,3
2020년08월_남_10~19세,"5,324",937,769,"1,016",329,31,86,55,75,168,182,263,864,333,211,5
2020년08월_남_20~29세,"6,489","1,360",763,"1,001",309,70,178,102,168,254,312,335,933,423,274,7
2020년08월_남_30~39세,"6,520","1,351",837,"1,314",472,60,117,77,95,286,254,367,726,311,244,9
2020년08월_남_40~49세,"9,532","1,758","1,133","1,632",685,111,213,174,218,436,395,526,"1,216",620,388,27
2020년08월_남_50~59세,"9,737","1,621",962,"1,041",635,187,354,309,395,573,493,546,"1,441",703,448,29
2020년08월_남_60~69세,"7,778",979,568,613,582,205,371,329,373,653,473,475,"1,075",565,488,29
2020년08월_남_70~79세,"4,563",477,282,365,346,109,276,219,287,447,276,315,545,299,293,27
2020년08월_남_80~89세,"1,733",192,126,131,134,62,123,105,108,147,100,96,192,105,106,6
2020년08월_남_90~99세,123,17,12,9,13,6,11,6,5,7,7,5,7,8,10,0
2020년08월_남_100세 이상,8,1,0,0,0,0,1,2,1,0,0,2,0,1,0,0
2020년08월_여_총인구수,"55,236","8,755","6,067","7,528","3,856",773,"1,712","1,467","1,809","3,224","2,645","3,257","7,953","3,319","2,740",131
2020년08월_여_연령구간인구수,"55,236","8,755","6,067","7,528","3,856",773,"1,712","1,467","1,809","3,224","2,645","3,257","7,953","3,319","2,740",131
2020년08월_여_0~9세,"4,001",694,632,930,357,20,43,37,34,79,115,222,525,174,137,2
2020년08월_여_10~19세,"5,025",973,696,"1,002",294,23,67,39,71,154,145,224,806,314,214,3
2020년08월_여_20~29세,"4,378",971,553,598,223,49,106,62,100,171,179,237,693,248,186,2
2020년08월_여_30~39세,"5,690","1,056",823,"1,176",451,39,85,65,69,178,216,327,719,255,224,7
2020년08월_여_40~49세,"8,341","1,499","1,132","1,433",545,65,140,97,120,313,318,446,"1,327",555,344,7
2020년08월_여_50~59세,"8,743","1,436",866,832,598,113,265,232,311,541,494,565,"1,446",577,449,18
2020년08월_여_60~69세,"8,333",967,579,683,612,182,370,346,402,784,535,599,"1,172",551,517,34
2020년08월_여_70~79세,"6,134",646,445,487,427,138,337,304,356,629,391,413,792,369,361,39
2020년08월_여_80~89세,"3,909",432,285,332,294,128,264,248,284,314,220,191,418,225,255,19
2020년08월_여_90~99세,659,74,55,54,54,16,33,36,62,59,32,28,54,51,51,0
2020년08월_여_100세 이상,23,7,1,1,1,0,2,1,0,2,0,5,1,0,2,0
