카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년09월_계_총인구수,"309,996","24,750","22,275","30,502","27,721","32,205","19,164","16,593","17,695","21,335","21,504","23,591","21,042","31,619"
2020년09월_계_연령구간인구수,"309,996","24,750","22,275","30,502","27,721","32,205","19,164","16,593","17,695","21,335","21,504","23,591","21,042","31,619"
2020년09월_계_0~9세,"16,272","1,349",829,"1,581","1,133","3,078",742,723,993,"1,083","1,088",878,"1,139","1,656"
2020년09월_계_10~19세,"22,444","2,013","1,362","2,111","1,694","4,041","1,114","1,136","1,388","1,381","1,453","1,150","1,438","2,163"
2020년09월_계_20~29세,"43,070","3,191","3,844","4,265","3,726","3,403","3,333","2,176","1,959","3,078","3,033","4,267","2,666","4,129"
2020년09월_계_30~39세,"39,248","3,045","2,949","4,175","3,327","3,905","2,848","1,852","1,790","2,806","2,563","3,454","2,618","3,916"
2020년09월_계_40~49세,"47,373","3,741","3,105","4,697","4,020","6,582","2,935","2,492","2,721","3,054","3,074","3,335","3,065","4,552"
2020년09월_계_50~59세,"52,910","4,420","3,860","5,209","5,095","4,955","3,139","2,834","2,808","3,673","3,804","4,037","3,595","5,481"
2020년09월_계_60~69세,"45,556","3,763","3,310","4,521","4,604","3,328","2,587","2,633","2,678","3,284","3,266","3,363","3,249","4,970"
2020년09월_계_70~79세,"30,035","2,231","2,093","2,816","2,873","2,006","1,761","1,996","2,517","2,007","2,153","2,180","2,179","3,223"
2020년09월_계_80~89세,"11,337",835,811,980,"1,086",780,610,670,741,821,943,816,921,"1,323"
2020년09월_계_90~99세,"1,506",132,102,117,139,102,87,76,91,112,123,97,140,188
2020년09월_계_100세 이상,245,30,10,30,24,25,8,5,9,36,4,14,32,18
2020년09월_남_총인구수,"151,117","12,338","10,735","14,670","13,800","15,477","9,592","8,059","8,339","10,549","10,296","11,709","10,242","15,311"
2020년09월_남_연령구간인구수,"151,117","12,338","10,735","14,670","13,800","15,477","9,592","8,059","8,339","10,549","10,296","11,709","10,242","15,311"
2020년09월_남_0~9세,"8,416",706,436,813,580,"1,607",388,388,510,551,556,430,611,840
2020년09월_남_10~19세,"11,564","1,045",723,"1,027",841,"2,065",592,604,709,704,779,628,763,"1,084"
2020년09월_남_20~29세,"21,104","1,665","1,676","2,074","1,915","1,671","1,605","1,131",990,"1,544","1,442","2,070","1,258","2,063"
2020년09월_남_30~39세,"20,653","1,612","1,561","2,115","1,801","1,828","1,532","1,041",920,"1,512","1,368","1,888","1,399","2,076"
2020년09월_남_40~49세,"24,235","1,903","1,617","2,400","2,110","3,184","1,545","1,252","1,396","1,648","1,529","1,766","1,557","2,328"
2020년09월_남_50~59세,"25,872","2,238","1,863","2,454","2,573","2,453","1,632","1,385","1,343","1,771","1,790","2,028","1,729","2,613"
2020년09월_남_60~69세,"21,243","1,765","1,597","2,084","2,247","1,535","1,223","1,193","1,188","1,534","1,517","1,550","1,515","2,295"
2020년09월_남_70~79세,"13,038","1,019",908,"1,251","1,252",842,794,806,976,911,907,978,953,"1,441"
2020년09월_남_80~89세,"4,512",337,324,407,434,264,254,242,281,338,372,334,404,521
2020년09월_남_90~99세,419,38,29,33,42,21,26,14,25,32,35,35,45,44
2020년09월_남_100세 이상,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020년09월_여_총인구수,"158,879","12,412","11,540","15,832","13,921","16,728","9,572","8,534","9,356","10,786","11,208","11,882","10,800","16,308"
2020년09월_여_연령구간인구수,"158,879","12,412","11,540","15,832","13,921","16,728","9,572","8,534","9,356","10,786","11,208","11,882","10,800","16,308"
2020년09월_여_0~9세,"7,856",643,393,768,553,"1,471",354,335,483,532,532,448,528,816
2020년09월_여_10~19세,"10,880",968,639,"1,084",853,"1,976",522,532,679,677,674,522,675,"1,079"
2020년09월_여_20~29세,"21,966","1,526","2,168","2,191","1,811","1,732","1,728","1,045",969,"1,534","1,591","2,197","1,408","2,066"
2020년09월_여_30~39세,"18,595","1,433","1,388","2,060","1,526","2,077","1,316",811,870,"1,294","1,195","1,566","1,219","1,840"
2020년09월_여_40~49세,"23,138","1,838","1,488","2,297","1,910","3,398","1,390","1,240","1,325","1,406","1,545","1,569","1,508","2,224"
2020년09월_여_50~59세,"27,038","2,182","1,997","2,755","2,522","2,502","1,507","1,449","1,465","1,902","2,014","2,009","1,866","2,868"
2020년09월_여_60~69세,"24,313","1,998","1,713","2,437","2,357","1,793","1,364","1,440","1,490","1,750","1,749","1,813","1,734","2,675"
2020년09월_여_70~79세,"16,997","1,212","1,185","1,565","1,621","1,164",967,"1,190","1,541","1,096","1,246","1,202","1,226","1,782"
2020년09월_여_80~89세,"6,825",498,487,573,652,516,356,428,460,483,571,482,517,802
2020년09월_여_90~99세,"1,087",94,73,84,97,81,61,62,66,80,88,62,95,144
2020년09월_여_100세 이상,184,20,9,18,19,18,7,2,8,32,3,12,24,12
