,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년01월_계_총인구수,"296,200","25,150","29,853","19,787","16,081","19,853","23,603","28,543","20,343","31,331","21,382","34,178","26,096"
2021년01월_계_연령구간인구수,"296,200","25,150","29,853","19,787","16,081","19,853","23,603","28,543","20,343","31,331","21,382","34,178","26,096"
2021년01월_계_0~9세,"18,320","1,322","1,936",807,623,943,"1,542","1,838","1,020","2,217","1,493","1,769","2,810"
2021년01월_계_10~19세,"26,532","2,289","2,750","1,270","1,002","1,587","2,581","2,776","1,441","3,383","1,813","2,771","2,869"
2021년01월_계_20~29세,"44,035","3,604","4,307","2,982","2,527","3,418","3,952","4,307","2,990","4,812","3,035","5,170","2,931"
2021년01월_계_30~39세,"37,684","2,803","3,569","2,536","2,077","2,877","2,634","3,580","2,841","3,996","2,622","4,378","3,771"
2021년01월_계_40~49세,"45,582","3,630","4,486","2,766","2,085","2,624","3,971","4,465","2,723","5,262","3,247","5,168","5,155"
2021년01월_계_50~59세,"60,501","5,242","6,082","4,274","3,502","4,396","5,272","5,756","4,157","6,407","4,238","7,128","4,047"
2021년01월_계_60~69세,"39,475","3,839","4,269","3,193","2,681","2,740","2,420","3,727","3,202","3,192","2,936","4,459","2,817"
2021년01월_계_70~79세,"15,550","1,579","1,692","1,293","1,069",774,646,"1,373","1,320","1,254","1,268","2,119","1,163"
2021년01월_계_80~89세,"7,318",724,679,598,431,412,473,627,553,690,628,"1,040",463
2021년01월_계_90~99세,"1,131",102,80,61,79,77,108,88,88,112,100,167,69
2021년01월_계_100세 이상,72,16,3,7,5,5,4,6,8,6,2,9,1
2021년01월_남_총인구수,"147,690","12,657","15,118","10,361","7,982","9,545","11,897","14,069","10,123","15,604","10,582","16,924","12,828"
2021년01월_남_연령구간인구수,"147,690","12,657","15,118","10,361","7,982","9,545","11,897","14,069","10,123","15,604","10,582","16,924","12,828"
2021년01월_남_0~9세,"9,304",660,997,434,296,481,775,916,511,"1,120",782,895,"1,437"
2021년01월_남_10~19세,"13,645","1,213","1,414",660,529,837,"1,332","1,416",733,"1,676",935,"1,418","1,482"
2021년01월_남_20~29세,"23,070","1,933","2,353","1,600","1,297","1,759","2,026","2,274","1,532","2,577","1,532","2,738","1,449"
2021년01월_남_30~39세,"19,629","1,467","1,900","1,428","1,143","1,457","1,340","1,819","1,560","2,056","1,346","2,320","1,793"
2021년01월_남_40~49세,"22,693","1,819","2,249","1,504","1,059","1,158","1,928","2,165","1,407","2,544","1,625","2,549","2,686"
2021년01월_남_50~59세,"29,454","2,610","2,951","2,260","1,671","1,972","2,620","2,766","1,957","3,177","2,036","3,495","1,939"
2021년01월_남_60~69세,"20,276","1,943","2,190","1,669","1,341","1,413","1,418","1,891","1,602","1,687","1,511","2,280","1,331"
2021년01월_남_70~79세,"6,990",734,810,604,492,342,298,614,593,526,566,882,529
2021년01월_남_80~89세,"2,365",246,240,187,140,108,142,180,208,218,227,307,162
2021년01월_남_90~99세,246,29,14,13,14,16,18,26,17,20,21,38,20
2021년01월_남_100세 이상,18,3,0,2,0,2,0,2,3,3,1,2,0
2021년01월_여_총인구수,"148,510","12,493","14,735","9,426","8,099","10,308","11,706","14,474","10,220","15,727","10,800","17,254","13,268"
2021년01월_여_연령구간인구수,"148,510","12,493","14,735","9,426","8,099","10,308","11,706","14,474","10,220","15,727","10,800","17,254","13,268"
2021년01월_여_0~9세,"9,016",662,939,373,327,462,767,922,509,"1,097",711,874,"1,373"
2021년01월_여_10~19세,"12,887","1,076","1,336",610,473,750,"1,249","1,360",708,"1,707",878,"1,353","1,387"
2021년01월_여_20~29세,"20,965","1,671","1,954","1,382","1,230","1,659","1,926","2,033","1,458","2,235","1,503","2,432","1,482"
2021년01월_여_30~39세,"18,055","1,336","1,669","1,108",934,"1,420","1,294","1,761","1,281","1,940","1,276","2,058","1,978"
2021년01월_여_40~49세,"22,889","1,811","2,237","1,262","1,026","1,466","2,043","2,300","1,316","2,718","1,622","2,619","2,469"
2021년01월_여_50~59세,"31,047","2,632","3,131","2,014","1,831","2,424","2,652","2,990","2,200","3,230","2,202","3,633","2,108"
2021년01월_여_60~69세,"19,199","1,896","2,079","1,524","1,340","1,327","1,002","1,836","1,600","1,505","1,425","2,179","1,486"
2021년01월_여_70~79세,"8,560",845,882,689,577,432,348,759,727,728,702,"1,237",634
2021년01월_여_80~89세,"4,953",478,439,411,291,304,331,447,345,472,401,733,301
2021년01월_여_90~99세,885,73,66,48,65,61,90,62,71,92,79,129,49
2021년01월_여_100세 이상,54,13,3,5,5,3,4,4,5,3,1,7,1
