카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년02월_계_총인구수,"439,502","26,605","27,508","26,061","9,800","5,535","8,250","50,890","38,562","23,118","61,883","41,524","39,775","30,550","49,441"
2020년02월_계_연령구간인구수,"439,502","26,605","27,508","26,061","9,800","5,535","8,250","50,890","38,562","23,118","61,883","41,524","39,775","30,550","49,441"
2020년02월_계_0~9세,"51,884","1,809","2,704","2,035",337,146,277,"3,965","5,314","1,744","7,391","6,354","6,686","5,093","8,029"
2020년02월_계_10~19세,"45,106","2,340","2,783","2,259",576,269,481,"5,904","5,408","2,210","7,081","4,954","3,389","2,411","5,041"
2020년02월_계_20~29세,"47,550","3,204","2,827","2,709",915,516,840,"6,960","3,680","3,265","7,193","3,775","4,560","2,642","4,464"
2020년02월_계_30~39세,"70,442","2,964","3,761","3,353",876,419,661,"5,666","5,908","3,088","9,528","7,177","9,855","7,337","9,849"
2020년02월_계_40~49세,"81,496","4,163","4,862","4,411","1,330",624,959,"8,756","8,299","3,932","11,772","8,983","7,385","5,541","10,479"
2020년02월_계_50~59세,"63,171","5,206","4,289","4,542","2,274","1,204","1,770","9,448","4,704","4,222","8,792","4,732","3,591","2,944","5,453"
2020년02월_계_60~69세,"44,524","3,830","3,670","3,741","1,890","1,231","1,616","5,489","2,894","2,573","5,627","3,175","2,621","2,568","3,599"
2020년02월_계_70~79세,"24,179","1,962","1,793","2,036","1,033",687,"1,030","3,127","1,650","1,420","3,163","1,713","1,233","1,514","1,818"
2020년02월_계_80~89세,"9,700","1,003",690,815,493,364,542,"1,372",624,584,"1,188",589,399,433,604
2020년02월_계_90~99세,"1,382",120,115,151,74,70,68,188,80,76,142,72,56,65,105
2020년02월_계_100세 이상,68,4,14,9,2,5,6,15,1,4,6,0,0,2,0
2020년02월_남_총인구수,"220,617","14,164","13,807","13,895","5,715","3,051","4,505","25,210","18,858","11,635","30,382","20,385","19,628","15,151","24,231"
2020년02월_남_연령구간인구수,"220,617","14,164","13,807","13,895","5,715","3,051","4,505","25,210","18,858","11,635","30,382","20,385","19,628","15,151","24,231"
2020년02월_남_0~9세,"26,542",948,"1,435","1,043",179,70,163,"1,981","2,669",929,"3,793","3,264","3,369","2,614","4,085"
2020년02월_남_10~19세,"23,007","1,249","1,435","1,182",322,135,262,"3,058","2,765","1,157","3,616","2,413","1,650","1,201","2,562"
2020년02월_남_20~29세,"24,809","1,886","1,467","1,538",574,314,513,"3,740","1,829","1,768","3,604","1,966","2,156","1,273","2,181"
2020년02월_남_30~39세,"34,507","1,659","1,839","1,894",543,245,382,"2,758","2,700","1,546","4,520","3,321","4,892","3,682","4,526"
2020년02월_남_40~49세,"42,447","2,321","2,494","2,509",865,393,592,"4,217","4,157","1,994","5,822","4,641","3,980","3,004","5,458"
2020년02월_남_50~59세,"32,358","2,819","2,144","2,503","1,430",691,"1,002","4,760","2,392","2,128","4,386","2,370","1,682","1,379","2,672"
2020년02월_남_60~69세,"21,670","2,003","1,832","1,927","1,076",679,867,"2,769","1,317","1,246","2,652","1,416","1,167","1,094","1,625"
2020년02월_남_70~79세,"11,294",889,877,960,509,372,485,"1,356",775,636,"1,497",781,567,727,863
2020년02월_남_80~89세,"3,633",356,251,308,198,139,212,513,236,219,454,199,152,157,239
2020년02월_남_90~99세,332,32,30,27,19,12,25,54,17,12,38,14,13,19,20
2020년02월_남_100세 이상,18,2,3,4,0,1,2,4,1,0,0,0,0,1,0
2020년02월_여_총인구수,"218,885","12,441","13,701","12,166","4,085","2,484","3,745","25,680","19,704","11,483","31,501","21,139","20,147","15,399","25,210"
2020년02월_여_연령구간인구수,"218,885","12,441","13,701","12,166","4,085","2,484","3,745","25,680","19,704","11,483","31,501","21,139","20,147","15,399","25,210"
2020년02월_여_0~9세,"25,342",861,"1,269",992,158,76,114,"1,984","2,645",815,"3,598","3,090","3,317","2,479","3,944"
2020년02월_여_10~19세,"22,099","1,091","1,348","1,077",254,134,219,"2,846","2,643","1,053","3,465","2,541","1,739","1,210","2,479"
2020년02월_여_20~29세,"22,741","1,318","1,360","1,171",341,202,327,"3,220","1,851","1,497","3,589","1,809","2,404","1,369","2,283"
2020년02월_여_30~39세,"35,935","1,305","1,922","1,459",333,174,279,"2,908","3,208","1,542","5,008","3,856","4,963","3,655","5,323"
2020년02월_여_40~49세,"39,049","1,842","2,368","1,902",465,231,367,"4,539","4,142","1,938","5,950","4,342","3,405","2,537","5,021"
2020년02월_여_50~59세,"30,813","2,387","2,145","2,039",844,513,768,"4,688","2,312","2,094","4,406","2,362","1,909","1,565","2,781"
2020년02월_여_60~69세,"22,854","1,827","1,838","1,814",814,552,749,"2,720","1,577","1,327","2,975","1,759","1,454","1,474","1,974"
2020년02월_여_70~79세,"12,885","1,073",916,"1,076",524,315,545,"1,771",875,784,"1,666",932,666,787,955
2020년02월_여_80~89세,"6,067",647,439,507,295,225,330,859,388,365,734,390,247,276,365
2020년02월_여_90~99세,"1,050",88,85,124,55,58,43,134,63,64,104,58,43,46,85
2020년02월_여_100세 이상,50,2,11,5,2,4,4,11,0,4,6,0,0,1,0
