카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년08월_계_총인구수,"39,236","18,483","2,183","1,620","1,658","2,413","2,083","4,581","1,441","1,852","1,561","1,361"
2020년08월_계_연령구간인구수,"39,236","18,483","2,183","1,620","1,658","2,413","2,083","4,581","1,441","1,852","1,561","1,361"
2020년08월_계_0~9세,"1,855","1,330",41,39,22,70,64,134,28,51,42,34
2020년08월_계_10~19세,"3,000","1,934",112,76,69,146,108,253,47,104,70,81
2020년08월_계_20~29세,"3,140","1,899",110,74,92,194,112,266,85,125,86,97
2020년08월_계_30~39세,"2,683","1,675",95,70,69,149,114,251,57,92,60,51
2020년08월_계_40~49세,"4,480","2,692",189,156,107,219,178,434,104,152,131,118
2020년08월_계_50~59세,"6,974","3,273",485,307,284,391,354,729,269,314,297,271
2020년08월_계_60~69세,"7,151","2,662",474,328,342,519,434,981,368,389,382,272
2020년08월_계_70~79세,"5,563","1,801",379,320,363,395,406,813,237,350,276,223
2020년08월_계_80~89세,"3,810","1,063",254,215,258,292,278,614,221,242,188,185
2020년08월_계_90~99세,549,145,42,34,46,38,35,98,25,31,28,27
2020년08월_계_100세 이상,31,9,2,1,6,0,0,8,0,2,1,2
2020년08월_남_총인구수,"18,905","8,966","1,032",805,782,"1,185","1,000","2,166",690,864,765,650
2020년08월_남_연령구간인구수,"18,905","8,966","1,032",805,782,"1,185","1,000","2,166",690,864,765,650
2020년08월_남_0~9세,942,677,19,20,7,35,33,68,17,26,23,17
2020년08월_남_10~19세,"1,554","1,003",56,38,33,73,50,135,29,49,40,48
2020년08월_남_20~29세,"1,788","1,058",62,40,61,117,73,151,54,64,52,56
2020년08월_남_30~39세,"1,399",832,51,39,45,89,66,132,35,46,36,28
2020년08월_남_40~49세,"2,453","1,371",110,95,68,135,101,273,60,94,77,69
2020년08월_남_50~59세,"3,694","1,697",255,193,149,220,189,382,143,163,145,158
2020년08월_남_60~69세,"3,554","1,247",251,183,181,264,232,479,180,203,198,136
2020년08월_남_70~79세,"2,256",737,147,123,164,152,162,322,97,147,122,83
2020년08월_남_80~89세,"1,143",316,75,70,65,88,86,199,70,62,63,49
2020년08월_남_90~99세,115,27,6,4,8,12,8,22,5,8,9,6
2020년08월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년08월_여_총인구수,"20,331","9,517","1,151",815,876,"1,228","1,083","2,415",751,988,796,711
2020년08월_여_연령구간인구수,"20,331","9,517","1,151",815,876,"1,228","1,083","2,415",751,988,796,711
2020년08월_여_0~9세,913,653,22,19,15,35,31,66,11,25,19,17
2020년08월_여_10~19세,"1,446",931,56,38,36,73,58,118,18,55,30,33
2020년08월_여_20~29세,"1,352",841,48,34,31,77,39,115,31,61,34,41
2020년08월_여_30~39세,"1,284",843,44,31,24,60,48,119,22,46,24,23
2020년08월_여_40~49세,"2,027","1,321",79,61,39,84,77,161,44,58,54,49
2020년08월_여_50~59세,"3,280","1,576",230,114,135,171,165,347,126,151,152,113
2020년08월_여_60~69세,"3,597","1,415",223,145,161,255,202,502,188,186,184,136
2020년08월_여_70~79세,"3,307","1,064",232,197,199,243,244,491,140,203,154,140
2020년08월_여_80~89세,"2,667",747,179,145,193,204,192,415,151,180,125,136
2020년08월_여_90~99세,434,118,36,30,38,26,27,76,20,23,19,21
2020년08월_여_100세 이상,24,8,2,1,5,0,0,5,0,0,1,2
