카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년07월_계_총인구수,"83,177","2,739","2,534","2,541","3,694","3,872","1,352","2,577","1,800","1,846","2,719","5,018","2,239","1,922","4,651","1,378","11,328","12,744","11,619","6,604"
2020년07월_계_연령구간인구수,"83,177","2,739","2,534","2,541","3,694","3,872","1,352","2,577","1,800","1,846","2,719","5,018","2,239","1,922","4,651","1,378","11,328","12,744","11,619","6,604"
2020년07월_계_0~9세,"4,488",104,70,67,106,126,46,73,57,47,46,190,59,43,152,47,793,944,"1,061",457
2020년07월_계_10~19세,"6,298",137,109,118,166,220,60,134,77,81,112,313,100,73,196,65,"1,039","1,356","1,430",512
2020년07월_계_20~29세,"7,328",170,122,164,283,279,96,192,98,107,135,420,127,138,337,87,"1,329","1,375","1,291",578
2020년07월_계_30~39세,"6,823",185,143,162,243,267,88,173,106,112,157,341,135,107,284,83,"1,140","1,233","1,220",644
2020년07월_계_40~49세,"10,196",271,227,252,345,414,110,225,189,191,243,577,191,189,442,153,"1,610","1,871","1,921",775
2020년07월_계_50~59세,"14,025",457,381,447,620,695,206,464,267,288,420,935,350,357,895,217,"1,906","2,152","1,866","1,102"
2020년07월_계_60~69세,"14,304",638,581,540,788,752,289,551,384,396,581,980,465,392,942,262,"1,672","1,669","1,364","1,058"
2020년07월_계_70~79세,"11,321",416,490,470,637,644,248,404,337,354,572,773,435,345,804,280,"1,102","1,274",876,860
2020년07월_계_80~89세,"7,157",309,354,273,412,407,184,312,240,223,380,428,337,246,504,158,621,761,496,512
2020년07월_계_90~99세,"1,164",51,52,41,89,67,23,47,43,44,72,59,39,31,84,26,108,107,93,88
2020년07월_계_100세 이상,73,1,5,7,5,1,2,2,2,3,1,2,1,1,11,0,8,2,1,18
2020년07월_남_총인구수,"41,189","1,385","1,258","1,321","1,843","1,925",645,"1,300",898,929,"1,299","2,564","1,095",976,"2,320",715,"5,557","6,232","5,638","3,289"
2020년07월_남_연령구간인구수,"41,189","1,385","1,258","1,321","1,843","1,925",645,"1,300",898,929,"1,299","2,564","1,095",976,"2,320",715,"5,557","6,232","5,638","3,289"
2020년07월_남_0~9세,"2,328",62,38,35,48,68,24,39,35,21,21,101,34,21,77,25,407,494,540,238
2020년07월_남_10~19세,"3,229",76,65,65,86,102,36,65,40,46,56,169,51,44,108,30,503,709,715,263
2020년07월_남_20~29세,"4,059",102,76,92,157,147,55,111,62,62,77,231,74,77,188,57,713,748,698,332
2020년07월_남_30~39세,"3,635",119,83,106,139,154,52,96,61,66,98,193,83,62,165,48,577,626,594,313
2020년07월_남_40~49세,"5,737",156,146,164,228,255,75,142,121,126,160,351,137,134,274,112,841,941,940,434
2020년07월_남_50~59세,"7,610",247,221,273,334,389,112,261,145,164,241,525,199,201,497,128,974,"1,095",991,613
2020년07월_남_60~69세,"7,166",339,296,277,416,377,135,295,189,211,292,498,221,204,486,132,794,810,659,535
2020년07월_남_70~79세,"4,909",188,222,217,288,289,96,182,149,154,224,342,178,156,341,118,503,528,353,381
2020년07월_남_80~89세,"2,241",85,102,83,118,122,54,94,85,69,122,135,112,68,159,57,219,256,136,165
2020년07월_남_90~99세,262,11,7,8,27,22,6,15,10,10,7,19,6,9,25,8,22,25,12,13
2020년07월_남_100세 이상,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020년07월_여_총인구수,"41,988","1,354","1,276","1,220","1,851","1,947",707,"1,277",902,917,"1,420","2,454","1,144",946,"2,331",663,"5,771","6,512","5,981","3,315"
2020년07월_여_연령구간인구수,"41,988","1,354","1,276","1,220","1,851","1,947",707,"1,277",902,917,"1,420","2,454","1,144",946,"2,331",663,"5,771","6,512","5,981","3,315"
2020년07월_여_0~9세,"2,160",42,32,32,58,58,22,34,22,26,25,89,25,22,75,22,386,450,521,219
2020년07월_여_10~19세,"3,069",61,44,53,80,118,24,69,37,35,56,144,49,29,88,35,536,647,715,249
2020년07월_여_20~29세,"3,269",68,46,72,126,132,41,81,36,45,58,189,53,61,149,30,616,627,593,246
2020년07월_여_30~39세,"3,188",66,60,56,104,113,36,77,45,46,59,148,52,45,119,35,563,607,626,331
2020년07월_여_40~49세,"4,459",115,81,88,117,159,35,83,68,65,83,226,54,55,168,41,769,930,981,341
2020년07월_여_50~59세,"6,415",210,160,174,286,306,94,203,122,124,179,410,151,156,398,89,932,"1,057",875,489
2020년07월_여_60~69세,"7,138",299,285,263,372,375,154,256,195,185,289,482,244,188,456,130,878,859,705,523
2020년07월_여_70~79세,"6,412",228,268,253,349,355,152,222,188,200,348,431,257,189,463,162,599,746,523,479
2020년07월_여_80~89세,"4,916",224,252,190,294,285,130,218,155,154,258,293,225,178,345,101,402,505,360,347
2020년07월_여_90~99세,902,40,45,33,62,45,17,32,33,34,65,40,33,22,59,18,86,82,81,75
2020년07월_여_100세 이상,60,1,3,6,3,1,2,2,1,3,0,2,1,1,11,0,4,2,1,16
