,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년11월_계_총인구수,"48,770","17,987","3,639","4,307",771,"3,152","3,340","4,152","2,292","2,071",218,"2,439",975,"2,615",812
2021년11월_계_연령구간인구수,"48,770","17,987","3,639","4,307",771,"3,152","3,340","4,152","2,292","2,071",218,"2,439",975,"2,615",812
2021년11월_계_0~9세,"2,914","1,377",196,292,45,86,122,172,111,61,4,130,40,239,39
2021년11월_계_10~19세,"3,506","1,687",190,395,49,120,189,261,97,87,9,132,50,214,26
2021년11월_계_20~29세,"3,586","1,811",199,270,41,176,190,247,127,124,8,126,63,143,61
2021년11월_계_30~39세,"3,642","1,658",275,338,68,145,202,221,104,121,4,166,58,230,52
2021년11월_계_40~49세,"5,944","2,615",409,567,114,311,338,402,197,188,24,267,94,331,87
2021년11월_계_50~59세,"7,883","3,054",553,637,119,529,579,615,384,348,38,338,159,396,134
2021년11월_계_60~69세,"8,737","2,910",739,663,155,711,640,709,488,429,36,467,170,461,159
2021년11월_계_70~79세,"7,327","1,861",608,635,138,628,591,843,450,374,47,479,177,350,146
2021년11월_계_80~89세,"4,580",879,421,449,40,392,431,604,293,286,39,293,141,220,92
2021년11월_계_90~99세,633,130,49,60,1,53,57,75,40,52,8,40,22,31,15
2021년11월_계_100세 이상,18,5,0,1,1,1,1,3,1,1,1,1,1,0,1
2021년11월_남_총인구수,"24,537","9,051","1,842","2,150",420,"1,584","1,701","2,030","1,167","1,017",115,"1,210",485,"1,335",430
2021년11월_남_연령구간인구수,"24,537","9,051","1,842","2,150",420,"1,584","1,701","2,030","1,167","1,017",115,"1,210",485,"1,335",430
2021년11월_남_0~9세,"1,504",739,95,137,21,50,56,83,68,29,3,60,18,123,22
2021년11월_남_10~19세,"1,826",868,97,217,27,60,91,129,47,51,5,71,30,117,16
2021년11월_남_20~29세,"2,100","1,030",121,160,25,96,128,152,80,72,8,72,36,82,38
2021년11월_남_30~39세,"1,966",827,160,189,45,92,117,126,57,74,2,94,34,120,29
2021년11월_남_40~49세,"3,471","1,363",269,331,82,200,208,242,132,111,17,181,60,209,66
2021년11월_남_50~59세,"4,434","1,632",325,360,66,305,339,364,227,211,24,198,91,217,75
2021년11월_남_60~69세,"4,371","1,425",365,339,75,355,336,355,244,218,21,229,92,234,83
2021년11월_남_70~79세,"3,276",854,272,274,66,298,260,358,208,154,25,190,80,169,68
2021년11월_남_80~89세,"1,462",282,130,137,13,121,152,205,95,84,10,104,39,59,31
2021년11월_남_90~99세,125,31,8,6,0,7,14,16,9,12,0,10,5,5,2
2021년11월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년11월_여_총인구수,"24,233","8,936","1,797","2,157",351,"1,568","1,639","2,122","1,125","1,054",103,"1,229",490,"1,280",382
2021년11월_여_연령구간인구수,"24,233","8,936","1,797","2,157",351,"1,568","1,639","2,122","1,125","1,054",103,"1,229",490,"1,280",382
2021년11월_여_0~9세,"1,410",638,101,155,24,36,66,89,43,32,1,70,22,116,17
2021년11월_여_10~19세,"1,680",819,93,178,22,60,98,132,50,36,4,61,20,97,10
2021년11월_여_20~29세,"1,486",781,78,110,16,80,62,95,47,52,0,54,27,61,23
2021년11월_여_30~39세,"1,676",831,115,149,23,53,85,95,47,47,2,72,24,110,23
2021년11월_여_40~49세,"2,473","1,252",140,236,32,111,130,160,65,77,7,86,34,122,21
2021년11월_여_50~59세,"3,449","1,422",228,277,53,224,240,251,157,137,14,140,68,179,59
2021년11월_여_60~69세,"4,366","1,485",374,324,80,356,304,354,244,211,15,238,78,227,76
2021년11월_여_70~79세,"4,051","1,007",336,361,72,330,331,485,242,220,22,289,97,181,78
2021년11월_여_80~89세,"3,118",597,291,312,27,271,279,399,198,202,29,189,102,161,61
2021년11월_여_90~99세,508,99,41,54,1,46,43,59,31,40,8,30,17,26,13
2021년11월_여_100세 이상,16,5,0,1,1,1,1,3,1,0,1,0,1,0,1
