카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년05월_계_총인구수,"312,270","25,018","22,269","30,655","27,877","32,491","19,275","16,830","17,938","21,429","21,673","23,719","21,115","31,981"
2020년05월_계_연령구간인구수,"312,270","25,018","22,269","30,655","27,877","32,491","19,275","16,830","17,938","21,429","21,673","23,719","21,115","31,981"
2020년05월_계_0~9세,"16,805","1,412",873,"1,605","1,199","3,155",751,764,"1,031","1,097","1,131",894,"1,172","1,721"
2020년05월_계_10~19세,"22,916","2,057","1,402","2,137","1,725","4,084","1,152","1,156","1,438","1,402","1,489","1,195","1,441","2,238"
2020년05월_계_20~29세,"43,391","3,186","3,775","4,311","3,756","3,470","3,355","2,183","2,040","3,122","3,065","4,245","2,703","4,180"
2020년05월_계_30~39세,"39,957","3,086","2,933","4,259","3,404","3,993","2,885","1,913","1,852","2,828","2,553","3,532","2,661","4,058"
2020년05월_계_40~49세,"48,238","3,857","3,179","4,759","4,063","6,724","2,995","2,552","2,781","3,081","3,190","3,361","3,060","4,636"
2020년05월_계_50~59세,"53,424","4,482","3,883","5,240","5,158","4,983","3,158","2,907","2,822","3,724","3,832","4,090","3,633","5,512"
2020년05월_계_60~69세,"44,914","3,712","3,251","4,445","4,503","3,231","2,546","2,646","2,667","3,232","3,211","3,329","3,212","4,929"
2020년05월_계_70~79세,"29,838","2,254","2,067","2,783","2,846","1,972","1,742","1,968","2,509","1,995","2,159","2,168","2,166","3,209"
2020년05월_계_80~89세,"11,078",809,799,967,"1,063",759,602,663,699,803,920,798,899,"1,297"
2020년05월_계_90~99세,"1,465",133,98,120,136,95,81,72,90,108,118,93,137,184
2020년05월_계_100세 이상,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020년05월_남_총인구수,"152,333","12,473","10,720","14,733","13,896","15,634","9,649","8,183","8,468","10,599","10,403","11,815","10,283","15,477"
2020년05월_남_연령구간인구수,"152,333","12,473","10,720","14,733","13,896","15,634","9,649","8,183","8,468","10,599","10,403","11,815","10,283","15,477"
2020년05월_남_0~9세,"8,693",733,464,824,620,"1,647",391,407,534,546,579,436,633,879
2020년05월_남_10~19세,"11,793","1,073",730,"1,041",857,"2,081",615,615,729,721,783,656,762,"1,130"
2020년05월_남_20~29세,"21,288","1,648","1,657","2,078","1,932","1,710","1,622","1,135","1,037","1,569","1,463","2,066","1,290","2,081"
2020년05월_남_30~39세,"21,010","1,628","1,556","2,178","1,834","1,869","1,537","1,061",958,"1,538","1,368","1,929","1,423","2,131"
2020년05월_남_40~49세,"24,697","1,968","1,641","2,427","2,158","3,245","1,589","1,305","1,414","1,659","1,605","1,779","1,545","2,362"
2020년05월_남_50~59세,"26,086","2,280","1,870","2,459","2,597","2,473","1,630","1,422","1,341","1,792","1,797","2,066","1,731","2,628"
2020년05월_남_60~69세,"20,893","1,734","1,547","2,047","2,185","1,505","1,209","1,192","1,179","1,498","1,493","1,539","1,499","2,266"
2020년05월_남_70~79세,"13,017","1,040",911,"1,237","1,243",818,781,790,988,917,919,980,957,"1,436"
2020년05월_남_80~89세,"4,385",323,317,397,422,256,250,239,265,321,363,329,392,511
2020년05월_남_90~99세,410,36,26,33,43,22,24,14,22,34,32,33,43,48
2020년05월_남_100세 이상,61,10,1,12,5,8,1,3,1,4,1,2,8,5
2020년05월_여_총인구수,"159,937","12,545","11,549","15,922","13,981","16,857","9,626","8,647","9,470","10,830","11,270","11,904","10,832","16,504"
2020년05월_여_연령구간인구수,"159,937","12,545","11,549","15,922","13,981","16,857","9,626","8,647","9,470","10,830","11,270","11,904","10,832","16,504"
2020년05월_여_0~9세,"8,112",679,409,781,579,"1,508",360,357,497,551,552,458,539,842
2020년05월_여_10~19세,"11,123",984,672,"1,096",868,"2,003",537,541,709,681,706,539,679,"1,108"
2020년05월_여_20~29세,"22,103","1,538","2,118","2,233","1,824","1,760","1,733","1,048","1,003","1,553","1,602","2,179","1,413","2,099"
2020년05월_여_30~39세,"18,947","1,458","1,377","2,081","1,570","2,124","1,348",852,894,"1,290","1,185","1,603","1,238","1,927"
2020년05월_여_40~49세,"23,541","1,889","1,538","2,332","1,905","3,479","1,406","1,247","1,367","1,422","1,585","1,582","1,515","2,274"
2020년05월_여_50~59세,"27,338","2,202","2,013","2,781","2,561","2,510","1,528","1,485","1,481","1,932","2,035","2,024","1,902","2,884"
2020년05월_여_60~69세,"24,021","1,978","1,704","2,398","2,318","1,726","1,337","1,454","1,488","1,734","1,718","1,790","1,713","2,663"
2020년05월_여_70~79세,"16,821","1,214","1,156","1,546","1,603","1,154",961,"1,178","1,521","1,078","1,240","1,188","1,209","1,773"
2020년05월_여_80~89세,"6,693",486,482,570,641,503,352,424,434,482,557,469,507,786
2020년05월_여_90~99세,"1,055",97,72,87,93,73,57,58,68,74,86,60,94,136
2020년05월_여_100세 이상,183,20,8,17,19,17,7,3,8,33,4,12,23,12
