,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년06월_계_총인구수,"27,283","10,130","1,524","2,001","1,706","1,712","1,403","1,961","2,149","1,274","1,089","2,334"
2021년06월_계_연령구간인구수,"27,283","10,130","1,524","2,001","1,706","1,712","1,403","1,961","2,149","1,274","1,089","2,334"
2021년06월_계_0~9세,"1,383",809,52,59,59,44,50,62,100,36,49,63
2021년06월_계_10~19세,"2,162","1,289",89,101,86,72,70,115,141,36,46,117
2021년06월_계_20~29세,"2,021","1,051",103,103,88,85,70,111,126,90,71,123
2021년06월_계_30~39세,"1,853",940,87,99,101,108,99,91,111,60,58,99
2021년06월_계_40~49세,"3,215","1,596",136,211,187,138,119,178,193,121,113,223
2021년06월_계_50~59세,"4,397","1,539",264,318,263,294,235,365,386,195,148,390
2021년06월_계_60~69세,"4,960","1,347",310,405,320,424,287,458,456,265,207,481
2021년06월_계_70~79세,"4,098",934,260,391,331,287,244,330,374,254,210,483
2021년06월_계_80~89세,"2,791",537,197,279,240,228,208,215,223,185,172,307
2021년06월_계_90~99세,382,85,21,32,29,31,20,36,39,27,14,48
2021년06월_계_100세 이상,21,3,5,3,2,1,1,0,0,5,1,0
2021년06월_남_총인구수,"13,326","4,930",738,979,851,849,706,967,"1,038",620,513,"1,135"
2021년06월_남_연령구간인구수,"13,326","4,930",738,979,851,849,706,967,"1,038",620,513,"1,135"
2021년06월_남_0~9세,720,434,25,31,28,23,27,26,52,10,29,35
2021년06월_남_10~19세,"1,111",655,46,50,43,38,41,65,72,21,23,57
2021년06월_남_20~29세,"1,135",575,62,53,57,52,40,64,78,56,31,67
2021년06월_남_30~39세,902,423,39,57,61,63,50,46,47,32,30,54
2021년06월_남_40~49세,"1,819",820,74,141,119,91,79,104,103,73,73,142
2021년06월_남_50~59세,"2,397",814,151,174,152,152,140,182,215,119,86,212
2021년06월_남_60~69세,"2,536",643,165,230,163,238,148,250,232,130,100,237
2021년06월_남_70~79세,"1,697",370,117,150,145,119,106,143,153,102,87,205
2021년06월_남_80~89세,910,176,55,89,76,66,71,73,73,66,53,112
2021년06월_남_90~99세,98,20,4,4,7,7,4,14,13,10,1,14
2021년06월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0
2021년06월_여_총인구수,"13,957","5,200",786,"1,022",855,863,697,994,"1,111",654,576,"1,199"
2021년06월_여_연령구간인구수,"13,957","5,200",786,"1,022",855,863,697,994,"1,111",654,576,"1,199"
2021년06월_여_0~9세,663,375,27,28,31,21,23,36,48,26,20,28
2021년06월_여_10~19세,"1,051",634,43,51,43,34,29,50,69,15,23,60
2021년06월_여_20~29세,886,476,41,50,31,33,30,47,48,34,40,56
2021년06월_여_30~39세,951,517,48,42,40,45,49,45,64,28,28,45
2021년06월_여_40~49세,"1,396",776,62,70,68,47,40,74,90,48,40,81
2021년06월_여_50~59세,"2,000",725,113,144,111,142,95,183,171,76,62,178
2021년06월_여_60~69세,"2,424",704,145,175,157,186,139,208,224,135,107,244
2021년06월_여_70~79세,"2,401",564,143,241,186,168,138,187,221,152,123,278
2021년06월_여_80~89세,"1,881",361,142,190,164,162,137,142,150,119,119,195
2021년06월_여_90~99세,284,65,17,28,22,24,16,22,26,17,13,34
2021년06월_여_100세 이상,20,3,5,3,2,1,1,0,0,4,1,0
