카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년07월_계_총인구수,"20,433","1,164",998,"5,216","1,235",237,"1,930","6,258",948,380,"2,067"
2020년07월_계_연령구간인구수,"20,433","1,164",998,"5,216","1,235",237,"1,930","6,258",948,380,"2,067"
2020년07월_계_0~9세,967,37,32,368,55,2,45,296,22,15,95
2020년07월_계_10~19세,"1,134",52,29,299,65,9,93,397,40,16,134
2020년07월_계_20~29세,"2,670",84,54,"1,045",185,42,137,548,81,24,470
2020년07월_계_30~39세,"1,915",79,58,621,123,18,88,624,44,22,238
2020년07월_계_40~49세,"2,451",114,127,667,117,16,191,815,100,37,267
2020년07월_계_50~59세,"3,658",214,202,726,234,31,371,"1,286",188,78,328
2020년07월_계_60~69세,"3,899",319,270,743,216,49,467,"1,238",222,83,292
2020년07월_계_70~79세,"2,364",159,150,432,164,52,330,722,153,63,139
2020년07월_계_80~89세,"1,126",91,56,245,67,15,169,278,85,34,86
2020년07월_계_90~99세,238,14,18,67,9,3,38,50,13,8,18
2020년07월_계_100세 이상,11,1,2,3,0,0,1,4,0,0,0
2020년07월_남_총인구수,"11,619",611,529,"3,098",711,150,"1,045","3,470",503,195,"1,307"
2020년07월_남_연령구간인구수,"11,619",611,529,"3,098",711,150,"1,045","3,470",503,195,"1,307"
2020년07월_남_0~9세,496,17,18,194,26,0,19,159,14,8,41
2020년07월_남_10~19세,623,27,18,143,36,8,50,230,20,8,83
2020년07월_남_20~29세,"1,941",46,30,825,133,36,84,358,45,10,374
2020년07월_남_30~39세,"1,190",43,33,380,80,15,53,382,26,15,163
2020년07월_남_40~49세,"1,554",65,78,442,81,12,122,488,64,20,182
2020년07월_남_50~59세,"2,109",128,120,409,127,22,233,700,115,47,208
2020년07월_남_60~69세,"2,092",169,134,402,125,29,265,663,114,41,150
2020년07월_남_70~79세,"1,166",81,81,205,68,22,152,381,71,37,68
2020년07월_남_80~89세,397,31,16,82,32,6,58,99,32,8,33
2020년07월_남_90~99세,47,3,0,15,3,0,9,9,2,1,5
2020년07월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년07월_여_총인구수,"8,814",553,469,"2,118",524,87,885,"2,788",445,185,760
2020년07월_여_연령구간인구수,"8,814",553,469,"2,118",524,87,885,"2,788",445,185,760
2020년07월_여_0~9세,471,20,14,174,29,2,26,137,8,7,54
2020년07월_여_10~19세,511,25,11,156,29,1,43,167,20,8,51
2020년07월_여_20~29세,729,38,24,220,52,6,53,190,36,14,96
2020년07월_여_30~39세,725,36,25,241,43,3,35,242,18,7,75
2020년07월_여_40~49세,897,49,49,225,36,4,69,327,36,17,85
2020년07월_여_50~59세,"1,549",86,82,317,107,9,138,586,73,31,120
2020년07월_여_60~69세,"1,807",150,136,341,91,20,202,575,108,42,142
2020년07월_여_70~79세,"1,198",78,69,227,96,30,178,341,82,26,71
2020년07월_여_80~89세,729,60,40,163,35,9,111,179,53,26,53
2020년07월_여_90~99세,191,11,18,52,6,3,29,41,11,7,13
2020년07월_여_100세 이상,7,0,1,2,0,0,1,3,0,0,0
