카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년11월_계_총인구수,"47,561","20,996","3,325","4,361","2,277","1,954","2,390","3,242","1,004","2,860","1,866","3,286"
2020년11월_계_연령구간인구수,"47,561","20,996","3,325","4,361","2,277","1,954","2,390","3,242","1,004","2,860","1,866","3,286"
2020년11월_계_0~9세,"2,376","1,544",109,172,49,56,72,111,28,83,47,105
2020년11월_계_10~19세,"3,416","2,081",152,309,122,94,108,175,50,112,75,138
2020년11월_계_20~29세,"4,472","2,724",239,291,147,118,114,327,47,164,108,193
2020년11월_계_30~39세,"3,290","1,967",165,268,98,78,108,177,37,124,74,194
2020년11월_계_40~49세,"5,383","3,063",313,426,208,157,184,274,80,217,176,285
2020년11월_계_50~59세,"8,503","3,560",653,812,449,367,410,629,192,512,340,579
2020년11월_계_60~69세,"9,155","2,973",789,974,521,472,581,686,239,716,417,787
2020년11월_계_70~79세,"6,511","1,975",494,681,399,319,478,507,188,515,355,600
2020년11월_계_80~89세,"3,885",983,356,385,247,259,280,318,123,353,226,355
2020년11월_계_90~99세,531,111,49,38,36,33,52,37,19,60,48,48
2020년11월_계_100세 이상,39,15,6,5,1,1,3,1,1,4,0,2
2020년11월_남_총인구수,"23,657","10,373","1,687","2,196","1,117",964,"1,162","1,648",502,"1,441",927,"1,640"
2020년11월_남_연령구간인구수,"23,657","10,373","1,687","2,196","1,117",964,"1,162","1,648",502,"1,441",927,"1,640"
2020년11월_남_0~9세,"1,221",786,59,96,24,30,30,50,15,50,27,54
2020년11월_남_10~19세,"1,766","1,065",74,163,60,52,66,99,29,52,37,69
2020년11월_남_20~29세,"2,510","1,451",142,177,91,69,68,211,24,101,66,110
2020년11월_남_30~39세,"1,741",999,99,141,53,43,59,100,22,70,48,107
2020년11월_남_40~49세,"2,919","1,565",170,242,116,98,106,159,47,145,100,171
2020년11월_남_50~59세,"4,509","1,828",364,436,241,197,222,341,112,277,182,309
2020년11월_남_60~69세,"4,665","1,484",411,508,255,242,302,348,129,361,223,402
2020년11월_남_70~79세,"2,853",835,245,291,179,132,209,218,78,237,156,273
2020년11월_남_80~89세,"1,335",334,111,134,88,92,89,113,40,133,72,129
2020년11월_남_90~99세,127,21,11,7,9,9,10,9,6,14,16,15
2020년11월_남_100세 이상,11,5,1,1,1,0,1,0,0,1,0,1
2020년11월_여_총인구수,"23,904","10,623","1,638","2,165","1,160",990,"1,228","1,594",502,"1,419",939,"1,646"
2020년11월_여_연령구간인구수,"23,904","10,623","1,638","2,165","1,160",990,"1,228","1,594",502,"1,419",939,"1,646"
2020년11월_여_0~9세,"1,155",758,50,76,25,26,42,61,13,33,20,51
2020년11월_여_10~19세,"1,650","1,016",78,146,62,42,42,76,21,60,38,69
2020년11월_여_20~29세,"1,962","1,273",97,114,56,49,46,116,23,63,42,83
2020년11월_여_30~39세,"1,549",968,66,127,45,35,49,77,15,54,26,87
2020년11월_여_40~49세,"2,464","1,498",143,184,92,59,78,115,33,72,76,114
2020년11월_여_50~59세,"3,994","1,732",289,376,208,170,188,288,80,235,158,270
2020년11월_여_60~69세,"4,490","1,489",378,466,266,230,279,338,110,355,194,385
2020년11월_여_70~79세,"3,658","1,140",249,390,220,187,269,289,110,278,199,327
2020년11월_여_80~89세,"2,550",649,245,251,159,167,191,205,83,220,154,226
2020년11월_여_90~99세,404,90,38,31,27,24,42,28,13,46,32,33
2020년11월_여_100세 이상,28,10,5,4,0,1,2,1,1,3,0,1
