카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년12월_계_총인구수,"21,695","7,259","2,048","2,288","4,335","2,056","2,144","1,565"
2021년12월_계_연령구간인구수,"21,695","7,259","2,048","2,288","4,335","2,056","2,144","1,565"
2021년12월_계_0~9세,"1,025",495,66,67,226,45,68,58
2021년12월_계_10~19세,"1,627",732,113,115,355,84,136,92
2021년12월_계_20~29세,"1,548",619,126,130,327,115,153,78
2021년12월_계_30~39세,"1,400",619,92,101,300,106,105,77
2021년12월_계_40~49세,"2,405",985,172,180,547,160,216,145
2021년12월_계_50~59세,"3,635","1,139",357,370,748,360,406,255
2021년12월_계_60~69세,"4,394","1,221",405,565,841,521,448,393
2021년12월_계_70~79세,"3,075",850,363,432,517,355,329,229
2021년12월_계_80~89세,"2,258",524,303,280,422,270,250,209
2021년12월_계_90~99세,316,73,50,44,51,38,32,28
2021년12월_계_100세 이상,12,2,1,4,1,2,1,1
2021년12월_남_총인구수,"10,812","3,569","1,030","1,162","2,181","1,006","1,070",794
2021년12월_남_연령구간인구수,"10,812","3,569","1,030","1,162","2,181","1,006","1,070",794
2021년12월_남_0~9세,534,261,34,40,116,19,35,29
2021년12월_남_10~19세,821,342,63,65,192,47,66,46
2021년12월_남_20~29세,880,344,81,74,187,67,83,44
2021년12월_남_30~39세,717,298,56,58,148,61,60,36
2021년12월_남_40~49세,"1,356",531,104,115,294,90,126,96
2021년12월_남_50~59세,"2,057",635,200,215,426,204,232,145
2021년12월_남_60~69세,"2,251",597,211,285,439,263,237,219
2021년12월_남_70~79세,"1,385",366,166,206,235,164,138,110
2021년12월_남_80~89세,730,181,97,95,130,80,87,60
2021년12월_남_90~99세,80,13,18,9,14,11,6,9
2021년12월_남_100세 이상,1,1,0,0,0,0,0,0
2021년12월_여_총인구수,"10,883","3,690","1,018","1,126","2,154","1,050","1,074",771
2021년12월_여_연령구간인구수,"10,883","3,690","1,018","1,126","2,154","1,050","1,074",771
2021년12월_여_0~9세,491,234,32,27,110,26,33,29
2021년12월_여_10~19세,806,390,50,50,163,37,70,46
2021년12월_여_20~29세,668,275,45,56,140,48,70,34
2021년12월_여_30~39세,683,321,36,43,152,45,45,41
2021년12월_여_40~49세,"1,049",454,68,65,253,70,90,49
2021년12월_여_50~59세,"1,578",504,157,155,322,156,174,110
2021년12월_여_60~69세,"2,143",624,194,280,402,258,211,174
2021년12월_여_70~79세,"1,690",484,197,226,282,191,191,119
2021년12월_여_80~89세,"1,528",343,206,185,292,190,163,149
2021년12월_여_90~99세,236,60,32,35,37,27,26,19
2021년12월_여_100세 이상,11,1,1,4,1,2,1,1
