,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년10월_계_총인구수,"136,485","6,830","7,199","4,500","48,860","30,402","2,486","32,628","3,580"
2020년10월_계_연령구간인구수,"136,485","6,830","7,199","4,500","48,860","30,402","2,486","32,628","3,580"
2020년10월_계_0~9세,"20,074",181,514,91,"9,487","5,192",65,"4,434",110
2020년10월_계_10~19세,"11,479",300,476,147,"3,918","4,165",66,"2,268",139
2020년10월_계_20~29세,"12,174",664,839,356,"4,100","2,485",200,"3,246",284
2020년10월_계_30~39세,"27,261",584,895,360,"12,807","5,063",204,"7,033",315
2020년10월_계_40~49세,"23,199",721,907,374,"8,323","6,614",213,"5,636",411
2020년10월_계_50~59세,"16,817","1,283","1,120",955,"4,627","3,345",500,"4,247",740
2020년10월_계_60~69세,"15,565","1,645","1,347","1,275","3,724","2,396",615,"3,688",875
2020년10월_계_70~79세,"6,789","1,014",703,609,"1,330",819,409,"1,446",459
2020년10월_계_80~89세,"2,637",378,334,268,455,278,180,541,203
2020년10월_계_90~99세,445,57,57,53,80,44,31,84,39
2020년10월_계_100세 이상,45,3,7,12,9,1,3,5,5
2020년10월_남_총인구수,"70,513","3,767","4,010","2,390","24,503","15,115","1,326","17,518","1,884"
2020년10월_남_연령구간인구수,"70,513","3,767","4,010","2,390","24,503","15,115","1,326","17,518","1,884"
2020년10월_남_0~9세,"10,303",90,276,44,"4,790","2,682",31,"2,333",57
2020년10월_남_10~19세,"5,851",173,256,78,"1,919","2,112",44,"1,198",71
2020년10월_남_20~29세,"6,533",397,544,225,"2,003","1,269",116,"1,812",167
2020년10월_남_30~39세,"13,896",334,520,212,"6,355","2,285",119,"3,876",195
2020년10월_남_40~49세,"12,987",437,553,232,"4,608","3,394",140,"3,373",250
2020년10월_남_50~59세,"8,614",751,644,513,"2,160","1,693",276,"2,189",388
2020년10월_남_60~69세,"7,947",909,732,697,"1,810","1,164",327,"1,863",445
2020년10월_남_70~79세,"3,392",523,358,281,692,401,207,693,237
2020년10월_남_80~89세,900,142,118,93,154,101,59,167,66
2020년10월_남_90~99세,77,10,7,10,9,13,7,13,8
2020년10월_남_100세 이상,13,1,2,5,3,1,0,1,0
2020년10월_여_총인구수,"65,972","3,063","3,189","2,110","24,357","15,287","1,160","15,110","1,696"
2020년10월_여_연령구간인구수,"65,972","3,063","3,189","2,110","24,357","15,287","1,160","15,110","1,696"
2020년10월_여_0~9세,"9,771",91,238,47,"4,697","2,510",34,"2,101",53
2020년10월_여_10~19세,"5,628",127,220,69,"1,999","2,053",22,"1,070",68
2020년10월_여_20~29세,"5,641",267,295,131,"2,097","1,216",84,"1,434",117
2020년10월_여_30~39세,"13,365",250,375,148,"6,452","2,778",85,"3,157",120
2020년10월_여_40~49세,"10,212",284,354,142,"3,715","3,220",73,"2,263",161
2020년10월_여_50~59세,"8,203",532,476,442,"2,467","1,652",224,"2,058",352
2020년10월_여_60~69세,"7,618",736,615,578,"1,914","1,232",288,"1,825",430
2020년10월_여_70~79세,"3,397",491,345,328,638,418,202,753,222
2020년10월_여_80~89세,"1,737",236,216,175,301,177,121,374,137
2020년10월_여_90~99세,368,47,50,43,71,31,24,71,31
2020년10월_여_100세 이상,32,2,5,7,6,0,3,4,5
