카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년12월_계_총인구수,"91,609","14,302","26,030","7,168","4,393","14,342","6,198","5,804","4,724","1,913","1,947","2,733","1,084",971
2020년12월_계_연령구간인구수,"91,609","14,302","26,030","7,168","4,393","14,342","6,198","5,804","4,724","1,913","1,947","2,733","1,084",971
2020년12월_계_0~9세,"6,911",716,"2,939",383,280,"1,678",231,196,237,65,52,76,37,21
2020년12월_계_10~19세,"8,311","1,191","3,379",515,385,"1,348",348,382,290,106,61,219,42,45
2020년12월_계_20~29세,"8,956","1,724","2,656",722,391,"1,409",544,550,386,139,103,209,80,43
2020년12월_계_30~39세,"9,408","1,222","3,421",585,339,"2,257",436,373,350,106,89,129,55,46
2020년12월_계_40~49세,"13,548","2,071","4,756",936,639,"2,516",617,587,560,194,183,316,92,81
2020년12월_계_50~59세,"15,254","2,469","3,636","1,322",807,"2,132","1,240","1,199",853,331,380,459,254,172
2020년12월_계_60~69세,"13,858","2,314","2,563","1,292",742,"1,565","1,343","1,235",873,400,466,548,278,239
2020년12월_계_70~79세,"9,267","1,518","1,660",879,514,924,876,766,688,321,369,426,141,185
2020년12월_계_80~89세,"5,259",943,869,465,244,446,494,446,411,204,218,298,93,128
2020년12월_계_90~99세,794,130,145,63,46,64,62,66,75,44,26,51,12,10
2020년12월_계_100세 이상,43,4,6,6,6,3,7,4,1,3,0,2,0,1
2020년12월_남_총인구수,"47,077","7,350","13,561","3,711","2,260","7,229","3,204","2,911","2,413",972,978,"1,434",558,496
2020년12월_남_연령구간인구수,"47,077","7,350","13,561","3,711","2,260","7,229","3,204","2,911","2,413",972,978,"1,434",558,496
2020년12월_남_0~9세,"3,476",350,"1,514",179,146,838,111,89,122,35,23,39,22,8
2020년12월_남_10~19세,"4,339",593,"1,787",281,194,673,191,195,176,55,38,115,16,25
2020년12월_남_20~29세,"4,999",960,"1,525",428,231,710,304,290,224,76,55,118,48,30
2020년12월_남_30~39세,"4,841",694,"1,689",309,176,"1,109",254,183,193,51,60,72,25,26
2020년12월_남_40~49세,"7,514","1,146","2,614",522,331,"1,369",363,317,327,111,109,193,57,55
2020년12월_남_50~59세,"8,490","1,422","2,039",752,460,"1,135",663,645,467,190,209,282,133,93
2020년12월_남_60~69세,"7,184","1,161","1,308",661,377,799,711,668,453,216,245,298,160,127
2020년12월_남_70~79세,"4,286",680,768,402,249,427,422,365,299,158,160,206,70,80
2020년12월_남_80~89세,"1,772",316,283,157,89,149,174,148,135,71,74,102,25,49
2020년12월_남_90~99세,168,27,32,20,7,20,9,11,16,7,5,9,2,3
2020년12월_남_100세 이상,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2020년12월_여_총인구수,"44,532","6,952","12,469","3,457","2,133","7,113","2,994","2,893","2,311",941,969,"1,299",526,475
2020년12월_여_연령구간인구수,"44,532","6,952","12,469","3,457","2,133","7,113","2,994","2,893","2,311",941,969,"1,299",526,475
2020년12월_여_0~9세,"3,435",366,"1,425",204,134,840,120,107,115,30,29,37,15,13
2020년12월_여_10~19세,"3,972",598,"1,592",234,191,675,157,187,114,51,23,104,26,20
2020년12월_여_20~29세,"3,957",764,"1,131",294,160,699,240,260,162,63,48,91,32,13
2020년12월_여_30~39세,"4,567",528,"1,732",276,163,"1,148",182,190,157,55,29,57,30,20
2020년12월_여_40~49세,"6,034",925,"2,142",414,308,"1,147",254,270,233,83,74,123,35,26
2020년12월_여_50~59세,"6,764","1,047","1,597",570,347,997,577,554,386,141,171,177,121,79
2020년12월_여_60~69세,"6,674","1,153","1,255",631,365,766,632,567,420,184,221,250,118,112
2020년12월_여_70~79세,"4,981",838,892,477,265,497,454,401,389,163,209,220,71,105
2020년12월_여_80~89세,"3,487",627,586,308,155,297,320,298,276,133,144,196,68,79
2020년12월_여_90~99세,626,103,113,43,39,44,53,55,59,37,21,42,10,7
2020년12월_여_100세 이상,35,3,4,6,6,3,5,4,0,1,0,2,0,1
