카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년08월_계_총인구수,"37,136","35,235","1,901"
2020년08월_계_연령구간인구수,"37,136","35,235","1,901"
2020년08월_계_0~9세,"3,407","3,371",36
2020년08월_계_10~19세,"3,406","3,322",84
2020년08월_계_20~29세,"4,522","4,393",129
2020년08월_계_30~39세,"4,819","4,731",88
2020년08월_계_40~49세,"5,688","5,475",213
2020년08월_계_50~59세,"6,073","5,726",347
2020년08월_계_60~69세,"4,898","4,423",475
2020년08월_계_70~79세,"2,680","2,382",298
2020년08월_계_80~89세,"1,464","1,263",201
2020년08월_계_90~99세,168,140,28
2020년08월_계_100세 이상,11,9,2
2020년08월_남_총인구수,"19,298","18,291","1,007"
2020년08월_남_연령구간인구수,"19,298","18,291","1,007"
2020년08월_남_0~9세,"1,754","1,731",23
2020년08월_남_10~19세,"1,770","1,730",40
2020년08월_남_20~29세,"2,628","2,550",78
2020년08월_남_30~39세,"2,673","2,618",55
2020년08월_남_40~49세,"3,083","2,948",135
2020년08월_남_50~59세,"3,196","3,002",194
2020년08월_남_60~69세,"2,461","2,195",266
2020년08월_남_70~79세,"1,192","1,051",141
2020년08월_남_80~89세,493,429,64
2020년08월_남_90~99세,45,34,11
2020년08월_남_100세 이상,3,3,0
2020년08월_여_총인구수,"17,838","16,944",894
2020년08월_여_연령구간인구수,"17,838","16,944",894
2020년08월_여_0~9세,"1,653","1,640",13
2020년08월_여_10~19세,"1,636","1,592",44
2020년08월_여_20~29세,"1,894","1,843",51
2020년08월_여_30~39세,"2,146","2,113",33
2020년08월_여_40~49세,"2,605","2,527",78
2020년08월_여_50~59세,"2,877","2,724",153
2020년08월_여_60~69세,"2,437","2,228",209
2020년08월_여_70~79세,"1,488","1,331",157
2020년08월_여_80~89세,971,834,137
2020년08월_여_90~99세,123,106,17
2020년08월_여_100세 이상,8,6,2
