카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년08월_계_총인구수,"22,853","8,095","2,263","3,723","2,011","1,951","2,343","1,163","1,304"
2021년08월_계_연령구간인구수,"22,853","8,095","2,263","3,723","2,011","1,951","2,343","1,163","1,304"
2021년08월_계_0~9세,625,387,38,88,35,15,36,15,11
2021년08월_계_10~19세,919,570,41,124,44,35,64,23,18
2021년08월_계_20~29세,"1,402",694,92,236,124,93,89,31,43
2021년08월_계_30~39세,"1,227",590,103,174,95,77,99,44,45
2021년08월_계_40~49세,"2,033","1,063",130,291,131,117,159,64,78
2021년08월_계_50~59세,"4,106","1,474",438,669,381,343,375,191,235
2021년08월_계_60~69세,"5,534","1,551",573,"1,009",541,518,615,323,404
2021년08월_계_70~79세,"3,989","1,046",443,671,362,412,512,253,290
2021년08월_계_80~89세,"2,664",635,355,407,259,310,350,196,152
2021년08월_계_90~99세,340,79,48,53,39,30,40,23,28
2021년08월_계_100세 이상,14,6,2,1,0,1,4,0,0
2021년08월_남_총인구수,"11,698","4,184","1,172","1,912","1,038",980,"1,141",586,685
2021년08월_남_연령구간인구수,"11,698","4,184","1,172","1,912","1,038",980,"1,141",586,685
2021년08월_남_0~9세,331,216,18,45,20,4,13,9,6
2021년08월_남_10~19세,504,323,22,61,32,13,32,11,10
2021년08월_남_20~29세,848,408,56,142,83,59,48,23,29
2021년08월_남_30~39세,712,324,59,94,62,51,59,31,32
2021년08월_남_40~49세,"1,191",568,84,181,83,85,103,40,47
2021년08월_남_50~59세,"2,337",816,257,380,207,192,219,128,138
2021년08월_남_60~69세,"2,936",802,314,557,291,272,301,168,231
2021년08월_남_70~79세,"1,858",487,214,315,160,196,236,110,140
2021년08월_남_80~89세,910,223,134,128,92,102,120,60,51
2021년08월_남_90~99세,70,16,14,9,8,6,10,6,1
2021년08월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년08월_여_총인구수,"11,155","3,911","1,091","1,811",973,971,"1,202",577,619
2021년08월_여_연령구간인구수,"11,155","3,911","1,091","1,811",973,971,"1,202",577,619
2021년08월_여_0~9세,294,171,20,43,15,11,23,6,5
2021년08월_여_10~19세,415,247,19,63,12,22,32,12,8
2021년08월_여_20~29세,554,286,36,94,41,34,41,8,14
2021년08월_여_30~39세,515,266,44,80,33,26,40,13,13
2021년08월_여_40~49세,842,495,46,110,48,32,56,24,31
2021년08월_여_50~59세,"1,769",658,181,289,174,151,156,63,97
2021년08월_여_60~69세,"2,598",749,259,452,250,246,314,155,173
2021년08월_여_70~79세,"2,131",559,229,356,202,216,276,143,150
2021년08월_여_80~89세,"1,754",412,221,279,167,208,230,136,101
2021년08월_여_90~99세,270,63,34,44,31,24,30,17,27
2021년08월_여_100세 이상,13,5,2,1,0,1,4,0,0
