카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년01월_계_총인구수,"31,407","9,958","3,127","2,113","2,022","4,422","2,209","1,524","2,259","1,746","2,027"
2021년01월_계_연령구간인구수,"31,407","9,958","3,127","2,113","2,022","4,422","2,209","1,524","2,259","1,746","2,027"
2021년01월_계_0~9세,"1,362",607,95,52,70,180,52,31,58,31,186
2021년01월_계_10~19세,"1,863",892,135,95,84,227,84,74,105,39,128
2021년01월_계_20~29세,"1,984",883,132,123,100,250,100,63,118,90,125
2021년01월_계_30~39세,"1,911",769,161,116,99,239,95,58,96,61,217
2021년01월_계_40~49세,"3,206","1,282",239,174,140,399,192,126,209,131,314
2021년01월_계_50~59세,"5,746","1,756",584,366,362,867,436,332,424,289,330
2021년01월_계_60~69세,"6,856","1,684",811,531,470,"1,000",585,395,563,437,380
2021년01월_계_70~79세,"4,722","1,173",542,361,356,689,371,247,394,381,208
2021년01월_계_80~89세,"3,220",769,373,258,295,474,256,175,251,247,122
2021년01월_계_90~99세,507,138,51,35,43,91,35,22,39,37,16
2021년01월_계_100세 이상,30,5,4,2,3,6,3,1,2,3,1
2021년01월_남_총인구수,"15,817","4,905","1,571","1,022","1,024","2,194","1,115",770,"1,187",900,"1,129"
2021년01월_남_연령구간인구수,"15,817","4,905","1,571","1,022","1,024","2,194","1,115",770,"1,187",900,"1,129"
2021년01월_남_0~9세,700,316,47,28,36,98,27,12,30,13,93
2021년01월_남_10~19세,"1,001",447,86,45,44,124,48,47,63,26,71
2021년01월_남_20~29세,"1,169",494,81,74,66,141,60,37,81,61,74
2021년01월_남_30~39세,"1,046",388,92,67,55,124,49,32,60,40,139
2021년01월_남_40~49세,"1,867",673,141,109,87,236,120,69,130,87,215
2021년01월_남_50~59세,"3,109",932,304,190,208,451,232,181,241,167,203
2021년01월_남_60~69세,"3,550",847,421,266,258,511,319,211,298,215,204
2021년01월_남_70~79세,"2,112",508,250,151,148,309,170,113,187,187,89
2021년01월_남_80~89세,"1,135",278,134,85,109,172,78,60,92,93,34
2021년01월_남_90~99세,123,21,15,6,13,25,12,8,5,11,7
2021년01월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2021년01월_여_총인구수,"15,590","5,053","1,556","1,091",998,"2,228","1,094",754,"1,072",846,898
2021년01월_여_연령구간인구수,"15,590","5,053","1,556","1,091",998,"2,228","1,094",754,"1,072",846,898
2021년01월_여_0~9세,662,291,48,24,34,82,25,19,28,18,93
2021년01월_여_10~19세,862,445,49,50,40,103,36,27,42,13,57
2021년01월_여_20~29세,815,389,51,49,34,109,40,26,37,29,51
2021년01월_여_30~39세,865,381,69,49,44,115,46,26,36,21,78
2021년01월_여_40~49세,"1,339",609,98,65,53,163,72,57,79,44,99
2021년01월_여_50~59세,"2,637",824,280,176,154,416,204,151,183,122,127
2021년01월_여_60~69세,"3,306",837,390,265,212,489,266,184,265,222,176
2021년01월_여_70~79세,"2,610",665,292,210,208,380,201,134,207,194,119
2021년01월_여_80~89세,"2,085",491,239,173,186,302,178,115,159,154,88
2021년01월_여_90~99세,384,117,36,29,30,66,23,14,34,26,9
2021년01월_여_100세 이상,25,4,4,1,3,3,3,1,2,3,1
