,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년09월_계_총인구수,"176,789","52,675","8,569","81,794","25,833","7,918"
2021년09월_계_연령구간인구수,"176,789","52,675","8,569","81,794","25,833","7,918"
2021년09월_계_0~9세,"18,575","3,020",414,"11,508","3,289",344
2021년09월_계_10~19세,"17,903","4,293",402,"10,911","1,868",429
2021년09월_계_20~29세,"17,010","6,183","1,009","6,611","2,519",688
2021년09월_계_30~39세,"24,350","5,632","1,036","12,513","4,528",641
2021년09월_계_40~49세,"32,882","7,935",958,"18,808","4,194",987
2021년09월_계_50~59세,"24,769","9,401","1,497","8,761","3,775","1,335"
2021년09월_계_60~69세,"22,326","8,488","1,692","7,048","3,264","1,834"
2021년09월_계_70~79세,"12,743","5,051",949,"4,014","1,625","1,104"
2021년09월_계_80~89세,"5,447","2,352",518,"1,425",662,490
2021년09월_계_90~99세,755,309,89,191,105,61
2021년09월_계_100세 이상,29,11,5,4,4,5
2021년09월_남_총인구수,"87,499","25,686","4,613","40,385","12,804","4,011"
2021년09월_남_연령구간인구수,"87,499","25,686","4,613","40,385","12,804","4,011"
2021년09월_남_0~9세,"9,478","1,601",219,"5,858","1,638",162
2021년09월_남_10~19세,"9,279","2,241",223,"5,652",939,224
2021년09월_남_20~29세,"9,023","3,274",606,"3,323","1,392",428
2021년09월_남_30~39세,"12,092","2,962",610,"5,955","2,228",337
2021년09월_남_40~49세,"16,781","3,970",573,"9,552","2,144",542
2021년09월_남_50~59세,"12,640","4,652",856,"4,570","1,874",688
2021년09월_남_60~69세,"10,367","3,978",867,"3,046","1,593",883
2021년09월_남_70~79세,"5,820","2,141",480,"1,878",762,559
2021년09월_남_80~89세,"1,863",808,157,515,210,173
2021년09월_남_90~99세,155,59,21,36,24,15
2021년09월_남_100세 이상,1,0,1,0,0,0
2021년09월_여_총인구수,"89,290","26,989","3,956","41,409","13,029","3,907"
2021년09월_여_연령구간인구수,"89,290","26,989","3,956","41,409","13,029","3,907"
2021년09월_여_0~9세,"9,097","1,419",195,"5,650","1,651",182
2021년09월_여_10~19세,"8,624","2,052",179,"5,259",929,205
2021년09월_여_20~29세,"7,987","2,909",403,"3,288","1,127",260
2021년09월_여_30~39세,"12,258","2,670",426,"6,558","2,300",304
2021년09월_여_40~49세,"16,101","3,965",385,"9,256","2,050",445
2021년09월_여_50~59세,"12,129","4,749",641,"4,191","1,901",647
2021년09월_여_60~69세,"11,959","4,510",825,"4,002","1,671",951
2021년09월_여_70~79세,"6,923","2,910",469,"2,136",863,545
2021년09월_여_80~89세,"3,584","1,544",361,910,452,317
2021년09월_여_90~99세,600,250,68,155,81,46
2021년09월_여_100세 이상,28,11,4,4,4,5
