,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년08월_계_총인구수,"212,935","16,198","3,383","1,596","4,128","4,328","3,590","4,515","6,651","15,416","5,076","3,353","25,958","7,879","10,492","13,104","4,819","9,942","16,712","18,268","28,748","8,779"
2020년08월_계_연령구간인구수,"212,935","16,198","3,383","1,596","4,128","4,328","3,590","4,515","6,651","15,416","5,076","3,353","25,958","7,879","10,492","13,104","4,819","9,942","16,712","18,268","28,748","8,779"
2020년08월_계_0~9세,"13,710",590,123,32,200,106,116,197,399,"1,417",181,98,"1,827",383,446,606,293,907,"1,493",990,"2,552",754
2020년08월_계_10~19세,"19,281",986,191,40,277,197,169,222,502,"1,531",302,166,"3,106",648,765,"1,210",405,"1,042","1,587","1,617","3,551",767
2020년08월_계_20~29세,"25,069","1,443",307,98,353,406,266,406,502,"1,774",596,300,"3,510",913,"1,313","1,687",579,"1,141","2,614","2,024","3,433","1,404"
2020년08월_계_30~39세,"21,815","1,151",191,76,328,301,230,395,598,"2,098",459,280,"2,601",745,924,"1,260",542,"1,302","2,208","1,680","3,396","1,050"
2020년08월_계_40~49세,"32,400","1,978",384,121,492,438,324,565,979,"2,648",633,413,"4,586","1,081","1,448","1,918",729,"1,658","2,676","2,633","5,266","1,430"
2020년08월_계_50~59세,"36,782","3,015",691,330,735,803,723,855,"1,170","2,413",821,614,"4,452","1,434","2,011","2,507",943,"1,624","2,506","3,203","4,576","1,356"
2020년08월_계_60~69세,"32,970","3,398",694,456,868,943,839,960,"1,301","1,885",998,676,"3,099","1,428","1,904","2,253",712,"1,349","2,059","2,862","3,216","1,070"
2020년08월_계_70~79세,"19,508","2,269",433,280,510,674,565,544,751,"1,064",673,557,"1,766",814,"1,153","1,090",370,565,"1,001","2,086","1,727",616
2020년08월_계_80~89세,"9,683","1,140",312,142,290,385,313,313,394,502,326,223,869,365,457,486,212,296,489,"1,012",887,270
2020년08월_계_90~99세,"1,611",205,52,21,69,68,42,56,51,79,82,26,134,60,67,87,34,56,77,146,137,62
