,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년04월_계_총인구수,"481,719","27,215","47,304","29,067","9,784","5,512","8,157","61,749","39,130","22,812","62,120","41,332","43,237","34,614","49,686"
2021년04월_계_연령구간인구수,"481,719","27,215","47,304","29,067","9,784","5,512","8,157","61,749","39,130","22,812","62,120","41,332","43,237","34,614","49,686"
2021년04월_계_0~9세,"55,329","1,653","6,439","2,316",326,143,263,"5,990","4,889","1,544","6,715","5,619","6,498","5,418","7,516"
2021년04월_계_10~19세,"48,622","2,284","4,519","2,510",521,240,444,"6,382","5,514","2,080","6,972","5,069","3,774","3,013","5,300"
2021년04월_계_20~29세,"53,041","3,327","4,385","2,970",912,526,813,"7,856","3,967","3,181","7,815","4,000","5,606","3,081","4,602"
2021년04월_계_30~39세,"76,664","2,946","8,681","3,870",854,401,656,"8,342","5,542","2,813","9,203","6,677","10,035","7,618","9,026"
2021년04월_계_40~49세,"90,428","4,050","9,022","4,837","1,247",597,865,"10,798","8,392","3,782","11,660","9,109","8,361","6,769","10,939"
2021년04월_계_50~59세,"67,795","5,221","5,982","5,004","2,140","1,152","1,666","10,369","5,091","4,222","8,942","4,884","4,044","3,402","5,676"
2021년04월_계_60~69세,"51,319","4,395","5,102","4,332","2,117","1,304","1,784","6,827","3,211","2,906","6,039","3,377","2,996","3,017","3,912"
2021년04월_계_70~79세,"26,081","2,117","2,199","2,150","1,053",705,"1,035","3,411","1,766","1,507","3,262","1,828","1,399","1,692","1,957"
2021년04월_계_80~89세,"10,812","1,055",831,922,525,365,551,"1,570",664,681,"1,348",674,453,519,654
2021년04월_계_90~99세,"1,578",162,136,152,88,76,77,199,92,90,157,92,69,84,104
2021년04월_계_100세 이상,50,5,8,4,1,3,3,5,2,6,7,3,2,1,0
2021년04월_남_총인구수,"241,239","14,564","23,606","15,335","5,730","3,035","4,450","30,421","19,079","11,457","30,332","20,260","21,533","17,124","24,313"
2021년04월_남_연령구간인구수,"241,239","14,564","23,606","15,335","5,730","3,035","4,450","30,421","19,079","11,457","30,332","20,260","21,533","17,124","24,313"
2021년04월_남_0~9세,"28,162",852,"3,357","1,157",178,67,138,"2,997","2,433",822,"3,413","2,875","3,279","2,760","3,834"
2021년04월_남_10~19세,"24,796","1,242","2,351","1,299",283,116,246,"3,251","2,802","1,095","3,568","2,463","1,856","1,510","2,714"
2021년04월_남_20~29세,"27,346","2,015","2,192","1,622",573,325,492,"4,177","1,996","1,689","3,780","2,053","2,698","1,502","2,232"
2021년04월_남_30~39세,"37,617","1,666","4,134","2,154",549,234,389,"4,030","2,553","1,466","4,389","3,150","5,027","3,781","4,095"
2021년04월_남_40~49세,"47,020","2,257","4,688","2,734",789,373,543,"5,305","4,136","1,925","5,760","4,655","4,532","3,638","5,685"
2021년04월_남_50~59세,"34,657","2,828","2,975","2,753","1,366",664,957,"5,145","2,579","2,103","4,442","2,458","1,964","1,624","2,799"
2021년04월_남_60~69세,"24,983","2,326","2,447","2,230","1,231",718,964,"3,372","1,478","1,410","2,860","1,528","1,355","1,309","1,755"
2021년04월_남_70~79세,"12,180",961,"1,118","1,013",533,385,490,"1,500",814,677,"1,540",813,638,784,914
2021년04월_남_80~89세,"4,095",370,316,341,209,138,209,589,262,252,540,249,168,194,258
2021년04월_남_90~99세,372,45,27,30,19,15,22,54,25,18,38,15,15,22,27
2021년04월_남_100세 이상,11,2,1,2,0,0,0,1,1,0,2,1,1,0,0
2021년04월_여_총인구수,"240,480","12,651","23,698","13,732","4,054","2,477","3,707","31,328","20,051","11,355","31,788","21,072","21,704","17,490","25,373"
2021년04월_여_연령구간인구수,"240,480","12,651","23,698","13,732","4,054","2,477","3,707","31,328","20,051","11,355","31,788","21,072","21,704","17,490","25,373"
2021년04월_여_0~9세,"27,167",801,"3,082","1,159",148,76,125,"2,993","2,456",722,"3,302","2,744","3,219","2,658","3,682"
2021년04월_여_10~19세,"23,826","1,042","2,168","1,211",238,124,198,"3,131","2,712",985,"3,404","2,606","1,918","1,503","2,586"
2021년04월_여_20~29세,"25,695","1,312","2,193","1,348",339,201,321,"3,679","1,971","1,492","4,035","1,947","2,908","1,579","2,370"
2021년04월_여_30~39세,"39,047","1,280","4,547","1,716",305,167,267,"4,312","2,989","1,347","4,814","3,527","5,008","3,837","4,931"
2021년04월_여_40~49세,"43,408","1,793","4,334","2,103",458,224,322,"5,493","4,256","1,857","5,900","4,454","3,829","3,131","5,254"
2021년04월_여_50~59세,"33,138","2,393","3,007","2,251",774,488,709,"5,224","2,512","2,119","4,500","2,426","2,080","1,778","2,877"
2021년04월_여_60~69세,"26,336","2,069","2,655","2,102",886,586,820,"3,455","1,733","1,496","3,179","1,849","1,641","1,708","2,157"
2021년04월_여_70~79세,"13,901","1,156","1,081","1,137",520,320,545,"1,911",952,830,"1,722","1,015",761,908,"1,043"
2021년04월_여_80~89세,"6,717",685,515,581,316,227,342,981,402,429,808,425,285,325,396
2021년04월_여_90~99세,"1,206",117,109,122,69,61,55,145,67,72,119,77,54,62,77
2021년04월_여_100세 이상,39,3,7,2,1,3,3,4,1,6,5,2,1,1,0
