,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년09월_계_총인구수,"55,802","14,591","2,274","2,608","1,681","19,906","2,552","2,390","1,498","2,670","3,100","1,163","1,369"
2021년09월_계_연령구간인구수,"55,802","14,591","2,274","2,608","1,681","19,906","2,552","2,390","1,498","2,670","3,100","1,163","1,369"
2021년09월_계_0~9세,"4,501",741,62,43,57,"3,243",152,45,15,41,46,20,36
2021년09월_계_10~19세,"4,473","1,178",113,76,54,"2,491",110,86,35,83,118,54,75
2021년09월_계_20~29세,"4,047","1,289",81,128,49,"1,750",228,102,54,92,164,40,70
2021년09월_계_30~39세,"5,361","1,101",74,111,83,"3,339",206,97,39,111,116,33,51
2021년09월_계_40~49세,"7,175","1,848",167,153,110,"3,775",233,202,88,184,233,78,104
2021년09월_계_50~59세,"7,949","2,409",330,403,250,"2,459",317,334,201,377,457,207,205
2021년09월_계_60~69세,"9,773","2,932",516,699,429,"1,547",475,589,410,711,766,375,324
2021년09월_계_70~79세,"6,749","1,838",472,505,333,739,414,498,323,559,610,183,275
2021년09월_계_80~89세,"5,070","1,098",414,423,279,491,357,384,297,459,526,145,197
2021년09월_계_90~99세,680,154,44,66,37,70,57,49,35,50,63,27,28
2021년09월_계_100세 이상,24,3,1,1,0,2,3,4,1,3,1,1,4
2021년09월_남_총인구수,"27,415","7,194","1,144","1,296",829,"9,753","1,269","1,160",722,"1,314","1,484",573,677
2021년09월_남_연령구간인구수,"27,415","7,194","1,144","1,296",829,"9,753","1,269","1,160",722,"1,314","1,484",573,677
2021년09월_남_0~9세,"2,290",376,33,23,26,"1,652",80,23,5,21,24,10,17
2021년09월_남_10~19세,"2,355",652,67,38,34,"1,273",57,44,19,46,56,35,34
2021년09월_남_20~29세,"2,286",752,49,84,28,916,147,58,33,54,103,19,43
2021년09월_남_30~39세,"2,685",572,41,71,41,"1,561",117,60,23,73,80,14,32
2021년09월_남_40~49세,"3,857",986,106,107,75,"1,857",155,131,61,133,140,46,60
2021년09월_남_50~59세,"4,181","1,210",203,216,157,"1,214",184,186,125,213,248,105,120
2021년09월_남_60~69세,"4,899","1,392",277,374,233,767,229,287,216,368,383,206,167
2021년09월_남_70~79세,"3,027",835,212,220,139,342,183,221,135,253,271,93,123
2021년09월_남_80~89세,"1,706",393,146,145,87,162,105,139,101,146,169,38,75
2021년09월_남_90~99세,127,26,10,17,9,9,12,11,4,7,10,6,6
2021년09월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,1,0
2021년09월_여_총인구수,"28,387","7,397","1,130","1,312",852,"10,153","1,283","1,230",776,"1,356","1,616",590,692
2021년09월_여_연령구간인구수,"28,387","7,397","1,130","1,312",852,"10,153","1,283","1,230",776,"1,356","1,616",590,692
2021년09월_여_0~9세,"2,211",365,29,20,31,"1,591",72,22,10,20,22,10,19
2021년09월_여_10~19세,"2,118",526,46,38,20,"1,218",53,42,16,37,62,19,41
2021년09월_여_20~29세,"1,761",537,32,44,21,834,81,44,21,38,61,21,27
2021년09월_여_30~39세,"2,676",529,33,40,42,"1,778",89,37,16,38,36,19,19
2021년09월_여_40~49세,"3,318",862,61,46,35,"1,918",78,71,27,51,93,32,44
2021년09월_여_50~59세,"3,768","1,199",127,187,93,"1,245",133,148,76,164,209,102,85
2021년09월_여_60~69세,"4,874","1,540",239,325,196,780,246,302,194,343,383,169,157
2021년09월_여_70~79세,"3,722","1,003",260,285,194,397,231,277,188,306,339,90,152
2021년09월_여_80~89세,"3,364",705,268,278,192,329,252,245,196,313,357,107,122
2021년09월_여_90~99세,553,128,34,49,28,61,45,38,31,43,53,21,22
2021년09월_여_100세 이상,22,3,1,0,0,2,3,4,1,3,1,0,4
