카테고리,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년09월_계_총인구수,"941,783","241,803","13,467","18,526","11,209","15,522","15,764","13,588","13,498","12,612","16,066","15,785","12,593","9,980","11,176","45,608","4,786","8,298","3,325","216,379","33,666","14,121","7,023","24,619","10,717","24,593","25,984","13,940","12,657","21,175","27,884","483,601","26,553","18,127","10,693","14,095","19,852","31,031","16,039","15,615","32,398","18,803","26,122","13,877","17,798","16,856","29,350","23,907","24,748","27,864","28,926","17,829","31,572","21,546"
2020년09월_계_연령구간인구수,"941,783","241,803","13,467","18,526","11,209","15,522","15,764","13,588","13,498","12,612","16,066","15,785","12,593","9,980","11,176","45,608","4,786","8,298","3,325","216,379","33,666","14,121","7,023","24,619","10,717","24,593","25,984","13,940","12,657","21,175","27,884","483,601","26,553","18,127","10,693","14,095","19,852","31,031","16,039","15,615","32,398","18,803","26,122","13,877","17,798","16,856","29,350","23,907","24,748","27,864","28,926","17,829","31,572","21,546"
2020년09월_계_0~9세,"69,845","16,077",515,"1,668",430,521,769,641,718,400,823,"1,080",602,639,742,"5,138",539,673,179,"13,448","1,596",892,420,"1,266",681,"1,332","1,693",555,590,"1,491","2,932","40,320","2,055","1,285","1,177","1,064","1,487","2,089",919,"1,359","2,490","1,450","2,331","1,052","1,366","1,278","2,293","3,078","2,822","2,980","1,934","1,347","2,274","2,190"
2020년09월_계_10~19세,"88,422","17,732",716,"1,510",653,795,"1,160",930,"1,224",709,"1,087","1,293","1,029",930,470,"4,082",440,525,179,"16,807","1,990",899,472,"1,962","1,055","2,044","1,856",994,925,"1,784","2,826","53,883","2,987","2,282","1,972","2,461","1,941","3,291","1,429","1,770","4,373","2,303","3,169","1,853","1,331","1,795","2,079","3,381","3,036","3,148","2,390","1,726","2,776","2,390"
2020년09월_계_20~29세,"132,557","35,219","2,020","2,382","1,739","2,806","2,484","1,949","2,011","1,775","2,338","2,178","1,658","1,388","2,296","5,583",728,"1,376",508,"31,179","5,797","1,553",932,"3,813","1,799","3,603","3,541","1,792","1,829","3,129","3,391","66,159","3,790","2,469",972,"1,853","3,143","4,753","2,101","2,071","4,633","2,818","3,449","1,843","2,780","2,152","4,229","2,350","2,985","3,848","4,151","2,715","4,562","2,492"
2020년09월_계_30~39세,"137,673","36,059","1,804","3,115","1,539","2,179","2,170","1,767","1,637","1,478","2,124","2,216","1,569","1,152","2,656","7,487",901,"1,734",531,"31,143","5,760","1,932","1,094","3,414","1,368","3,022","4,018","1,630","1,592","2,917","4,396","70,471","3,640","2,479",904,"1,567","3,567","5,086","2,962","2,348","4,202","2,406","3,630","1,395","2,925","2,132","5,438","3,203","3,523","3,933","4,686","2,808","4,541","3,096"
2020년09월_계_40~49세,"158,264","37,765","2,025","2,796","1,744","2,120","2,310","2,039","2,173","1,774","2,308","2,447","2,162","1,659","2,000","7,938",765,"1,054",451,"33,237","4,774","2,238","1,055","3,758","1,668","3,797","4,021","2,047","1,829","3,072","4,978","87,262","4,689","3,758","2,652","3,217","3,275","5,948","2,709","2,832","6,429","3,288","4,718","2,434","2,766","2,801","4,415","5,240","4,690","4,754","4,494","3,005","5,104","4,044"
2020년09월_계_50~59세,"156,124","41,421","2,544","3,186","2,144","2,711","2,826","2,587","2,372","2,538","2,918","2,750","2,192","1,735","1,329","7,199",590,"1,291",509,"38,556","5,592","2,631","1,263","4,306","1,803","4,525","4,690","2,961","2,597","3,993","4,195","76,147","4,257","2,796","1,470","2,096","2,894","4,758","2,391","2,426","4,972","3,311","4,137","2,365","2,744","2,592","4,606","3,380","3,917","4,755","4,602","2,918","5,237","3,523"
2020년09월_계_60~69세,"111,942","33,017","2,197","2,439","1,666","2,386","2,250","2,060","1,793","2,174","2,522","2,109","1,795","1,347","1,058","5,184",519,975,543,"30,234","4,618","2,297","1,055","3,557","1,291","3,380","3,667","2,320","1,941","3,013","3,095","48,691","2,847","1,372",762,"1,077","2,064","2,469","1,725","1,385","2,704","1,901","2,582","1,616","2,212","2,219","3,663","1,987","2,296","2,721","3,437","1,796","3,430","2,426"
2020년09월_계_70~79세,"57,718","17,105","1,146","1,026",937,"1,415","1,224","1,113","1,063","1,227","1,406","1,167","1,131",790,457,"2,014",210,470,309,"15,116","2,438","1,156",481,"1,769",729,"2,027","1,778","1,165",937,"1,222","1,414","25,497","1,456",939,489,484,"1,021","1,666","1,021",812,"1,558",825,"1,349",829,"1,120","1,196","1,711",864,998,"1,161","1,980",945,"2,153",920
2020년09월_계_80~89세,"24,591","6,250",421,330,300,512,478,420,438,446,463,453,383,295,130,843,77,166,95,"5,585",932,404,189,655,282,749,622,394,344,465,549,"12,756",697,653,245,234,386,862,659,510,880,420,628,410,453,583,766,360,405,484,"1,041",479,"1,216",385
2020년09월_계_90~99세,"4,163",953,57,56,48,65,75,65,51,72,63,76,47,42,33,135,17,32,19,889,137,78,32,105,36,92,86,70,63,85,105,"2,321",128,91,48,40,72,103,120,100,153,76,125,74,96,102,142,61,73,77,205,88,267,80
2020년09월_계_100세 이상,484,205,22,18,9,12,18,17,18,19,14,16,25,3,5,5,0,2,2,185,32,41,30,14,5,22,12,12,10,4,3,94,7,3,2,2,2,6,3,2,4,5,4,6,5,6,8,3,3,3,6,2,12,0
2020년09월_남_총인구수,"466,232","122,254","7,040","9,110","5,839","7,901","7,939","6,941","6,798","6,528","8,084","7,805","6,451","4,931","6,129","22,341","2,537","4,119","1,761","109,575","17,435","7,493","3,613","12,016","5,241","12,218","13,452","7,249","6,601","10,688","13,569","234,403","13,095","8,627","5,223","6,972","9,887","14,575","7,596","7,569","15,648","9,277","12,761","6,812","8,802","8,014","14,482","11,697","12,077","13,406","13,567","8,618","15,170","10,528"
2020년09월_남_연령구간인구수,"466,232","122,254","7,040","9,110","5,839","7,901","7,939","6,941","6,798","6,528","8,084","7,805","6,451","4,931","6,129","22,341","2,537","4,119","1,761","109,575","17,435","7,493","3,613","12,016","5,241","12,218","13,452","7,249","6,601","10,688","13,569","234,403","13,095","8,627","5,223","6,972","9,887","14,575","7,596","7,569","15,648","9,277","12,761","6,812","8,802","8,014","14,482","11,697","12,077","13,406","13,567","8,618","15,170","10,528"
2020년09월_남_0~9세,"35,737","8,132",263,833,211,270,390,326,352,202,388,552,317,323,370,"2,612",272,360,91,"6,915",786,480,217,612,364,705,889,288,305,748,"1,521","20,690","1,066",660,589,546,755,"1,036",503,721,"1,276",753,"1,211",561,698,620,"1,192","1,560","1,482","1,529",967,721,"1,126","1,118"
2020년09월_남_10~19세,"45,334","9,068",374,734,348,407,617,474,623,387,575,681,532,474,246,"1,988",248,256,104,"8,710","1,032",479,235,971,508,"1,063",962,507,504,978,"1,471","27,556","1,579","1,183",994,"1,300",974,"1,619",775,924,"2,200","1,197","1,606","1,003",689,910,"1,024","1,742","1,513","1,614","1,187",837,"1,459","1,227"
2020년09월_남_20~29세,"67,982","18,525","1,104","1,210",920,"1,418","1,292","1,105","1,089",969,"1,213","1,156",900,704,"1,220","2,801",456,674,294,"16,213","2,973",832,483,"1,828",885,"1,930","1,952",980,981,"1,652","1,717","33,244","1,981","1,195",527,931,"1,657","2,140","1,063","1,063","2,258","1,488","1,780",961,"1,432","1,056","2,235","1,154","1,521","1,912","2,025","1,311","2,306","1,248"
2020년09월_남_30~39세,"69,847","19,289","1,057","1,588",865,"1,226","1,197",956,903,870,"1,179","1,151",873,607,"1,572","3,548",500,905,292,"16,651","3,288",996,609,"1,746",690,"1,628","2,199",922,918,"1,528","2,127","33,907","1,840","1,135",380,775,"1,848","2,323","1,483","1,111","2,046","1,231","1,765",625,"1,464",979,"2,916","1,396","1,578","1,787","2,216","1,382","2,211","1,416"
2020년09월_남_40~49세,"78,112","19,957","1,155","1,391",977,"1,186","1,205","1,076","1,095",978,"1,200","1,250","1,181",854,"1,189","4,036",403,532,249,"17,555","2,619","1,287",575,"1,933",841,"1,920","2,213","1,123","1,003","1,575","2,466","40,600","2,150","1,676","1,198","1,493","1,555","2,626","1,226","1,308","2,923","1,450","2,173","1,079","1,364","1,284","2,189","2,517","2,284","2,255","2,098","1,431","2,367","1,954"
