카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년08월_계_총인구수,"140,511","7,175","3,028","3,141","2,486","3,319","4,083","3,209","3,504","1,954","2,258","2,848","1,591","1,261","2,211","1,063","6,804","7,774","4,004","24,930","20,521","11,030","22,317"
2020년08월_계_연령구간인구수,"140,511","7,175","3,028","3,141","2,486","3,319","4,083","3,209","3,504","1,954","2,258","2,848","1,591","1,261","2,211","1,063","6,804","7,774","4,004","24,930","20,521","11,030","22,317"
2020년08월_계_0~9세,"10,624",384,114,75,62,75,154,97,96,57,63,53,39,25,55,12,227,246,146,"2,172","1,442",909,"4,121"
2020년08월_계_10~19세,"12,126",432,134,148,106,108,196,148,191,81,97,89,58,37,199,37,380,441,246,"3,029","2,315","1,113","2,541"
2020년08월_계_20~29세,"14,724",578,257,256,198,182,312,270,313,151,146,176,90,67,123,49,641,837,332,"3,601","2,401","1,395","2,349"
2020년08월_계_30~39세,"15,382",594,213,195,141,183,220,202,221,126,123,141,72,51,116,28,566,721,271,"2,864","2,136","1,320","4,878"
2020년08월_계_40~49세,"19,466",851,313,307,210,254,427,293,327,184,213,203,120,115,158,95,834,886,412,"4,105","3,004","1,865","4,290"
2020년08월_계_50~59세,"23,955","1,471",555,602,481,592,752,642,746,379,439,545,273,222,388,233,"1,145","1,370",699,"4,230","3,749","1,923","2,519"
2020년08월_계_60~69세,"21,542","1,399",640,686,594,793,877,733,781,411,520,667,362,307,467,274,"1,508","1,603",838,"2,674","2,934","1,436","1,038"
2020년08월_계_70~79세,"13,477",840,447,479,409,590,677,509,464,289,347,513,315,239,379,154,"1,019","1,052",676,"1,383","1,603",716,377
2020년08월_계_80~89세,"8,011",535,314,327,248,472,392,278,306,244,269,391,227,170,289,161,430,540,345,771,827,301,174
2020년08월_계_90~99세,"1,150",89,41,61,36,69,72,35,55,31,39,69,32,26,35,18,54,73,36,94,107,50,28
