카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년01월_계_총인구수,"1,075,045","257,773","33,275","26,342","20,313","23,628","8,244","8,405","18,942","24,704","44,747","36,018","13,155","440,940","38,811","30,709","17,633","42,036","13,384","33,706","21,421","26,157","39,334","32,356","33,013","27,269","23,526","24,925","36,660","376,332","36,834","41,700","38,244","56,875","18,536","49,673","48,599","34,108","51,763"
2021년01월_계_연령구간인구수,"1,075,045","257,773","33,275","26,342","20,313","23,628","8,244","8,405","18,942","24,704","44,747","36,018","13,155","440,940","38,811","30,709","17,633","42,036","13,384","33,706","21,421","26,157","39,334","32,356","33,013","27,269","23,526","24,925","36,660","376,332","36,834","41,700","38,244","56,875","18,536","49,673","48,599","34,108","51,763"
2021년01월_계_0~9세,"100,084","21,080","2,297","1,949","1,564","3,178",332,231,"1,286","1,545","4,872","3,142",684,"42,435","3,374","3,488","1,886","4,325",954,"3,043","1,817","3,162","3,309","2,687","3,453","2,629","2,971","1,966","3,371","36,569","2,765","4,708","3,526","5,033","1,522","5,751","4,804","3,375","5,085"
2021년01월_계_10~19세,"121,078","24,731","3,663","2,372","1,794","1,895",561,481,"1,835","2,207","4,448","4,340","1,135","50,790","3,601","3,539","1,275","3,378","1,269","4,368","2,170","2,483","4,822","3,103","5,717","4,707","2,964","2,803","4,591","45,557","3,683","5,766","5,332","7,103","1,619","5,376","6,164","4,247","6,267"
2021년01월_계_20~29세,"137,984","34,485","4,780","3,384","2,135","1,933",740,854,"2,341","4,412","7,163","4,874","1,869","57,003","5,135","3,850","2,467","6,680","1,979","4,043","2,541","5,198","4,338","4,103","3,560","3,198","2,224","3,445","4,242","46,496","5,436","4,939","4,106","7,856","2,773","5,575","6,319","3,901","5,591"
2021년01월_계_30~39세,"144,750","33,964","3,939","3,049","2,365","4,213",727,722,"2,406","3,161","7,402","4,543","1,437","59,161","6,198","4,695","3,231","7,801","1,877","3,908","2,765","4,575","4,183","4,061","3,396","2,380","3,137","2,816","4,138","51,625","6,275","6,270","4,047","6,980","3,281","7,924","6,751","4,285","5,812"
2021년01월_계_40~49세,"199,921","43,651","5,970","4,469","3,346","4,162","1,089","1,009","3,126","3,886","7,806","6,808","1,980","83,722","6,647","5,980","2,780","7,095","2,387","6,527","3,789","4,473","7,731","5,419","7,883","6,282","4,921","4,450","7,358","72,548","6,081","9,003","8,009","10,857","3,046","9,646","9,341","6,586","9,979"
2021년01월_계_50~59세,"165,706","43,343","5,920","4,690","3,712","3,093","1,601","1,583","3,384","4,215","6,400","6,141","2,604","66,986","6,205","4,846","2,764","6,526","2,266","5,222","3,522","3,196","5,886","5,099","4,674","4,281","2,708","4,438","5,353","55,377","5,438","5,791","5,767","8,758","2,881","7,022","7,051","5,081","7,588"
2021년01월_계_60~69세,"107,144","31,715","3,728","3,630","2,984","2,918","1,677","1,828","2,642","3,005","3,866","3,414","2,023","41,485","4,023","2,596","1,702","3,572","1,281","3,374","2,688","1,853","4,327","3,719","2,124","1,965","2,034","2,716","3,511","33,944","3,679","2,454","3,450","5,178","1,800","4,689","4,117","3,072","5,505"
2021년01월_계_70~79세,"65,857","16,083","1,932","1,859","1,521","1,505",951,943,"1,192","1,473","1,888","1,843",976,"26,371","2,407","1,170",759,"1,879",905,"2,197","1,454",829,"3,193","2,806","1,496","1,200","1,707","1,554","2,815","23,403","2,345","1,734","2,797","3,355","1,049","2,613","2,786","2,463","4,261"
