,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년10월_계_총인구수,"50,194","29,069","3,228","1,399","1,904","2,369","2,971","4,081","2,195","2,978"
2021년10월_계_연령구간인구수,"50,194","29,069","3,228","1,399","1,904","2,369","2,971","4,081","2,195","2,978"
2021년10월_계_0~9세,"2,443","2,006",89,37,38,36,45,86,46,60
2021년10월_계_10~19세,"3,770","2,977",116,66,66,63,143,168,70,101
2021년10월_계_20~29세,"4,149","3,077",202,51,83,78,119,239,123,177
2021년10월_계_30~39세,"3,728","2,712",172,67,72,75,106,237,118,169
2021년10월_계_40~49세,"6,054","4,446",273,92,141,128,205,347,160,262
2021년10월_계_50~59세,"8,804","4,993",608,250,318,433,479,726,395,602
2021년10월_계_60~69세,"10,406","4,609",879,372,540,698,840,"1,046",585,837
2021년10월_계_70~79세,"6,356","2,730",490,250,340,425,580,701,390,450
2021년10월_계_80~89세,"3,853","1,319",337,174,265,370,401,451,265,271
2021년10월_계_90~99세,618,197,61,40,39,59,52,80,43,47
2021년10월_계_100세 이상,13,3,1,0,2,4,1,0,0,2
2021년10월_남_총인구수,"25,274","14,535","1,655",701,970,"1,182","1,433","2,099","1,142","1,557"
2021년10월_남_연령구간인구수,"25,274","14,535","1,655",701,970,"1,182","1,433","2,099","1,142","1,557"
2021년10월_남_0~9세,"1,259","1,035",47,20,20,18,17,40,29,33
2021년10월_남_10~19세,"2,003","1,583",58,35,34,33,76,94,35,55
2021년10월_남_20~29세,"2,348","1,696",132,33,50,52,67,139,70,109
2021년10월_남_30~39세,"1,928","1,358",91,42,42,35,57,146,62,95
2021년10월_남_40~49세,"3,248","2,258",156,56,89,84,122,229,108,146
2021년10월_남_50~59세,"4,740","2,621",334,134,186,241,272,397,219,336
2021년10월_남_60~69세,"5,320","2,230",476,198,284,387,423,553,318,451
2021년10월_남_70~79세,"2,968","1,223",237,121,168,201,266,343,197,212
2021년10월_남_80~89세,"1,309",493,106,52,85,111,119,139,96,108
2021년10월_남_90~99세,150,38,18,10,11,20,14,19,8,12
2021년10월_남_100세 이상,1,0,0,0,1,0,0,0,0,0
2021년10월_여_총인구수,"24,920","14,534","1,573",698,934,"1,187","1,538","1,982","1,053","1,421"
2021년10월_여_연령구간인구수,"24,920","14,534","1,573",698,934,"1,187","1,538","1,982","1,053","1,421"
2021년10월_여_0~9세,"1,184",971,42,17,18,18,28,46,17,27
2021년10월_여_10~19세,"1,767","1,394",58,31,32,30,67,74,35,46
2021년10월_여_20~29세,"1,801","1,381",70,18,33,26,52,100,53,68
2021년10월_여_30~39세,"1,800","1,354",81,25,30,40,49,91,56,74
2021년10월_여_40~49세,"2,806","2,188",117,36,52,44,83,118,52,116
2021년10월_여_50~59세,"4,064","2,372",274,116,132,192,207,329,176,266
2021년10월_여_60~69세,"5,086","2,379",403,174,256,311,417,493,267,386
2021년10월_여_70~79세,"3,388","1,507",253,129,172,224,314,358,193,238
2021년10월_여_80~89세,"2,544",826,231,122,180,259,282,312,169,163
2021년10월_여_90~99세,468,159,43,30,28,39,38,61,35,35
2021년10월_여_100세 이상,12,3,1,0,1,4,1,0,0,2
