카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년04월_계_총인구수,"429,729","21,267","18,718","30,829","31,715","34,754","12,035","32,790","16,198","20,296","19,614","21,285","17,600","20,577","21,991","23,675","45,229","22,755","18,401"
2020년04월_계_연령구간인구수,"429,729","21,267","18,718","30,829","31,715","34,754","12,035","32,790","16,198","20,296","19,614","21,285","17,600","20,577","21,991","23,675","45,229","22,755","18,401"
2020년04월_계_0~9세,"35,378","1,604","1,527","1,725","3,137","2,679",627,"3,186","1,932","1,860","1,786","1,528","1,235","1,234","1,401","1,698","4,490","1,540","2,189"
2020년04월_계_10~19세,"45,622","1,969","1,668","2,741","4,203","4,031","1,940","3,550","2,755","2,758","2,167","2,862","1,393","1,684","2,080","2,639","4,268","1,669","1,245"
2020년04월_계_20~29세,"56,216","2,842","2,719","5,142","3,588","4,631","1,498","4,371","1,383","2,244","2,393","2,685","2,584","2,978","2,950","3,227","5,479","3,495","2,007"
2020년04월_계_30~39세,"65,808","3,752","3,856","5,034","3,975","5,226",918,"5,808","1,658","2,506","2,837","2,497","3,108","3,202","3,067","3,673","7,134","4,573","2,984"
2020년04월_계_40~49세,"78,465","3,849","3,315","4,935","6,472","6,674","2,367","6,692","3,761","4,268","3,598","4,021","2,924","3,140","3,367","4,335","7,864","3,900","2,983"
2020년04월_계_50~59세,"62,907","2,959","2,447","4,717","4,642","5,545","2,078","4,092","2,098","3,048","2,815","3,436","2,452","3,252","3,660","3,469","6,308","3,337","2,552"
2020년04월_계_60~69세,"46,926","2,398","1,795","3,518","3,046","3,403","1,238","2,939","1,294","1,939","2,289","2,217","2,078","2,817","3,145","2,349","5,540","2,514","2,407"
2020년04월_계_70~79세,"26,915","1,326","1,004","2,128","1,829","1,690",989,"1,548",911,"1,139","1,211","1,324","1,302","1,642","1,631","1,598","2,922","1,271","1,450"
2020년04월_계_80~89세,"9,487",471,298,744,677,707,333,489,317,441,419,605,431,521,581,590,"1,006",365,492
2020년04월_계_90~99세,"1,789",93,72,128,130,149,36,96,64,79,94,105,80,94,105,85,213,84,82
2020년04월_계_100세 이상,216,4,17,17,16,19,11,19,25,14,5,5,13,13,4,12,5,7,10
