,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년05월_계_총인구수,"48,815","14,077","2,896","6,652",707,"2,758","2,594","1,762","6,523","7,514","1,281","2,051"
2020년05월_계_연령구간인구수,"48,815","14,077","2,896","6,652",707,"2,758","2,594","1,762","6,523","7,514","1,281","2,051"
2020년05월_계_0~9세,"2,956","1,129",68,770,6,122,58,46,312,370,23,52
2020년05월_계_10~19세,"3,845","1,684",255,467,27,129,100,64,418,569,43,89
2020년05월_계_20~29세,"4,494","1,538",187,745,47,202,184,117,704,635,42,93
2020년05월_계_30~39세,"4,406","1,454",157,"1,150",26,172,122,66,589,539,45,86
2020년05월_계_40~49세,"6,376","2,387",252,939,63,295,169,154,867,956,125,169
2020년05월_계_50~59세,"8,693","2,363",476,"1,046",151,515,467,279,"1,299","1,442",297,358
2020년05월_계_60~69세,"7,905","1,667",544,741,141,524,557,364,"1,125","1,523",297,422
2020년05월_계_70~79세,"5,742","1,085",525,463,128,408,457,352,736,979,228,381
2020년05월_계_80~89세,"3,782",652,370,287,104,333,402,283,420,429,161,341
2020년05월_계_90~99세,598,116,60,40,14,57,76,37,50,71,18,59
2020년05월_계_100세 이상,18,2,2,4,0,1,2,0,3,1,2,1
2020년05월_남_총인구수,"24,399","7,086","1,407","3,485",368,"1,372","1,218",854,"3,332","3,697",625,955
2020년05월_남_연령구간인구수,"24,399","7,086","1,407","3,485",368,"1,372","1,218",854,"3,332","3,697",625,955
2020년05월_남_0~9세,"1,499",598,40,376,4,69,27,19,144,188,10,24
2020년05월_남_10~19세,"2,093",885,186,250,13,63,47,38,235,306,24,46
2020년05월_남_20~29세,"2,641",865,102,443,28,133,127,67,426,374,23,53
2020년05월_남_30~39세,"2,402",749,97,628,18,94,73,45,333,281,29,55
2020년05월_남_40~49세,"3,514","1,205",141,541,45,177,95,86,504,542,65,113
2020년05월_남_50~59세,"4,669","1,263",265,587,99,284,258,156,673,729,158,197
2020년05월_남_60~69세,"3,869",815,242,364,77,273,271,185,577,696,162,207
2020년05월_남_70~79세,"2,473",462,208,217,50,159,194,157,321,442,100,163
2020년05월_남_80~89세,"1,150",228,119,77,33,111,118,93,109,127,45,90
2020년05월_남_90~99세,87,16,7,2,1,9,8,8,9,12,8,7
2020년05월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년05월_여_총인구수,"24,416","6,991","1,489","3,167",339,"1,386","1,376",908,"3,191","3,817",656,"1,096"
2020년05월_여_연령구간인구수,"24,416","6,991","1,489","3,167",339,"1,386","1,376",908,"3,191","3,817",656,"1,096"
2020년05월_여_0~9세,"1,457",531,28,394,2,53,31,27,168,182,13,28
2020년05월_여_10~19세,"1,752",799,69,217,14,66,53,26,183,263,19,43
2020년05월_여_20~29세,"1,853",673,85,302,19,69,57,50,278,261,19,40
2020년05월_여_30~39세,"2,004",705,60,522,8,78,49,21,256,258,16,31
2020년05월_여_40~49세,"2,862","1,182",111,398,18,118,74,68,363,414,60,56
2020년05월_여_50~59세,"4,024","1,100",211,459,52,231,209,123,626,713,139,161
2020년05월_여_60~69세,"4,036",852,302,377,64,251,286,179,548,827,135,215
2020년05월_여_70~79세,"3,269",623,317,246,78,249,263,195,415,537,128,218
2020년05월_여_80~89세,"2,632",424,251,210,71,222,284,190,311,302,116,251
2020년05월_여_90~99세,511,100,53,38,13,48,68,29,41,59,10,52
2020년05월_여_100세 이상,16,2,2,4,0,1,2,0,2,1,1,1
