카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년05월_계_총인구수,"22,230","7,416","2,112","2,383","4,411","2,134","2,189","1,585"
2020년05월_계_연령구간인구수,"22,230","7,416","2,112","2,383","4,411","2,134","2,189","1,585"
2020년05월_계_0~9세,"1,207",585,82,76,246,56,94,68
2020년05월_계_10~19세,"1,663",722,116,128,356,103,147,91
2020년05월_계_20~29세,"1,697",655,147,155,372,129,158,81
2020년05월_계_30~39세,"1,641",712,117,132,333,121,135,91
2020년05월_계_40~49세,"2,630","1,046",200,223,573,202,232,154
2020년05월_계_50~59세,"3,731","1,152",340,409,785,373,411,261
2020년05월_계_60~69세,"4,147","1,170",403,523,767,500,411,373
2020년05월_계_70~79세,"3,113",829,375,431,547,349,339,243
2020년05월_계_80~89세,"2,099",480,292,266,380,255,235,191
2020년05월_계_90~99세,280,62,39,38,43,43,23,32
2020년05월_계_100세 이상,22,3,1,2,9,3,4,0
2020년05월_남_총인구수,"11,078","3,674","1,039","1,208","2,233","1,058","1,076",790
2020년05월_남_연령구간인구수,"11,078","3,674","1,039","1,208","2,233","1,058","1,076",790
2020년05월_남_0~9세,627,297,48,48,123,27,51,33
2020년05월_남_10~19세,836,344,63,66,202,51,64,46
2020년05월_남_20~29세,962,357,92,85,216,79,88,45
2020년05월_남_30~39세,861,348,64,80,179,69,77,44
2020년05월_남_40~49세,"1,505",589,117,137,313,121,129,99
2020년05월_남_50~59세,"2,101",628,197,224,451,215,238,148
2020년05월_남_60~69세,"2,085",572,192,278,381,255,207,200
2020년05월_남_70~79세,"1,339",351,167,196,237,143,138,107
2020년05월_남_80~89세,696,173,89,89,121,87,77,60
2020년05월_남_90~99세,62,14,10,5,9,11,5,8
2020년05월_남_100세 이상,4,1,0,0,1,0,2,0
2020년05월_여_총인구수,"11,152","3,742","1,073","1,175","2,178","1,076","1,113",795
2020년05월_여_연령구간인구수,"11,152","3,742","1,073","1,175","2,178","1,076","1,113",795
2020년05월_여_0~9세,580,288,34,28,123,29,43,35
2020년05월_여_10~19세,827,378,53,62,154,52,83,45
2020년05월_여_20~29세,735,298,55,70,156,50,70,36
2020년05월_여_30~39세,780,364,53,52,154,52,58,47
2020년05월_여_40~49세,"1,125",457,83,86,260,81,103,55
2020년05월_여_50~59세,"1,630",524,143,185,334,158,173,113
2020년05월_여_60~69세,"2,062",598,211,245,386,245,204,173
2020년05월_여_70~79세,"1,774",478,208,235,310,206,201,136
2020년05월_여_80~89세,"1,403",307,203,177,259,168,158,131
2020년05월_여_90~99세,218,48,29,33,34,32,18,24
2020년05월_여_100세 이상,18,2,1,2,8,3,2,0
