카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년01월_계_총인구수,"16,999","7,398","2,199","1,728","1,838","1,712","2,124"
2020년01월_계_연령구간인구수,"16,999","7,398","2,199","1,728","1,838","1,712","2,124"
2020년01월_계_0~9세,789,467,85,63,46,55,73
2020년01월_계_10~19세,"1,020",592,90,58,92,101,87
2020년01월_계_20~29세,"1,209",699,105,74,125,81,125
2020년01월_계_30~39세,"1,110",655,126,67,74,81,107
2020년01월_계_40~49세,"1,825",976,194,142,157,172,184
2020년01월_계_50~59세,"3,074","1,258",412,291,354,335,424
2020년01월_계_60~69세,"3,299","1,221",476,402,378,361,461
2020년01월_계_70~79세,"2,760",924,419,384,327,293,413
2020년01월_계_80~89세,"1,670",509,254,220,260,201,226
2020년01월_계_90~99세,216,88,36,24,23,27,18
2020년01월_계_100세 이상,27,9,2,3,2,5,6
2020년01월_남_총인구수,"8,422","3,633","1,067",876,919,857,"1,070"
2020년01월_남_연령구간인구수,"8,422","3,633","1,067",876,919,857,"1,070"
2020년01월_남_0~9세,411,251,43,33,21,31,32
2020년01월_남_10~19세,528,301,52,30,47,51,47
2020년01월_남_20~29세,699,387,65,44,75,49,79
2020년01월_남_30~39세,603,337,68,43,46,51,58
2020년01월_남_40~49세,"1,087",549,134,95,88,104,117
2020년01월_남_50~59세,"1,659",649,213,179,200,181,237
2020년01월_남_60~69세,"1,636",583,232,193,197,183,248
2020년01월_남_70~79세,"1,197",401,175,185,145,117,174
2020년01월_남_80~89세,542,156,75,67,91,79,74
2020년01월_남_90~99세,54,17,8,6,9,10,4
2020년01월_남_100세 이상,6,2,2,1,0,1,0
2020년01월_여_총인구수,"8,577","3,765","1,132",852,919,855,"1,054"
2020년01월_여_연령구간인구수,"8,577","3,765","1,132",852,919,855,"1,054"
2020년01월_여_0~9세,378,216,42,30,25,24,41
2020년01월_여_10~19세,492,291,38,28,45,50,40
2020년01월_여_20~29세,510,312,40,30,50,32,46
2020년01월_여_30~39세,507,318,58,24,28,30,49
2020년01월_여_40~49세,738,427,60,47,69,68,67
2020년01월_여_50~59세,"1,415",609,199,112,154,154,187
2020년01월_여_60~69세,"1,663",638,244,209,181,178,213
2020년01월_여_70~79세,"1,563",523,244,199,182,176,239
2020년01월_여_80~89세,"1,128",353,179,153,169,122,152
2020년01월_여_90~99세,162,71,28,18,14,17,14
2020년01월_여_100세 이상,21,7,0,2,2,4,6
