,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년01월_계_총인구수,"44,673","9,995","3,056","3,535","1,943","1,883","2,290","3,490","6,032","1,767","1,742","1,508","4,344","3,088"
2021년01월_계_연령구간인구수,"44,673","9,995","3,056","3,535","1,943","1,883","2,290","3,490","6,032","1,767","1,742","1,508","4,344","3,088"
2021년01월_계_0~9세,"1,803",563,90,99,51,52,69,94,360,21,63,65,156,120
2021년01월_계_10~19세,"2,871",891,212,192,89,73,121,141,460,73,85,143,235,156
2021년01월_계_20~29세,"3,425","1,011",225,206,130,121,156,273,468,89,94,76,270,306
2021년01월_계_30~39세,"2,751",828,120,156,95,101,112,183,439,74,103,78,233,229
2021년01월_계_40~49세,"4,939","1,366",360,339,182,152,231,334,789,135,151,135,393,372
2021년01월_계_50~59세,"8,394","1,820",700,730,337,354,397,667,"1,073",305,281,259,850,621
2021년01월_계_60~69세,"8,960","1,669",602,760,440,422,502,759,"1,105",388,387,385,971,570
2021년01월_계_70~79세,"6,369","1,140",457,580,304,297,357,586,732,348,302,218,636,412
2021년01월_계_80~89세,"4,394",613,246,398,276,268,283,383,514,276,239,125,507,266
2021년01월_계_90~99세,744,92,42,72,39,41,61,68,89,55,36,23,90,36
2021년01월_계_100세 이상,23,2,2,3,0,2,1,2,3,3,1,1,3,0
2021년01월_남_총인구수,"22,299","4,931","1,547","1,743",948,927,"1,136","1,775","2,990",863,849,794,"2,175","1,621"
2021년01월_남_연령구간인구수,"22,299","4,931","1,547","1,743",948,927,"1,136","1,775","2,990",863,849,794,"2,175","1,621"
2021년01월_남_0~9세,939,291,43,61,32,24,41,51,165,11,27,41,82,70
2021년01월_남_10~19세,"1,541",451,116,110,56,39,58,70,251,30,51,95,126,88
2021년01월_남_20~29세,"2,048",574,125,127,72,70,104,180,284,61,52,42,158,199
2021년01월_남_30~39세,"1,524",438,68,84,49,60,65,122,224,45,61,43,126,139
2021년01월_남_40~49세,"2,763",706,189,195,105,95,135,195,440,78,84,81,235,225
2021년01월_남_50~59세,"4,581",950,401,386,183,185,221,386,572,170,164,140,467,356
2021년01월_남_60~69세,"4,660",839,319,400,231,224,264,375,560,207,213,205,525,298
2021년01월_남_70~79세,"2,758",476,191,240,127,139,153,258,324,163,125,111,284,167
2021년01월_남_80~89세,"1,323",187,85,132,76,78,84,125,153,85,63,32,154,69
2021년01월_남_90~99세,158,19,9,8,17,11,11,13,17,12,9,4,18,10
2021년01월_남_100세 이상,4,0,1,0,0,2,0,0,0,1,0,0,0,0
2021년01월_여_총인구수,"22,374","5,064","1,509","1,792",995,956,"1,154","1,715","3,042",904,893,714,"2,169","1,467"
2021년01월_여_연령구간인구수,"22,374","5,064","1,509","1,792",995,956,"1,154","1,715","3,042",904,893,714,"2,169","1,467"
2021년01월_여_0~9세,864,272,47,38,19,28,28,43,195,10,36,24,74,50
2021년01월_여_10~19세,"1,330",440,96,82,33,34,63,71,209,43,34,48,109,68
2021년01월_여_20~29세,"1,377",437,100,79,58,51,52,93,184,28,42,34,112,107
2021년01월_여_30~39세,"1,227",390,52,72,46,41,47,61,215,29,42,35,107,90
2021년01월_여_40~49세,"2,176",660,171,144,77,57,96,139,349,57,67,54,158,147
2021년01월_여_50~59세,"3,813",870,299,344,154,169,176,281,501,135,117,119,383,265
2021년01월_여_60~69세,"4,300",830,283,360,209,198,238,384,545,181,174,180,446,272
2021년01월_여_70~79세,"3,611",664,266,340,177,158,204,328,408,185,177,107,352,245
2021년01월_여_80~89세,"3,071",426,161,266,200,190,199,258,361,191,176,93,353,197
2021년01월_여_90~99세,586,73,33,64,22,30,50,55,72,43,27,19,72,26
2021년01월_여_100세 이상,19,2,1,3,0,0,1,2,3,2,1,1,3,0
