,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년06월_계_총인구수,"499,740","24,848","15,876","30,510","29,690","17,153","34,470","34,353","15,617","26,565","18,601","23,214","18,487","23,845","22,999","21,924","16,034","17,596","23,769","24,676","31,643","27,870"
2020년06월_계_연령구간인구수,"499,740","24,848","15,876","30,510","29,690","17,153","34,470","34,353","15,617","26,565","18,601","23,214","18,487","23,845","22,999","21,924","16,034","17,596","23,769","24,676","31,643","27,870"
2020년06월_계_0~9세,"23,738","1,297","1,392","2,136","1,263",769,"1,280","2,273",457,"1,252","1,089",736,660,875,861,389,"1,264",726,768,990,"1,867","1,394"
2020년06월_계_10~19세,"29,841","1,526","1,186","3,017","1,446",901,"1,748","2,639",667,"1,680",857,917,913,"1,141","1,224",526,"1,495",855,"1,022","1,669","2,429","1,983"
2020년06월_계_20~29세,"109,702","4,711","1,944","3,947","7,583","5,509","10,926","5,591","4,521","5,867","3,927","6,518","4,409","5,789","5,765","8,421","1,736","4,059","6,337","3,079","4,917","4,146"
2020년06월_계_30~39세,"88,200","4,187","2,644","4,035","6,183","3,537","6,580","5,586","3,047","5,048","3,799","4,703","3,250","4,720","3,972","5,668","1,983","3,351","4,821","2,860","4,435","3,791"
2020년06월_계_40~49세,"69,777","3,476","2,580","5,191","3,707","2,042","4,023","5,340","1,786","3,753","2,372","2,860","2,381","3,273","3,110","2,447","3,044","2,276","3,575","3,571","4,854","4,116"
2020년06월_계_50~59세,"68,763","3,483","2,335","4,809","3,528","1,688","3,807","4,964","1,891","3,528","2,604","2,845","2,475","3,134","3,265","1,734","2,612","2,399","3,150","4,443","5,083","4,986"
2020년06월_계_60~69세,"58,318","3,278","1,968","3,811","3,152","1,364","3,233","4,243","1,631","2,909","2,192","2,518","2,224","2,708","2,522","1,445","2,092","2,168","2,215","4,126","4,546","3,973"
2020년06월_계_70~79세,"36,849","2,104","1,210","2,485","2,076",956,"2,101","2,701","1,159","1,837","1,318","1,523","1,548","1,559","1,654",951,"1,304","1,227","1,312","2,700","2,591","2,533"
2020년06월_계_80~89세,"12,571",684,528,920,643,331,665,889,407,607,379,532,537,551,545,284,428,461,499,"1,040",814,827
2020년06월_계_90~99세,"1,665",93,66,129,92,46,87,110,42,75,61,53,77,76,66,44,63,64,58,170,86,107
2020년06월_계_100세 이상,316,9,23,30,17,10,20,17,9,9,3,9,13,19,15,15,13,10,12,28,21,14
2020년06월_남_총인구수,"250,829","12,168","7,763","14,772","14,407","8,641","16,558","16,827","7,472","12,999","8,979","11,957","9,243","13,111","11,530","11,379","7,886","8,918","14,346","12,368","15,500","14,005"
2020년06월_남_연령구간인구수,"250,829","12,168","7,763","14,772","14,407","8,641","16,558","16,827","7,472","12,999","8,979","11,957","9,243","13,111","11,530","11,379","7,886","8,918","14,346","12,368","15,500","14,005"
2020년06월_남_0~9세,"12,206",661,721,"1,122",637,399,623,"1,215",256,645,574,386,317,445,459,199,640,364,388,526,937,692
2020년06월_남_10~19세,"15,275",799,615,"1,601",723,430,856,"1,330",317,870,399,482,463,589,671,257,755,442,525,881,"1,200","1,070"
2020년06월_남_20~29세,"53,610","2,261","1,019","1,953","3,394","2,646","4,785","2,696","1,893","2,777","1,770","3,320","2,214","3,245","2,730","4,089",904,"1,830","3,821","1,664","2,431","2,168"
2020년06월_남_30~39세,"48,613","2,264","1,328","2,006","3,308","1,967","3,480","2,866","1,661","2,675","2,015","2,730","1,845","2,896","2,230","3,213",976,"1,886","3,266","1,604","2,303","2,094"
2020년06월_남_40~49세,"37,192","1,772","1,314","2,561","1,935","1,090","2,120","2,771",955,"1,895","1,213","1,561","1,282","1,975","1,592","1,401","1,534","1,233","2,413","1,916","2,499","2,160"
2020년06월_남_50~59세,"34,260","1,640","1,142","2,346","1,708",868,"1,894","2,389",948,"1,728","1,203","1,357","1,201","1,676","1,637",953,"1,297","1,273","1,950","2,206","2,433","2,411"
2020년06월_남_60~69세,"27,108","1,520",887,"1,734","1,453",649,"1,490","1,927",757,"1,315",983,"1,148",988,"1,290","1,183",674,975,"1,064","1,145","1,929","2,099","1,898"
2020년06월_남_70~79세,"16,922",961,516,"1,067",952,446,980,"1,229",511,806,627,723,703,744,760,456,619,600,600,"1,187","1,261","1,174"
2020년06월_남_80~89세,"5,176",269,198,340,271,130,294,380,160,264,184,236,211,235,249,127,162,207,224,407,310,318
2020년06월_남_90~99세,398,20,20,38,20,14,29,18,13,22,11,13,14,15,14,9,18,18,11,43,21,17
2020년06월_남_100세 이상,69,1,3,4,6,2,7,6,1,2,0,1,5,1,5,1,6,1,3,5,6,3
