,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년07월_계_총인구수,"117,520","8,492","13,846","4,177","4,327","3,057","3,644","3,630","6,149","2,485","6,393","3,498","4,001","2,291","34,905","16,625"
2020년07월_계_연령구간인구수,"117,520","8,492","13,846","4,177","4,327","3,057","3,644","3,630","6,149","2,485","6,393","3,498","4,001","2,291","34,905","16,625"
2020년07월_계_0~9세,"7,430",366,923,111,119,124,78,91,194,61,413,62,107,56,"3,394","1,331"
2020년07월_계_10~19세,"9,974",698,"1,114",184,246,151,177,167,330,108,416,136,216,147,"3,954","1,930"
2020년07월_계_20~29세,"11,550",739,"1,334",299,301,207,229,278,391,115,461,243,435,141,"4,525","1,852"
2020년07월_계_30~39세,"11,043",586,"1,329",244,262,235,222,217,350,122,558,171,254,136,"4,675","1,682"
2020년07월_계_40~49세,"15,692","1,012","1,714",375,426,311,407,371,588,248,677,323,448,222,"5,877","2,693"
2020년07월_계_50~59세,"19,978","1,525","2,250",701,799,484,712,710,"1,228",449,"1,092",594,757,381,"5,404","2,892"
2020년07월_계_60~69세,"19,591","1,643","2,353",938,949,641,818,808,"1,435",610,"1,150",875,799,525,"3,862","2,185"
2020년07월_계_70~79세,"12,978","1,157","1,609",730,700,502,561,564,944,440,906,618,532,381,"2,040","1,294"
2020년07월_계_80~89세,"8,035",638,"1,054",535,480,350,384,366,592,275,625,407,384,252,"1,017",676
2020년07월_계_90~99세,"1,162",112,157,59,43,48,51,54,90,51,90,65,64,47,145,86
2020년07월_계_100세 이상,87,16,9,1,2,4,5,4,7,6,5,4,5,3,12,4
2020년07월_남_총인구수,"58,763","4,123","6,909","2,103","2,206","1,549","1,820","1,860","3,206","1,261","3,256","1,776","2,113","1,099","17,401","8,081"
2020년07월_남_연령구간인구수,"58,763","4,123","6,909","2,103","2,206","1,549","1,820","1,860","3,206","1,261","3,256","1,776","2,113","1,099","17,401","8,081"
2020년07월_남_0~9세,"3,808",184,463,58,58,67,43,47,109,27,226,38,50,27,"1,730",681
2020년07월_남_10~19세,"5,162",359,571,96,125,78,94,79,182,59,239,73,105,67,"2,053",982
2020년07월_남_20~29세,"6,485",418,768,172,171,116,119,162,238,65,266,145,266,82,"2,458","1,039"
2020년07월_남_30~39세,"5,825",303,726,156,163,139,117,133,195,77,291,100,162,75,"2,375",813
2020년07월_남_40~49세,"8,354",534,963,238,259,176,222,231,340,154,378,186,290,122,"2,929","1,332"
2020년07월_남_50~59세,"10,462",766,"1,173",375,442,281,398,398,676,247,576,319,437,206,"2,713","1,455"
2020년07월_남_60~69세,"9,846",797,"1,173",480,499,326,428,420,768,317,603,466,414,272,"1,870","1,013"
2020년07월_남_70~79세,"5,724",492,696,299,319,238,255,259,453,210,411,287,242,151,889,523
2020년07월_남_80~89세,"2,771",234,337,209,158,113,127,122,222,88,239,139,134,81,340,228
2020년07월_남_90~99세,305,29,38,20,11,14,17,9,22,16,26,22,12,16,40,13
2020년07월_남_100세 이상,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020년07월_여_총인구수,"58,757","4,369","6,937","2,074","2,121","1,508","1,824","1,770","2,943","1,224","3,137","1,722","1,888","1,192","17,504","8,544"
2020년07월_여_연령구간인구수,"58,757","4,369","6,937","2,074","2,121","1,508","1,824","1,770","2,943","1,224","3,137","1,722","1,888","1,192","17,504","8,544"
2020년07월_여_0~9세,"3,622",182,460,53,61,57,35,44,85,34,187,24,57,29,"1,664",650
2020년07월_여_10~19세,"4,812",339,543,88,121,73,83,88,148,49,177,63,111,80,"1,901",948
2020년07월_여_20~29세,"5,065",321,566,127,130,91,110,116,153,50,195,98,169,59,"2,067",813
2020년07월_여_30~39세,"5,218",283,603,88,99,96,105,84,155,45,267,71,92,61,"2,300",869
2020년07월_여_40~49세,"7,338",478,751,137,167,135,185,140,248,94,299,137,158,100,"2,948","1,361"
2020년07월_여_50~59세,"9,516",759,"1,077",326,357,203,314,312,552,202,516,275,320,175,"2,691","1,437"
2020년07월_여_60~69세,"9,745",846,"1,180",458,450,315,390,388,667,293,547,409,385,253,"1,992","1,172"
2020년07월_여_70~79세,"7,254",665,913,431,381,264,306,305,491,230,495,331,290,230,"1,151",771
2020년07월_여_80~89세,"5,264",404,717,326,322,237,257,244,370,187,386,268,250,171,677,448
2020년07월_여_90~99세,857,83,119,39,32,34,34,45,68,35,64,43,52,31,105,73
2020년07월_여_100세 이상,66,9,8,1,1,3,5,4,6,5,4,3,4,3,8,2
