카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년09월_계_총인구수,"172,774","53,141","8,723","81,913","20,911","8,086"
2020년09월_계_연령구간인구수,"172,774","53,141","8,723","81,913","20,911","8,086"
2020년09월_계_0~9세,"19,276","3,280",433,"12,524","2,616",423
2020년09월_계_10~19세,"17,267","4,520",441,"10,461","1,414",431
2020년09월_계_20~29세,"16,815","6,340","1,020","6,643","2,064",748
2020년09월_계_30~39세,"25,096","5,644","1,069","13,778","3,903",702
2020년09월_계_40~49세,"31,781","8,441",961,"18,232","3,132","1,015"
2020년09월_계_50~59세,"23,735","9,375","1,591","8,301","3,025","1,443"
2020년09월_계_60~69세,"20,895","8,086","1,643","6,778","2,654","1,734"
2020년09월_계_70~79세,"12,102","4,912",958,"3,746","1,414","1,072"
2020년09월_계_80~89세,"5,037","2,199",512,"1,271",597,458
2020년09월_계_90~99세,726,324,85,173,86,58
2020년09월_계_100세 이상,44,20,10,6,6,2
2020년09월_남_총인구수,"85,581","25,926","4,653","40,457","10,473","4,072"
2020년09월_남_연령구간인구수,"85,581","25,926","4,653","40,457","10,473","4,072"
2020년09월_남_0~9세,"9,790","1,687",220,"6,373","1,317",193
2020년09월_남_10~19세,"9,026","2,361",251,"5,459",718,237
2020년09월_남_20~29세,"8,899","3,399",607,"3,319","1,134",440
2020년09월_남_30~39세,"12,459","2,960",633,"6,509","1,996",361
2020년09월_남_40~49세,"16,375","4,221",562,"9,380","1,640",572
2020년09월_남_50~59세,"11,952","4,628",878,"4,237","1,486",723
2020년09월_남_60~69세,"9,733","3,802",846,"2,955","1,307",823
2020년09월_남_70~79세,"5,500","2,051",476,"1,758",668,547
2020년09월_남_80~89세,"1,713",763,155,442,190,163
2020년09월_남_90~99세,127,52,20,25,17,13
2020년09월_남_100세 이상,7,2,5,0,0,0
2020년09월_여_총인구수,"87,193","27,215","4,070","41,456","10,438","4,014"
2020년09월_여_연령구간인구수,"87,193","27,215","4,070","41,456","10,438","4,014"
2020년09월_여_0~9세,"9,486","1,593",213,"6,151","1,299",230
2020년09월_여_10~19세,"8,241","2,159",190,"5,002",696,194
2020년09월_여_20~29세,"7,916","2,941",413,"3,324",930,308
2020년09월_여_30~39세,"12,637","2,684",436,"7,269","1,907",341
2020년09월_여_40~49세,"15,406","4,220",399,"8,852","1,492",443
2020년09월_여_50~59세,"11,783","4,747",713,"4,064","1,539",720
2020년09월_여_60~69세,"11,162","4,284",797,"3,823","1,347",911
2020년09월_여_70~79세,"6,602","2,861",482,"1,988",746,525
2020년09월_여_80~89세,"3,324","1,436",357,829,407,295
2020년09월_여_90~99세,599,272,65,148,69,45
2020년09월_여_100세 이상,37,18,5,6,6,2
