카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년06월_계_총인구수,"229,431","17,807","10,247","7,736","19,917","16,140","14,338","10,259","12,380","18,321","28,486","8,793","6,899","9,283","21,183","13,349","14,293"
2020년06월_계_연령구간인구수,"229,431","17,807","10,247","7,736","19,917","16,140","14,338","10,259","12,380","18,321","28,486","8,793","6,899","9,283","21,183","13,349","14,293"
2020년06월_계_0~9세,"13,911","1,033",414,221,731,"1,392",961,788,804,933,"2,865",566,255,449,"1,219",811,469
2020년06월_계_10~19세,"15,964","1,321",593,264,"1,222",872,"1,304",795,874,911,"2,976",512,303,516,"1,157","1,535",809
2020년06월_계_20~29세,"33,267","2,604","1,577",970,"4,185","2,431","1,896","1,604","1,848","2,836","3,027","1,014","1,024","1,378","2,798","1,812","2,263"
2020년06월_계_30~39세,"38,124","2,841","1,795","1,041","3,175","3,706","2,088","1,853","2,053","3,668","3,808","1,520","1,117","1,682","4,089","1,530","2,158"
2020년06월_계_40~49세,"35,934","2,779","1,439","1,142","2,808","2,643","2,377","1,582","1,878","2,583","5,062","1,236",917,"1,415","3,415","2,538","2,120"
2020년06월_계_50~59세,"36,658","2,932","1,487","1,692","3,097","2,193","2,335","1,569","1,991","3,033","4,498","1,405","1,127","1,284","3,258","2,218","2,539"
2020년06월_계_60~69세,"28,050","2,206","1,459","1,330","2,355","1,613","1,706","1,025","1,524","2,233","2,941","1,319","1,056","1,181","2,717","1,395","1,990"
2020년06월_계_70~79세,"17,202","1,345",927,700,"1,549",837,"1,047",643,955,"1,335","1,871",776,635,861,"1,643",815,"1,263"
2020년06월_계_80~89세,"8,376",585,448,279,659,358,538,330,372,610,"1,175",370,370,421,696,601,564
2020년06월_계_90~99세,"1,582",132,86,65,102,77,73,57,67,137,229,60,73,82,158,88,96
2020년06월_계_100세 이상,363,29,22,32,34,18,13,13,14,42,34,15,22,14,33,6,22
2020년06월_남_총인구수,"110,527","8,666","4,932","4,752","9,320","7,787","6,760","4,874","5,910","8,839","13,318","4,146","3,273","4,292","10,190","6,409","7,059"
2020년06월_남_연령구간인구수,"110,527","8,666","4,932","4,752","9,320","7,787","6,760","4,874","5,910","8,839","13,318","4,146","3,273","4,292","10,190","6,409","7,059"
2020년06월_남_0~9세,"7,195",544,218,111,352,713,481,410,410,485,"1,488",300,128,235,654,408,258
2020년06월_남_10~19세,"8,114",723,303,143,649,445,525,406,455,481,"1,490",269,157,243,590,779,456
2020년06월_남_20~29세,"15,902","1,332",822,463,"1,681","1,042",901,741,872,"1,278","1,490",495,529,693,"1,395",908,"1,260"
2020년06월_남_30~39세,"18,996","1,464",926,554,"1,688","1,792","1,067",920,"1,018","1,745","1,694",767,605,840,"2,004",728,"1,184"
2020년06월_남_40~49세,"17,651","1,349",734,753,"1,413","1,385","1,155",746,924,"1,262","2,274",607,442,664,"1,675","1,206","1,062"
2020년06월_남_50~59세,"18,184","1,425",680,"1,211","1,532","1,084","1,159",749,981,"1,519","2,168",653,532,582,"1,573","1,109","1,227"
2020년06월_남_60~69세,"13,317","1,028",657,924,"1,073",766,796,483,690,"1,132","1,399",593,473,494,"1,261",690,858
2020년06월_남_70~79세,"7,459",574,419,412,647,381,471,271,399,625,764,334,243,358,714,327,520
2020년06월_남_80~89세,"3,105",186,145,137,249,150,180,125,145,244,449,116,136,157,268,222,196
