,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년12월_계_총인구수,"27,946","12,549","2,877","2,336","2,561","3,054","4,569"
2020년12월_계_연령구간인구수,"27,946","12,549","2,877","2,336","2,561","3,054","4,569"
2020년12월_계_0~9세,"1,350",861,70,72,74,93,180
2020년12월_계_10~19세,"1,845","1,149",167,99,92,119,219
2020년12월_계_20~29세,"2,411","1,243",225,195,160,167,421
2020년12월_계_30~39세,"2,340","1,266",158,149,189,228,350
2020년12월_계_40~49세,"3,524","1,926",314,243,232,318,491
2020년12월_계_50~59세,"5,101","2,174",544,459,487,533,904
2020년12월_계_60~69세,"5,539","2,002",651,487,633,722,"1,044"
2020년12월_계_70~79세,"3,648","1,221",472,379,434,512,630
2020년12월_계_80~89세,"1,850",598,233,222,223,301,273
2020년12월_계_90~99세,321,106,43,26,34,57,55
2020년12월_계_100세 이상,17,3,0,5,3,4,2
2020년12월_남_총인구수,"14,220","6,333","1,481","1,184","1,320","1,583","2,319"
2020년12월_남_연령구간인구수,"14,220","6,333","1,481","1,184","1,320","1,583","2,319"
2020년12월_남_0~9세,692,433,40,36,38,52,93
2020년12월_남_10~19세,977,616,95,42,51,62,111
2020년12월_남_20~29세,"1,417",722,132,116,104,101,242
2020년12월_남_30~39세,"1,265",640,98,78,115,133,201
2020년12월_남_40~49세,"1,934",980,172,147,143,206,286
2020년12월_남_50~59세,"2,725","1,144",310,254,233,305,479
2020년12월_남_60~69세,"2,775",977,320,256,336,373,513
2020년12월_남_70~79세,"1,693",573,213,164,203,244,296
2020년12월_남_80~89세,677,220,96,85,88,102,86
2020년12월_남_90~99세,64,27,5,6,9,5,12
2020년12월_남_100세 이상,1,1,0,0,0,0,0
2020년12월_여_총인구수,"13,726","6,216","1,396","1,152","1,241","1,471","2,250"
2020년12월_여_연령구간인구수,"13,726","6,216","1,396","1,152","1,241","1,471","2,250"
2020년12월_여_0~9세,658,428,30,36,36,41,87
2020년12월_여_10~19세,868,533,72,57,41,57,108
2020년12월_여_20~29세,994,521,93,79,56,66,179
2020년12월_여_30~39세,"1,075",626,60,71,74,95,149
2020년12월_여_40~49세,"1,590",946,142,96,89,112,205
2020년12월_여_50~59세,"2,376","1,030",234,205,254,228,425
2020년12월_여_60~69세,"2,764","1,025",331,231,297,349,531
2020년12월_여_70~79세,"1,955",648,259,215,231,268,334
2020년12월_여_80~89세,"1,173",378,137,137,135,199,187
2020년12월_여_90~99세,257,79,38,20,25,52,43
2020년12월_여_100세 이상,16,2,0,5,3,4,2
