카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년12월_계_총인구수,"1,832,803","218,589","276,762","281,436","116,726","150,531","46,180","27,535","25,235","62,762","39,375","62,624","36,547","33,753","67,166","52,937","91,107","31,274","51,985","43,365","48,631","30,066","38,217"
2021년12월_계_연령구간인구수,"1,832,803","218,589","276,762","281,436","116,726","150,531","46,180","27,535","25,235","62,762","39,375","62,624","36,547","33,753","67,166","52,937","91,107","31,274","51,985","43,365","48,631","30,066","38,217"
2021년12월_계_0~9세,"123,712","16,347","19,546","22,538","9,845","12,656","2,177",964,"1,024","2,413","1,517","3,251","1,834","1,531","3,598","3,175","8,171","1,210","3,631","2,438","2,887","1,547","1,412"
2021년12월_계_10~19세,"163,148","23,802","25,624","29,444","9,643","15,648","2,985","1,859","1,774","3,671","2,481","5,500","2,605","2,404","4,971","4,280","9,699","1,994","4,000","3,164","3,490","2,153","1,957"
2021년12월_계_20~29세,"193,735","26,198","32,673","36,739","12,211","19,258","4,543","2,173","1,882","3,855","2,741","6,714","2,869","2,705","5,379","4,898","9,488","2,334","4,661","3,897","3,562","2,417","2,538"
2021년12월_계_30~39세,"178,428","23,618","29,664","32,763","14,425","18,061","3,534","1,619","1,506","3,407","2,303","4,656","2,513","2,237","4,585","4,426","11,153","1,838","4,592","3,369","3,611","2,079","2,469"
2021년12월_계_40~49세,"252,254","36,047","40,592","42,487","16,746","23,102","5,118","2,886","2,707","5,974","3,894","7,888","3,825","3,546","7,606","7,185","14,514","3,264","6,218","5,239","5,916","3,398","4,102"
2021년12월_계_50~59세,"312,463","35,988","48,140","49,217","17,408","29,443","8,192","4,753","4,555","9,920","6,510","11,426","6,135","5,512","11,350","9,465","13,513","5,354","8,415","7,435","7,871","4,958","6,903"
2021년12월_계_60~69세,"284,871","29,966","42,319","36,527","17,014","18,319","8,766","5,295","4,910","13,008","7,771","10,201","6,736","6,461","12,704","8,581","11,561","6,197","8,671","7,642","8,737","5,515","7,970"
2021년12월_계_70~79세,"191,022","17,972","25,130","19,284","11,344","8,388","6,148","4,105","3,781","11,309","6,434","7,236","5,341","5,056","9,829","6,139","7,899","4,907","6,956","5,717","7,319","4,519","6,209"
