카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년05월_계_총인구수,"99,757","38,007","8,446","28,850","3,497","3,431","2,908","2,284","2,089","3,233","3,534","3,478"
2021년05월_계_연령구간인구수,"99,757","38,007","8,446","28,850","3,497","3,431","2,908","2,284","2,089","3,233","3,534","3,478"
2021년05월_계_0~9세,"7,578","2,414",277,"4,319",93,120,71,38,20,71,74,81
2021년05월_계_10~19세,"9,542","4,255",525,"3,723",121,225,113,58,62,136,152,172
2021년05월_계_20~29세,"9,439","4,776",549,"2,705",221,223,143,125,109,198,198,192
2021년05월_계_30~39세,"10,249","3,517",460,"5,032",200,185,138,90,92,142,195,198
2021년05월_계_40~49세,"14,341","5,969",777,"5,506",322,356,227,175,124,277,277,331
2021년05월_계_50~59세,"15,806","6,765","1,445","3,542",631,565,447,356,353,524,551,627
2021년05월_계_60~69세,"15,303","5,360","1,872","2,225",823,735,659,556,520,828,871,854
2021년05월_계_70~79세,"10,092","3,127","1,553","1,068",581,526,557,465,425,600,626,564
2021년05월_계_80~89세,"6,477","1,601",858,636,437,442,506,350,338,390,514,405
2021년05월_계_90~99세,905,215,124,93,68,52,47,71,44,63,75,53
2021년05월_계_100세 이상,25,8,6,1,0,2,0,0,2,4,1,1
2021년05월_남_총인구수,"49,634","18,829","4,147","14,447","1,785","1,722","1,399","1,157","1,030","1,584","1,775","1,759"
2021년05월_남_연령구간인구수,"49,634","18,829","4,147","14,447","1,785","1,722","1,399","1,157","1,030","1,584","1,775","1,759"
2021년05월_남_0~9세,"3,954","1,239",147,"2,254",51,72,38,21,8,34,45,45
2021년05월_남_10~19세,"4,885","2,185",297,"1,884",68,109,54,28,29,62,82,87
2021년05월_남_20~29세,"5,203","2,626",329,"1,369",136,150,84,82,72,119,120,116
2021년05월_남_30~39세,"5,290","1,832",256,"2,471",128,98,81,57,64,80,120,103
2021년05월_남_40~49세,"7,491","2,916",452,"2,811",203,198,142,114,84,180,188,203
2021년05월_남_50~59세,"8,280","3,478",733,"1,859",349,310,245,204,185,275,296,346
2021년05월_남_60~69세,"7,530","2,550",915,"1,072",430,386,328,287,260,410,439,453
2021년05월_남_70~79세,"4,502","1,395",676,493,248,244,233,218,191,267,274,263
2021년05월_남_80~89세,"2,272",552,305,218,154,142,181,130,129,139,188,134
2021년05월_남_90~99세,224,54,37,16,18,13,13,16,8,17,23,9
2021년05월_남_100세 이상,3,2,0,0,0,0,0,0,0,1,0,0
2021년05월_여_총인구수,"50,123","19,178","4,299","14,403","1,712","1,709","1,509","1,127","1,059","1,649","1,759","1,719"
2021년05월_여_연령구간인구수,"50,123","19,178","4,299","14,403","1,712","1,709","1,509","1,127","1,059","1,649","1,759","1,719"
2021년05월_여_0~9세,"3,624","1,175",130,"2,065",42,48,33,17,12,37,29,36
2021년05월_여_10~19세,"4,657","2,070",228,"1,839",53,116,59,30,33,74,70,85
2021년05월_여_20~29세,"4,236","2,150",220,"1,336",85,73,59,43,37,79,78,76
2021년05월_여_30~39세,"4,959","1,685",204,"2,561",72,87,57,33,28,62,75,95
2021년05월_여_40~49세,"6,850","3,053",325,"2,695",119,158,85,61,40,97,89,128
2021년05월_여_50~59세,"7,526","3,287",712,"1,683",282,255,202,152,168,249,255,281
2021년05월_여_60~69세,"7,773","2,810",957,"1,153",393,349,331,269,260,418,432,401
2021년05월_여_70~79세,"5,590","1,732",877,575,333,282,324,247,234,333,352,301
2021년05월_여_80~89세,"4,205","1,049",553,418,283,300,325,220,209,251,326,271
2021년05월_여_90~99세,681,161,87,77,50,39,34,55,36,46,52,44
2021년05월_여_100세 이상,22,6,6,1,0,2,0,0,2,3,1,1
