,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년05월_계_총인구수,"52,247","11,137","13,785","5,011","2,302","1,693","2,585","1,529","1,287","1,277","2,124","2,063","3,017","4,437"
2020년05월_계_연령구간인구수,"52,247","11,137","13,785","5,011","2,302","1,693","2,585","1,529","1,287","1,277","2,124","2,063","3,017","4,437"
2020년05월_계_0~9세,"2,414",588,"1,029",176,58,37,59,59,29,33,41,48,53,204
2020년05월_계_10~19세,"3,548",888,"1,521",216,62,58,115,71,60,31,71,85,108,262
2020년05월_계_20~29세,"4,007","1,066","1,369",320,100,91,154,85,57,37,97,107,214,310
2020년05월_계_30~39세,"3,599",885,"1,175",322,121,66,119,79,69,61,95,100,165,342
2020년05월_계_40~49세,"6,009","1,579","2,050",508,171,139,239,109,78,95,155,153,251,482
2020년05월_계_50~59세,"8,624","1,917","2,250",822,311,266,378,228,196,197,342,320,574,823
2020년05월_계_60~69세,"9,985","1,933","2,038","1,039",511,353,522,336,275,309,510,500,695,964
2020년05월_계_70~79세,"7,983","1,469","1,389",932,471,344,519,294,250,280,424,404,553,654
2020년05월_계_80~89세,"5,250",718,818,579,435,288,415,239,245,204,333,289,337,350
2020년05월_계_90~99세,785,89,138,92,58,50,62,28,27,27,53,54,63,44
2020년05월_계_100세 이상,43,5,8,5,4,1,3,1,1,3,3,3,4,2
2020년05월_남_총인구수,"25,843","5,580","6,734","2,501","1,109",833,"1,212",737,630,650,"1,038",999,"1,495","2,325"
2020년05월_남_연령구간인구수,"25,843","5,580","6,734","2,501","1,109",833,"1,212",737,630,650,"1,038",999,"1,495","2,325"
2020년05월_남_0~9세,"1,210",284,522,93,32,18,27,27,14,22,15,24,32,100
2020년05월_남_10~19세,"1,835",457,797,112,38,26,53,37,32,17,35,42,58,131
2020년05월_남_20~29세,"2,342",621,770,170,64,57,91,52,34,27,61,69,141,185
2020년05월_남_30~39세,"2,013",476,569,196,75,41,74,51,43,33,61,64,100,230
2020년05월_남_40~49세,"3,311",839,996,315,109,94,131,65,46,66,91,86,155,318
2020년05월_남_50~59세,"4,638","1,075","1,150",466,165,143,196,117,108,115,186,183,297,437
2020년05월_남_60~69세,"4,898",914,980,525,240,181,258,172,148,144,249,250,339,498
2020년05월_남_70~79세,"3,521",620,625,395,218,159,219,134,110,136,204,181,250,270
2020년05월_남_80~89세,"1,885",271,289,210,152,103,146,76,85,86,128,83,111,145
2020년05월_남_90~99세,180,23,33,18,14,11,17,6,10,3,8,15,12,10
2020년05월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년05월_여_총인구수,"26,404","5,557","7,051","2,510","1,193",860,"1,373",792,657,627,"1,086","1,064","1,522","2,112"
2020년05월_여_연령구간인구수,"26,404","5,557","7,051","2,510","1,193",860,"1,373",792,657,627,"1,086","1,064","1,522","2,112"
2020년05월_여_0~9세,"1,204",304,507,83,26,19,32,32,15,11,26,24,21,104
2020년05월_여_10~19세,"1,713",431,724,104,24,32,62,34,28,14,36,43,50,131
2020년05월_여_20~29세,"1,665",445,599,150,36,34,63,33,23,10,36,38,73,125
2020년05월_여_30~39세,"1,586",409,606,126,46,25,45,28,26,28,34,36,65,112
2020년05월_여_40~49세,"2,698",740,"1,054",193,62,45,108,44,32,29,64,67,96,164
2020년05월_여_50~59세,"3,986",842,"1,100",356,146,123,182,111,88,82,156,137,277,386
2020년05월_여_60~69세,"5,087","1,019","1,058",514,271,172,264,164,127,165,261,250,356,466
2020년05월_여_70~79세,"4,462",849,764,537,253,185,300,160,140,144,220,223,303,384
2020년05월_여_80~89세,"3,365",447,529,369,283,185,269,163,160,118,205,206,226,205
2020년05월_여_90~99세,605,66,105,74,44,39,45,22,17,24,45,39,51,34
2020년05월_여_100세 이상,33,5,5,4,2,1,3,1,1,2,3,1,4,1
