카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년12월_계_총인구수,"35,314","10,740","6,000","2,327","1,113","1,477",522,904,"1,651","6,212","2,734","1,634"
2021년12월_계_연령구간인구수,"35,314","10,740","6,000","2,327","1,113","1,477",522,904,"1,651","6,212","2,734","1,634"
2021년12월_계_0~9세,"1,458",712,194,34,12,32,9,25,36,316,68,20
2021년12월_계_10~19세,"2,030",924,282,60,34,39,12,34,63,416,120,46
2021년12월_계_20~29세,"2,232",897,384,127,47,61,16,38,71,440,110,41
2021년12월_계_30~39세,"2,157",931,350,110,38,48,10,29,74,400,110,57
2021년12월_계_40~49세,"3,631","1,521",588,164,63,94,26,67,143,680,187,98
2021년12월_계_50~59세,"5,992","1,830","1,116",397,192,255,79,146,289,"1,018",430,240
2021년12월_계_60~69세,"7,540","1,846","1,397",562,282,392,137,199,409,"1,250",646,420
2021년12월_계_70~79세,"5,770","1,217","1,060",478,224,301,135,188,349,913,536,369
2021년12월_계_80~89세,"3,926",742,558,335,182,226,88,161,201,666,459,308
2021년12월_계_90~99세,562,114,70,58,38,29,10,17,15,111,68,32
2021년12월_계_100세 이상,16,6,1,2,1,0,0,0,1,2,0,3
2021년12월_남_총인구수,"16,777","5,160","2,825","1,130",504,728,247,427,767,"2,899","1,291",799
2021년12월_남_연령구간인구수,"16,777","5,160","2,825","1,130",504,728,247,427,767,"2,899","1,291",799
2021년12월_남_0~9세,727,357,96,15,7,18,4,15,18,148,37,12
2021년12월_남_10~19세,"1,052",453,159,41,19,25,6,16,35,216,62,20
2021년12월_남_20~29세,"1,311",518,236,77,25,35,10,23,42,262,58,25
2021년12월_남_30~39세,"1,130",471,189,57,24,22,6,13,38,210,66,34
2021년12월_남_40~49세,"1,985",759,340,103,30,64,21,37,82,359,122,68
2021년12월_남_50~59세,"3,234",994,580,230,108,143,42,87,149,525,250,126
2021년12월_남_60~69세,"3,635",861,641,297,151,206,70,96,188,585,323,217
2021년12월_남_70~79세,"2,381",484,420,200,84,132,55,90,147,379,220,170
2021년12월_남_80~89세,"1,217",240,154,99,50,74,31,48,61,198,144,118
2021년12월_남_90~99세,104,22,10,11,6,9,2,2,7,17,9,9
2021년12월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"18,537","5,580","3,175","1,197",609,749,275,477,884,"3,313","1,443",835
2021년12월_여_연령구간인구수,"18,537","5,580","3,175","1,197",609,749,275,477,884,"3,313","1,443",835
2021년12월_여_0~9세,731,355,98,19,5,14,5,10,18,168,31,8
2021년12월_여_10~19세,978,471,123,19,15,14,6,18,28,200,58,26
2021년12월_여_20~29세,921,379,148,50,22,26,6,15,29,178,52,16
2021년12월_여_30~39세,"1,027",460,161,53,14,26,4,16,36,190,44,23
2021년12월_여_40~49세,"1,646",762,248,61,33,30,5,30,61,321,65,30
2021년12월_여_50~59세,"2,758",836,536,167,84,112,37,59,140,493,180,114
2021년12월_여_60~69세,"3,905",985,756,265,131,186,67,103,221,665,323,203
2021년12월_여_70~79세,"3,389",733,640,278,140,169,80,98,202,534,316,199
2021년12월_여_80~89세,"2,709",502,404,236,132,152,57,113,140,468,315,190
2021년12월_여_90~99세,458,92,60,47,32,20,8,15,8,94,59,23
2021년12월_여_100세 이상,15,5,1,2,1,0,0,0,1,2,0,3
